# time, std
0,0
1,0.1
2,0.171447
3,0.171447
4,0.219043
5,0.238683
6,0.256432
7,0.256432
8,0.27266
9,0.287623
10,0.314466
11,0.337998
12,0.337998
13,0.348735
14,0.35887
15,0.35887
16,0.35887
17,0.35887
18,0.377525
19,0.386123
20,0.419114
21,0.426401
22,0.426401
23,0.456048
24,0.456048
25,0.456048
26,0.456048
27,0.494822
28,0.494822
29,0.504925
30,0.504925
31,0.504925
32,0.509605
33,0.518253
34,0.518253
35,0.518253
36,0.525991
37,0.529532
38,0.554504
39,0.562372
40,0.58422
41,0.58422
42,0.586033
43,0.622475
44,0.655282
45,0.656283
46,0.657129
47,0.673
48,0.703526
49,0.71767
50,0.758521
51,0.771395
52,0.771395
53,0.770937
54,0.795442
55,0.795442
56,0.805223
57,0.80403
58,0.81377
59,0.82456
60,0.833333
61,0.833333
62,0.833333
63,0.833333
64,0.853454
65,0.853454
66,0.853454
67,0.853454
68,0.85138
69,0.844411
70,0.844411
71,0.86287
72,0.860115
73,0.857233
74,0.851084
75,0.851084
76,0.859645
77,0.879566
78,0.879566
79,0.887625
80,0.884148
81,0.884148
82,0.884148
83,0.880542
84,0.876805
85,0.868936
86,0.868936
87,0.868936
88,0.876402
89,0.872185
90,0.863339
91,0.863339
92,0.863339
93,0.870388
94,0.870388
95,0.877266
96,0.890522
97,0.919156
98,0.919156
99,0.919156
100,0.919156
101,0.909212
102,0.898708
103,0.9101
104,0.931817
105,0.936952
106,0.936089
107,0.940879
108,0.939374
109,0.939374
110,0.939374
111,0.939374
112,0.966928
113,0.966928
114,0.970837
115,0.964208
116,0.957427
117,0.957427
118,0.96106
119,0.960797
120,0.97442
121,0.97442
122,0.97442
123,0.97442
124,0.97442
125,0.967085
126,0.967085
127,0.970057
128,0.970057
129,0.970057
130,0.983243
131,0.983243
132,0.983243
133,0.998737
134,1.00121
135,0.995749
136,0.995749
137,0.997927
138,0.997927
139,1.02
140,1.05294
141,1.06415
142,1.0562
143,1.0562
144,1.0562
145,1.05078
146,1.05198
147,1.07309
148,1.07309
149,1.07309
150,1.07398
151,1.08484
152,1.08544
153,1.08595
154,1.08595
155,1.08595
156,1.08595
157,1.08595
158,1.08637
159,1.08637
160,1.0867
161,1.10536
162,1.10536
163,1.09637
164,1.09637
165,1.09632
