time,healthy sentinels STD
0.0,0.0
1.0,0.2917190429162965
2.0,0.3840572873934303
3.0,0.48692915295759365
4.0,0.5638262143604182
5.0,0.6232174580353153
6.0,0.640234332100365
7.0,0.6954135460285481
8.0,0.7196526940128822
9.0,0.7794228634059948
10.0,0.8047359815492284
11.0,0.8426149773176358
12.0,0.8708616422830903
13.0,0.899944442729662
14.0,0.9254188241007422
15.0,0.9488940931421156
16.0,1.0136567466356647
17.0,1.0818502669038808
18.0,1.1434596626029265
19.0,1.1738398527908316
20.0,1.1766052864066177
21.0,1.2031209415515964
22.0,1.2330450113438673
23.0,1.2713772060250268
24.0,1.2489995996796797
25.0,1.3304134695650072
26.0,1.3969967788080242
27.0,1.452583904633396
28.0,1.4352700094407316
29.0,1.4525494828060064
30.0,1.4522740788157038
31.0,1.5516120649182914
32.0,1.6080733814101897
33.0,1.6100931650062977
34.0,1.6169106345126185
35.0,1.630306719608308
36.0,1.6847551750922143
37.0,1.6722440013347346
38.0,1.6905324604987628
39.0,1.7137969541342986
40.0,1.7342145196024639
41.0,1.7634057956125704
42.0,1.8444240293381569
43.0,1.8513508581573632
44.0,1.83223906737085
45.0,1.8142767153882557
46.0,1.909214498164102
47.0,2.019801970491167
48.0,2.097117068739844
49.0,2.083266665599966
50.0,2.0884443971530557
51.0,2.0946360065653424
52.0,2.084490345384216
53.0,2.1141428523162777
54.0,2.191894158028625
55.0,2.21673182861617
56.0,2.180275211985863
57.0,2.206241147291022
58.0,2.229349680960794
59.0,2.2363139314505918
60.0,2.276312808029685
61.0,2.301651580930527
62.0,2.3456129262945313
63.0,2.3895397046293247
64.0,2.390209195865501
65.0,2.4601625962525335
66.0,2.4766711529793364
67.0,2.4771758112818727
68.0,2.497919133999338
69.0,2.539685019840059
70.0,2.563961778186251
71.0,2.6026717042300946
72.0,2.665783186982765
73.0,2.6881964213948333
74.0,2.768736173780376
75.0,2.8548204847240406
76.0,2.824889378365107
77.0,2.854049754296518
78.0,2.893509979246659
79.0,2.8508770580296865
80.0,2.896118091514916
81.0,3.043287695897317
82.0,3.050835951014086
83.0,3.047802487038816
84.0,3.0889966008398257
85.0,3.1240998703626612
86.0,3.1282423179798577
87.0,3.1911753320681093
88.0,3.2011716605018234
89.0,3.2441331661940147
90.0,3.283656498478486
91.0,3.2848135411313697
92.0,3.2810211824979145
93.0,3.3775138785799266
94.0,3.373662698018283
95.0,3.426893637100516
96.0,3.4966269460724546
97.0,3.49678423698117
98.0,3.5237905726646113
99.0,3.5148826438446013
100.0,3.5397740040855736
101.0,3.591601314177285
102.0,3.6387360442879078
103.0,3.6280022050709935
104.0,3.6892275614280012
105.0,3.69729630946723
106.0,3.7772344380512033
107.0,3.8088712238667246
108.0,3.8115088875667085
109.0,3.852518656671242
110.0,3.893584466786357
111.0,3.9015253427345558
112.0,3.958219296602956
113.0,3.9987498046264394
114.0,3.979082808889503
115.0,4.0183952020676115
116.0,3.963470701291988
117.0,4.000549962192698
118.0,4.000737432024251
119.0,4.045985664828784
120.0,4.134005321718879
121.0,4.135927949082285
122.0,4.173954959028667
123.0,4.145648320829927
124.0,4.204949464619047
125.0,4.228474902373196
126.0,4.272423200011909
127.0,4.276108043536785
128.0,4.320601809933427
129.0,4.309570744285331
130.0,4.313189075382622
131.0,4.380593567086543
132.0,4.34983907748321
133.0,4.327528162819972
134.0,4.319016091657914
135.0,4.273394435340598
136.0,4.294182110716778
137.0,4.389487441604089
138.0,4.385247997548143
139.0,4.416729559300637
140.0,4.456455991031438
141.0,4.46697884481223
142.0,4.475209492303126
143.0,4.466262419518137
144.0,4.470917131864556
145.0,4.512416204208117
146.0,4.509312586193154
147.0,4.547262913006023
148.0,4.581211630125811
149.0,4.581473562075852
150.0,4.588888754371803
151.0,4.580076418576441
152.0,4.637887450122093
153.0,4.667504686660744
154.0,4.673959777319439
155.0,4.689349635077342
156.0,4.700595706929066
157.0,4.714435279012748
158.0,4.747831083768671
159.0,4.767976510009251
160.0,4.7617118770459
161.0,4.851504921155908
162.0,4.913247398615297
163.0,4.895906453354678
164.0,4.937398100214322
165.0,5.007234765816357
166.0,4.996999099459596
167.0,5.006985120808729
168.0,5.004907591554513
169.0,5.032643440578718
170.0,5.075145318116517
171.0,5.080659406022019
172.0,5.135163093807245
173.0,5.170145065663052
174.0,5.200567276749721
175.0,5.232771732074692
176.0,5.249609509287334
177.0,5.29614010388698
178.0,5.314235598842039
179.0,5.320479301717092
180.0,5.339325800136192
181.0,5.383409700180732
182.0,5.4326696936220955
183.0,5.3569020898276625
184.0,5.3336197839741075
185.0,5.3084837759948
186.0,5.342986056504359
187.0,5.391066684803667
188.0,5.365174740863527
189.0,5.407947854778187
190.0,5.406838262792776
191.0,5.3856383094299956
192.0,5.386872933344539
193.0,5.3956556598804575
194.0,5.387717513010496
195.0,5.395887322767218
196.0,5.395284978571569
197.0,5.398147830506312
198.0,5.407624247301213
199.0,5.442232997584721
200.0,5.449440338236577
201.0,5.443114917030506
202.0,5.438970490819013
203.0,5.4289870141675625
204.0,5.444263035526478
205.0,5.424859445183811
206.0,5.445879176037605
207.0,5.4467972240574545
208.0,5.514444668323366
209.0,5.566641716510953
210.0,5.536018424824831
211.0,5.543239125276843
212.0,5.577553226998376
213.0,5.614080512425877
214.0,5.686571902297554
215.0,5.688752059986442
216.0,5.737455882183322
217.0,5.770363939995469
218.0,5.782352462449864
219.0,5.8077448291053555
220.0,5.798094514579769
221.0,5.793746628909483
222.0,5.8162788791460125
223.0,5.880297611515933
224.0,5.862380062739024
225.0,5.880476171195661
226.0,5.906640331017286
227.0,5.894438056337517
228.0,5.89749099193886
229.0,5.910152282302039
230.0,5.950420153232879
231.0,5.946562031964354
232.0,5.9520080645106646
233.0,5.995531669501881
234.0,5.92432274610356
235.0,5.991151809126521
236.0,5.980593616021742
237.0,6.017474553332154
238.0,6.042482933364394
239.0,6.064453808876775
240.0,6.051603093395998
241.0,6.037350412225547
242.0,6.025313269864065
243.0,6.076643810525672
244.0,6.111456454888637
245.0,6.094719025517088
246.0,6.145860395420644
247.0,6.136415892033395
248.0,6.186242801571887
249.0,6.190670399884005
250.0,6.180380247201624
251.0,6.165865713750178
252.0,6.18445632210302
253.0,6.164503224104923
254.0,6.193351273745099
255.0,6.150479656091873
256.0,6.1400325732035
257.0,6.114932542555151
258.0,6.140122148622127
259.0,6.211690591135391
260.0,6.172001296176144
261.0,6.169408399514495
262.0,6.117017246992197
263.0,6.129363751646659
264.0,6.227487454824779
265.0,6.215102573570286
266.0,6.237780053833254
267.0,6.308177232767005
268.0,6.334161349381622
269.0,6.3473143927176015
270.0,6.407893569652979
271.0,6.402468274033068
272.0,6.431609440878696
273.0,6.472240724818569
274.0,6.384794436784944
275.0,6.354714785102475
276.0,6.382444672693999
277.0,6.413267497929585
278.0,6.418535658543934
