time,undetectable sentinels upper
0.0,0.0
1.0,0.3617190429162964
2.0,0.5340572873934305
3.0,0.742078831727758
4.0,0.9417828762075257
5.0,1.0453098380168624
6.0,1.1144197306299664
7.0,1.242934843158555
8.0,1.2841901756723444
9.0,1.4826270385975047
10.0,1.53614431647729
11.0,1.661218606705912
12.0,1.714452485341834
13.0,1.794251095560531
14.0,1.8596702699330128
15.0,1.9319002115196635
16.0,2.0909495491781795
17.0,2.2324257693538287
18.0,2.2897684937059424
19.0,2.4075435026020995
20.0,2.3982228231974827
21.0,2.4734349546269314
22.0,2.5758330249197705
23.0,2.6556055653262707
24.0,2.6768423555321688
25.0,2.8526005112979296
26.0,2.985826421126742
27.0,3.1259569086712986
28.0,3.1343819840518203
29.0,3.267659900696132
30.0,3.303520721051539
31.0,3.387880384454841
32.0,3.422081828468829
33.0,3.38772546380598
34.0,3.44742724681022
35.0,3.426982586956925
36.0,3.4551306560728197
37.0,3.4668627315304748
38.0,3.5060434775980722
39.0,3.614097658343483
40.0,3.7307716122867376
41.0,3.858025032731674
42.0,3.946847422485394
43.0,3.944335920983298
44.0,3.918648031141962
45.0,3.959729705047513
46.0,4.190474612260505
47.0,4.261828249239244
48.0,4.390784704720494
49.0,4.408793689651572
50.0,4.4315171720800235
51.0,4.444812301732541
52.0,4.4591015547293695
53.0,4.5449635564641016
54.0,4.716073088222069
55.0,4.825728738130991
56.0,4.885074930350257
57.0,4.957417562100671
58.0,4.913752950098799
59.0,4.915291304916381
60.0,4.98286265006341
61.0,4.966672587320442
62.0,4.952025917745214
63.0,5.005583018790642
64.0,5.0824048707477765
65.0,5.122126456962975
66.0,5.15373979422491
67.0,5.248107880799204
68.0,5.236491673103709
69.0,5.2847634127945
70.0,5.243785702225961
71.0,5.353727438123107
72.0,5.45723425896395
73.0,5.512385504865963
74.0,5.659275235438726
75.0,5.91565779572192
76.0,5.9058061137310105
77.0,5.973882937000058
78.0,6.066313931450591
79.0,6.093230131685882
80.0,6.132187837181674
81.0,6.333830790368868
82.0,6.322017025024675
83.0,6.384060163258976
84.0,6.46281637909291
85.0,6.556102834535695
86.0,6.586627450641149
87.0,6.705187358650264
88.0,6.66196422310646
89.0,6.6505946357727534
90.0,6.66196422310646
91.0,6.741947231231716
92.0,6.853801206701654
93.0,6.855747191764401
94.0,6.908862383224909
95.0,7.033825390457707
96.0,7.155605831561735
97.0,7.096112580158466
98.0,7.138790027412568
99.0,7.043963696097778
100.0,7.017882887517581
101.0,7.096936860648432
102.0,7.191987158875422
103.0,7.141485500660199
104.0,7.162878343028282
105.0,7.238253362948216
106.0,7.350135655348377
107.0,7.395365471039166
108.0,7.359212476339859
109.0,7.417420575501809
110.0,7.491692049993546
111.0,7.4119713374160945
112.0,7.469661331733826
113.0,7.457488783623966
114.0,7.456875541058562
115.0,7.47162058080427
116.0,7.33878018537648
117.0,7.419920633670831
118.0,7.523279776653495
119.0,7.546990602207842
120.0,7.813191571873901
121.0,7.827080199770748
122.0,7.905159958759268
123.0,7.84968399630886
124.0,7.982672684387942
125.0,7.960735194758946
126.0,7.996639983448112
127.0,7.918980936133742
128.0,7.936866071413512
129.0,7.903280389131136
130.0,7.940846016203189
131.0,8.011490147068248
132.0,7.865075451570838
133.0,7.81322958735072
134.0,7.825378758897312
135.0,7.73439181499189
136.0,7.7160873850708676
137.0,7.8570143318115875
138.0,8.060193042998918
139.0,8.10847700761169
140.0,8.010291812226775
141.0,7.921904042583699
142.0,7.887578827584828
143.0,7.85356882927706
144.0,7.762202362203544
145.0,7.814438079225782
146.0,7.709306621686242
147.0,7.701063589101748
148.0,7.755722344743882
149.0,7.588268590217984
150.0,7.467156809750927
151.0,7.460755428739426
152.0,7.566786567640619
153.0,7.751757819929892
154.0,7.799831926838531
155.0,7.894127746125408
156.0,7.918016047242924
157.0,8.089897117163606
158.0,8.155605831561736
159.0,8.17588368062799
160.0,8.183948469674844
161.0,8.160200795116731
162.0,8.178754708684647
163.0,8.124913086389778
164.0,8.072672012316364
165.0,8.226513354981597
166.0,8.26319955787143
167.0,8.191117632296352
168.0,8.061686657445815
169.0,8.186737026285085
170.0,8.239884167293972
171.0,8.29522295071973
172.0,8.286503431275513
173.0,8.354008513917861
174.0,8.530584841124691
175.0,8.461907702418223
176.0,8.337124853166799
177.0,8.26636284059066
178.0,8.26797217913949
179.0,8.438181191654584
180.0,8.541755137307831
181.0,8.651249708624693
182.0,8.712931993250107
183.0,8.685014124256217
184.0,8.700943228362313
185.0,8.686314201314515
186.0,8.791231338934638
187.0,8.835191615558553
188.0,8.822634126602354
189.0,8.807381433774536
190.0,8.845865763845998
191.0,8.848356413184167
192.0,8.817800560721075
193.0,8.834274951547407
194.0,8.71211314974231
195.0,8.733107335357632
196.0,8.830622706803602
197.0,8.772676035254488
198.0,8.807883832488647
199.0,8.79945573193406
200.0,8.729163703175363
201.0,8.684441020371192
202.0,8.732273408266467
203.0,8.62048946860498
204.0,8.583843571147
205.0,8.608503126649676
206.0,8.533433131943356
207.0,8.520294101747089
208.0,8.459438143130498
209.0,8.623282705081632
210.0,8.48350711323712
211.0,8.47718953207304
212.0,8.56767050061961
213.0,8.57393489315309
214.0,8.516615541441226
215.0,8.502283667577228
216.0,8.540183144039975
217.0,8.561501418634082
218.0,8.697336853894392
219.0,8.651338965566287
220.0,8.662027738127772
221.0,8.732273408266467
222.0,8.910599253577937
223.0,8.95862981551275
224.0,8.916871170175934
225.0,8.99464163095643
226.0,8.99829382758791
227.0,9.090970239906994
228.0,9.038805217149136
229.0,9.077296062283924
230.0,9.207804485101374
231.0,9.273153730418196
232.0,9.335457041512411
233.0,9.426419872294627
234.0,9.409601885589955
235.0,9.34848988954
236.0,9.268720658352981
237.0,9.215691769347227
238.0,9.18247353925484
239.0,9.133337134167046
240.0,8.979084359437035
241.0,8.885993585167293
242.0,8.925824395127457
243.0,9.210983172228728
244.0,9.204311273064308
245.0,9.160576214911249
246.0,9.035489375751567
247.0,9.065581645060217
248.0,9.200555501982212
249.0,9.178551362318771
250.0,9.225858589310388
251.0,9.188433930543175
252.0,9.040731614066353
253.0,9.053068523537421
254.0,8.971503213831191
255.0,8.986329658502425
256.0,8.957057231638672
257.0,8.971503213831191
258.0,8.901240595059106
259.0,8.887471972953271
260.0,8.983284313301438
261.0,8.967041442103078
262.0,8.852325017270092
263.0,8.79716829838981
264.0,8.982572313089223
265.0,8.807995416344347
266.0,9.007929617860404
267.0,9.069550323343687
268.0,9.094253968071675
269.0,9.246049894151541
270.0,9.362939681362196
271.0,9.277201427971082
272.0,9.203569153775238
273.0,9.270192975922859
274.0,9.116615541441226
275.0,9.169543757635566
276.0,9.161470190907849
277.0,9.208437050954096
278.0,9.22348087705897
279.0,9.110503684011645
280.0,9.114231733662352
281.0,9.070207539042933
282.0,9.096490239100453
283.0,8.97350339582714
284.0,9.139333251008479
285.0,9.125104733885395
286.0,9.064313909627993
287.0,9.005408036305136
288.0,8.992144664256571
289.0,9.089025560747821
290.0,9.236400547471492
291.0,9.161470190907849
292.0,9.015989497353656
293.0,9.146732347314748
294.0,9.122517344995218
295.0,9.090724809414743
296.0,9.129907747507284
297.0,9.009752840097335
298.0,8.995471386246667
299.0,9.080490520639529
300.0,9.065355763459651
301.0,9.076944783521427
302.0,9.103407737036072
303.0,9.069291091465267
304.0,9.095805589507467
305.0,9.06686855445348
306.0,9.094582553992607
307.0,9.176096589252577
308.0,9.165581645060216
309.0,9.282835453936343
310.0,9.184106025555298
311.0,9.166561486659273
312.0,9.095805589507467
313.0,9.084736586065269
314.0,9.131300056749533
315.0,9.150845195259887
316.0,9.126238462380346
317.0,9.18962497488503
318.0,9.076106334430623
319.0,9.03651792585341
320.0,8.92227174983952
321.0,8.943229955776744
322.0,9.00307804669744
323.0,8.938133678515694
324.0,9.076736442507617
325.0,9.033337383553105
326.0,9.108709953317945
327.0,9.040609252475164
328.0,8.945703177049374
329.0,8.945703177049374
330.0,8.98924063395615
331.0,8.949536997338617
332.0,8.889144347501674
333.0,8.806812710653787
334.0,8.822642340619932
335.0,8.783513214321315
336.0,8.915989497353657
337.0,8.815623735419834
338.0,8.868332812825267
339.0,8.77435491221502
340.0,8.647374158037163
341.0,8.528735097280371
342.0,8.622470322719707
343.0,8.560972578616894
344.0,8.580972578616894
345.0,8.54896866465903
346.0,8.65162058080427
347.0,8.68815408583351
348.0,8.680793525856492
349.0,8.70098020376482
350.0,8.792296279363145
351.0,8.81803073267445
352.0,8.818030732674448
353.0,8.869096221522987
354.0,8.899561714722314
355.0,8.946578714388293
356.0,9.040816990763831
357.0,9.071749411453762
358.0,9.104712790491657
359.0,9.088025583022105
360.0,9.04474856485396
361.0,9.038181191654584
362.0,9.018045245006306
363.0,9.021937257177255
364.0,9.053181616663165
365.0,9.018061287091523
366.0,9.02521036315995
367.0,9.236385348725507
368.0,9.065452245621053
369.0,9.027469332494505
370.0,8.906355653294703
371.0,8.849347742007808
372.0,8.923279149839129
373.0,8.950839706033939
374.0,8.881750376688995
375.0,8.938701968533264
376.0,8.854008513917863
377.0,8.813402417034693
378.0,8.720505786805392
379.0,8.713376177880873
380.0,8.709124364447934
381.0,8.535159132377185
382.0,8.583948469674844
383.0,8.576717845492357
384.0,8.6742287632994
385.0,8.705762844159077
386.0,8.537715508089905
387.0,8.415450454869386
388.0,8.301686657445813
389.0,8.179075450674063
390.0,8.097177785278646
391.0,8.036170725359941
392.0,8.03154296071136
393.0,8.14112041910798
394.0,8.084731931759173
395.0,8.018660313669765
396.0,8.035310362003482
397.0,8.013156826011258
398.0,8.061350940306372
399.0,8.106284591360225
400.0,8.29776756533791
401.0,8.238181134654724
402.0,8.179075450674063
403.0,8.26286716789923
404.0,8.323517525403009
405.0,8.204224015790773
406.0,8.169816319645209
407.0,7.924713805203572
408.0,7.93238075793812
409.0,7.814322026106595
410.0,7.792520536599835
411.0,7.72613210466937
412.0,7.740258606276464
413.0,7.7451034835057
414.0,7.84281214109577
415.0,7.762676971835221
416.0,7.811673482021859
417.0,7.860769096943416
418.0,7.782313575779424
419.0,7.9418054494168295
420.0,7.884731931759172
421.0,7.871563338320109
422.0,8.033210572813235
423.0,7.939350558057394
424.0,7.912509541964875
425.0,7.89563456894531
426.0,7.98599219426259
427.0,7.976750961850888
428.0,7.973763400180415
429.0,7.897566233509158
430.0,7.8564516839666645
431.0,7.919999999999999
432.0,7.881769218996492
433.0,7.869797288042312
434.0,7.8839963702329445
435.0,7.814064427370489
436.0,7.694010073236843
437.0,7.6602304025149035
438.0,7.64004608246
439.0,7.509687476521413
440.0,7.531334519188963
441.0,7.527130334563797
442.0,7.521609124565397
443.0,7.551528559103658
444.0,7.697228243513141
445.0,7.672697822008548
446.0,7.648285695107683
447.0,7.6400460824600005
448.0,7.8285678301518775
449.0,7.856980794050741
450.0,7.756722545478571
451.0,7.634526676161369
452.0,7.62559835390886
453.0,7.606117696798622
454.0,7.652397814010755
455.0,7.625038631017141
456.0,7.818713349487647
457.0,7.7950796164885805
458.0,7.774868417407584
459.0,7.874302344862995
460.0,7.87955819373639
461.0,7.902108506679605
462.0,7.763331050227239
463.0,7.809897538832317
464.0,7.9283129273384585
465.0,8.007233793745678
466.0,8.043123094976128
467.0,8.02177803134477
468.0,7.912961940908479
469.0,7.953429066960742
470.0,7.956875541058562
471.0,7.937715508089904
472.0,7.869817807045694
473.0,7.8641528300416965
474.0,7.755722344743882
475.0,7.793447956940689
476.0,7.828591431823611
477.0,7.895573786580631
478.0,7.853497553424009
479.0,7.922718521927706
480.0,7.952026750449334
481.0,7.988435821108958
482.0,7.96079835791343
483.0,8.087005768508881
484.0,7.992565288839007
485.0,7.8963540129415435
486.0,7.9995910469809335
487.0,7.937789347006243
488.0,7.996639983448112
489.0,8.026197370911275
490.0,8.26006992921502
491.0,8.168110868917942
492.0,8.171281292110205
493.0,8.06686855445348
494.0,8.140184495564831
495.0,8.097359298642443
496.0,8.159890906927037
497.0,8.229838124783527
498.0,8.129907747507284
499.0,8.213920552785739
500.0,8.219450494147129
501.0,8.23313007374329
502.0,8.188865931949751
503.0,8.27510667692394
