time,undetectable sentinels STD
0.0,0.0
1.0,0.2917190429162964
2.0,0.3840572873934305
3.0,0.482078831727758
4.0,0.5617828762075256
5.0,0.6053098380168623
6.0,0.6244197306299664
7.0,0.6829348431585549
8.0,0.6941901756723443
9.0,0.7626270385975048
10.0,0.7761443164772901
11.0,0.821218606705912
12.0,0.8444524853418339
13.0,0.8842510955605312
14.0,0.9096702699330128
15.0,0.9219002115196635
16.0,1.0009495491781792
17.0,1.052425769353829
18.0,1.0797684937059424
19.0,1.0775435026020994
20.0,1.0682228231974826
21.0,1.0934349546269315
22.0,1.1258330249197708
23.0,1.1356055653262709
24.0,1.1068423555321685
25.0,1.2126005112979297
26.0,1.2558264211267418
27.0,1.3459569086712988
28.0,1.3143819840518203
29.0,1.387659900696132
30.0,1.3935207210515392
31.0,1.437880384454841
32.0,1.442081828468829
33.0,1.4277254638059802
34.0,1.4174272468102203
35.0,1.406982586956925
36.0,1.4351306560728196
37.0,1.416862731530475
38.0,1.426043477598072
39.0,1.4540976583434828
40.0,1.4907716122867376
41.0,1.5180250327316738
42.0,1.5368474224853943
43.0,1.5243359209832983
44.0,1.4786480311419619
45.0,1.479729705047513
46.0,1.5804746122605056
47.0,1.641828249239244
48.0,1.7207847047204947
49.0,1.6987936896515716
50.0,1.6815171720800237
51.0,1.664812301732541
52.0,1.6691015547293695
53.0,1.7149635564641015
54.0,1.8060730882220695
55.0,1.8357287381309906
56.0,1.8350749303502567
57.0,1.8574175621006712
58.0,1.8537529500987993
59.0,1.845291304916381
60.0,1.85286265006341
61.0,1.8766725873204426
62.0,1.8520259177452136
63.0,1.865583018790642
64.0,1.8724048707477767
65.0,1.8821264569629743
66.0,1.9137397942249095
67.0,1.9281078807992047
68.0,1.9364916731037085
69.0,1.9547634127944997
70.0,1.9037857022259612
71.0,1.9737274381231067
72.0,1.98723425896395
73.0,1.9923855048659633
74.0,2.0692752354387265
75.0,2.18565779572192
76.0,2.15580611373101
77.0,2.203882937000058
78.0,2.2363139314505913
79.0,2.1532301316858824
80.0,2.1721878371816743
81.0,2.233830790368868
82.0,2.2320170250246756
83.0,2.194060163258975
84.0,2.2028163790929103
85.0,2.256102834535695
86.0,2.2666274506411495
87.0,2.335187358650264
88.0,2.2919642231064596
89.0,2.270594635772753
90.0,2.2919642231064596
91.0,2.3119472312317164
92.0,2.303801206701654
93.0,2.325747191764401
94.0,2.3288623832249087
95.0,2.393825390457708
96.0,2.455605831561735
97.0,2.416112580158466
98.0,2.478790027412568
99.0,2.423963696097778
100.0,2.4078828875175806
101.0,2.446936860648431
102.0,2.4919871588754225
103.0,2.491485500660199
104.0,2.502878343028282
105.0,2.5182533629482156
106.0,2.5801356553483776
107.0,2.565365471039166
108.0,2.5392124763398596
109.0,2.5574205755018085
110.0,2.5716920499935454
111.0,2.5119713374160937
112.0,2.5096613317338257
113.0,2.507488783623966
114.0,2.5268755410585615
115.0,2.5616205808042696
116.0,2.458780185376481
117.0,2.5199206336708304
118.0,2.593279776653495
119.0,2.606990602207841
120.0,2.7431915718739
121.0,2.687080199770748
122.0,2.735159958759268
123.0,2.6896839963088603
124.0,2.732672684387942
125.0,2.720735194758946
126.0,2.7066399834481127
127.0,2.6489809361337433
128.0,2.6468660714135117
129.0,2.6232803891311356
130.0,2.600846016203189
131.0,2.6514901470682477
132.0,2.4850754515708378
133.0,2.46322958735072
134.0,2.475378758897312
135.0,2.4043918149918904
136.0,2.4260873850708675
137.0,2.4770143318115876
138.0,2.5901930429989193
139.0,2.65847700761169
140.0,2.5702918122267744
141.0,2.5219040425836985
142.0,2.497578827584828
143.0,2.453568829277059
144.0,2.3622023622035435
145.0,2.4244380792257822
146.0,2.379306621686242
147.0,2.351063589101749
148.0,2.405722344743882
149.0,2.3382685902179845
150.0,2.2671568097509267
151.0,2.250755428739426
152.0,2.316786567640619
153.0,2.361757819929893
154.0,2.3798319268385315
155.0,2.364127746125407
156.0,2.3680160472429237
157.0,2.4298971171636046
158.0,2.4556058315617353
159.0,2.475883680627989
160.0,2.483948469674844
161.0,2.490200795116731
162.0,2.4887547086846458
163.0,2.4449130863897794
164.0,2.452672012316364
165.0,2.536513354981597
166.0,2.533199557871429
167.0,2.4611176322963515
168.0,2.4316866574458147
169.0,2.5267370262850855
170.0,2.589884167293973
171.0,2.6352229507197293
172.0,2.586503431275513
173.0,2.5840085139178623
174.0,2.6505848411246906
175.0,2.6219077024182234
176.0,2.6071248531667983
177.0,2.59636284059066
178.0,2.587972179139489
179.0,2.638181191654584
180.0,2.6217551373078307
181.0,2.681249708624693
182.0,2.7129319932501073
183.0,2.655014124256216
184.0,2.650943228362313
185.0,2.616314201314514
186.0,2.7212313389346376
187.0,2.8051916155585523
188.0,2.7726341266023544
189.0,2.7673814337745357
190.0,2.815865763845997
191.0,2.8283564131841663
192.0,2.817800560721074
193.0,2.8442749515474057
194.0,2.7221131497423094
195.0,2.753107335357632
196.0,2.810622706803602
197.0,2.8226760352544886
198.0,2.857883832488647
199.0,2.9394557319340606
200.0,2.929163703175363
201.0,2.884441020371192
202.0,2.8822734082664674
203.0,2.8604894686049795
204.0,2.8638435711469996
205.0,2.8385031266496776
206.0,2.783433131943356
207.0,2.7202941017470894
208.0,2.669438143130497
209.0,2.743282705081633
210.0,2.6535071132371213
211.0,2.6671895320730408
212.0,2.76767050061961
213.0,2.7339348931530902
214.0,2.716615541441225
215.0,2.6722836675772275
216.0,2.7301831440399758
217.0,2.7315014186340814
218.0,2.7773368538943926
219.0,2.8013389655662873
220.0,2.8120277381277723
221.0,2.882273408266467
222.0,2.9205992535779366
223.0,2.9186298155127517
224.0,2.906871170175934
225.0,2.9646416309564296
226.0,2.98829382758791
227.0,3.0409702399069944
228.0,2.928805217149136
229.0,2.957296062283924
230.0,3.027804485101375
231.0,3.0931537304181957
232.0,3.145457041512411
233.0,3.1964198722946264
234.0,3.1396018855899555
235.0,3.0784898895400006
236.0,3.0087206583529817
237.0,2.945691769347228
238.0,2.952473539254839
239.0,2.9233371341670464
240.0,2.839084359437035
241.0,2.8059935851672937
242.0,2.835824395127456
243.0,3.000983172228728
244.0,2.994311273064308
245.0,2.9505762149112496
246.0,2.835489375751566
247.0,2.8155816450602176
248.0,2.880555501982212
249.0,2.8985513623187704
250.0,2.9558585893103886
251.0,2.9684339305431746
252.0,2.870731614066352
253.0,2.8530685235374214
254.0,2.7615032138311917
255.0,2.7363296585024255
256.0,2.717057231638671
257.0,2.7615032138311912
258.0,2.7412405950591054
259.0,2.787471972953271
260.0,2.833284313301437
261.0,2.787041442103077
262.0,2.732325017270091
263.0,2.647168298389809
264.0,2.722572313089223
265.0,2.617995416344346
266.0,2.727929617860403
267.0,2.7795503233436882
268.0,2.7642539680716744
269.0,2.8460498941515415
270.0,2.8929396813621957
271.0,2.8572014279710833
272.0,2.803569153775237
273.0,2.8501929759228584
274.0,2.716615541441225
275.0,2.739543757635567
276.0,2.7214701909078487
277.0,2.7184370509540963
278.0,2.6734808770589695
279.0,2.6805036840116454
280.0,2.684231733662353
281.0,2.6502075390429325
282.0,2.6764902391004526
283.0,2.6135033958271414
284.0,2.6993332510084787
285.0,2.745104733885395
286.0,2.714313909627993
287.0,2.665408036305136
288.0,2.6821446642565716
289.0,2.7190255607478204
290.0,2.7764005474714915
291.0,2.721470190907848
292.0,2.6659894973536566
293.0,2.706732347314747
294.0,2.702517344995218
295.0,2.6907248094147422
296.0,2.709907747507284
297.0,2.629752840097335
298.0,2.625471386246667
299.0,2.6504905206395293
300.0,2.6353557634596516
301.0,2.6169447835214257
302.0,2.6134077370360718
303.0,2.6092910914652663
304.0,2.7158055895074673
305.0,2.6968685544534794
306.0,2.7845825539926077
307.0,2.816096589252577
308.0,2.815581645060217
309.0,2.8228354539363427
310.0,2.7541060255552985
311.0,2.7465614866592736
312.0,2.7158055895074678
313.0,2.704736586065269
314.0,2.7313000567495327
315.0,2.780845195259887
316.0,2.7762384623803475
317.0,2.7996249748850297
318.0,2.746106334430624
319.0,2.726517925853411
320.0,2.6422717498395203
321.0,2.6332299557767436
322.0,2.6330780466974386
323.0,2.6781336785156933
324.0,2.7867364425076158
325.0,2.7433373835531056
326.0,2.8287099533179436
327.0,2.790609252475165
328.0,2.755703177049373
329.0,2.755703177049373
330.0,2.69924063395615
331.0,2.6995369973386176
332.0,2.6291443475016734
333.0,2.5868127106537884
334.0,2.612642340619933
335.0,2.5635132143213153
336.0,2.665989497353656
337.0,2.6256237354198344
338.0,2.668332812825267
339.0,2.6543549122150196
340.0,2.607374158037162
341.0,2.568735097280371
342.0,2.6324703227197066
343.0,2.5709725786168933
344.0,2.5709725786168938
345.0,2.5689686646590304
346.0,2.5616205808042696
347.0,2.5181540858335105
348.0,2.5207935258564924
349.0,2.550980203764819
350.0,2.5922962793631448
351.0,2.538030732674449
352.0,2.5380307326744482
353.0,2.4890962215229866
354.0,2.5095617147223144
355.0,2.526578714388293
356.0,2.570816990763831
357.0,2.601749411453763
358.0,2.654712790491657
359.0,2.658025583022105
360.0,2.6347485648539593
361.0,2.638181191654583
362.0,2.608045245006305
363.0,2.581937257177254
364.0,2.5631816166631656
365.0,2.578061287091523
366.0,2.555210363159949
367.0,2.6263853487255076
368.0,2.515452245621054
369.0,2.5474693324945052
370.0,2.5363556532947023
371.0,2.5293477420078077
372.0,2.563279149839128
373.0,2.5608397060339403
374.0,2.571750376688996
375.0,2.6187019685332644
376.0,2.5840085139178632
377.0,2.573402417034693
378.0,2.570505786805391
379.0,2.5933761778808724
380.0,2.569124364447934
381.0,2.4351591323771844
382.0,2.483948469674844
383.0,2.4967178454923573
384.0,2.5442287632993996
385.0,2.6057628441590768
386.0,2.5377155080899043
387.0,2.5254504548693877
388.0,2.4316866574458142
389.0,2.3790754506740637
390.0,2.337177785278646
391.0,2.2961707253599415
392.0,2.301542960711358
393.0,2.321120419107979
394.0,2.2847319317591723
395.0,2.2386603136697647
396.0,2.2153103620034824
397.0,2.2031568260112575
398.0,2.2213509403063716
399.0,2.326284591360224
400.0,2.4177675653379094
401.0,2.4181811346547226
402.0,2.3790754506740637
403.0,2.4428671678992298
404.0,2.5035175254030086
405.0,2.4642240157907724
406.0,2.4498163196452087
407.0,2.314713805203572
408.0,2.3323807579381204
409.0,2.304322026106595
410.0,2.2825205365998356
411.0,2.28613210466937
412.0,2.3202586062764636
413.0,2.2951034835057
414.0,2.3128121410957694
415.0,2.242676971835222
416.0,2.2416734820218585
417.0,2.2107690969434155
418.0,2.1623135757794247
419.0,2.271805449416829
420.0,2.2847319317591728
421.0,2.2715633383201093
422.0,2.3532105728132358
423.0,2.3093505580573943
424.0,2.2925095419648747
425.0,2.26563456894531
426.0,2.3059921942625907
427.0,2.3067509618508883
428.0,2.273763400180415
429.0,2.217566233509159
430.0,2.196451683966665
431.0,2.2399999999999993
432.0,2.261769218996492
433.0,2.2197972880423116
434.0,2.2039963702329453
435.0,2.2040644273704895
436.0,2.1840100732368435
437.0,2.1702304025149037
438.0,2.1700460824600003
439.0,2.0796874765214133
440.0,2.061334519188964
441.0,2.037130334563796
442.0,2.051609124565397
443.0,2.0615285591036576
444.0,2.127228243513141
445.0,2.1326978220085473
446.0,2.128285695107684
447.0,2.1700460824600007
448.0,2.2685678301518784
449.0,2.3169807940507408
450.0,2.2867225454785713
451.0,2.244526676161369
452.0,2.2355983539088595
453.0,2.2261176967986223
454.0,2.2323978140107554
455.0,2.26503863101714
456.0,2.408713349487647
457.0,2.3550796164885806
458.0,2.374868417407583
459.0,2.454302344862995
460.0,2.4895581937363906
461.0,2.562108506679605
462.0,2.433331050227239
463.0,2.4398975388323167
464.0,2.518312927338459
465.0,2.5472337937456784
466.0,2.5631230949761266
467.0,2.5317780313447704
468.0,2.482961940908479
469.0,2.5534290669607413
470.0,2.5268755410585624
471.0,2.537715508089904
472.0,2.4698178070456933
473.0,2.4341528300416972
474.0,2.405722344743882
475.0,2.4234479569406884
476.0,2.4485914318236115
477.0,2.505573786580631
478.0,2.503497553424009
479.0,2.5027185219277057
480.0,2.5420267504493337
481.0,2.5884358211089573
482.0,2.63079835791343
483.0,2.687005768508881
484.0,2.632565288839006
485.0,2.5763540129415436
486.0,2.6895910469809334
487.0,2.6677893470062437
488.0,2.7066399834481127
489.0,2.7461973709112746
490.0,2.8600699292150185
491.0,2.778110868917942
492.0,2.771281292110204
493.0,2.6968685544534794
494.0,2.7101844955648318
495.0,2.6873592986424426
496.0,2.7498909069270367
497.0,2.7798381247835273
498.0,2.709907747507284
499.0,2.7439205527857395
500.0,2.7294504941471276
501.0,2.7331300737432898
502.0,2.6888659319497505
503.0,2.6951066769239396
504.0,2.6652579612487797
505.0,2.6052830940226053
506.0,2.5937424698685874
507.0,2.515452245621054
508.0,2.507169719025818
509.0,2.5723724458172845
510.0,2.5470571253900056
511.0,2.5489409565543104
512.0,2.56863777127099
513.0,2.542656091570388
514.0,2.53808983292554
515.0,2.549097879642914
516.0,2.5194245374688244
517.0,2.405722344743882
518.0,2.411866497134533
519.0,2.3077261535979527
520.0,2.336749879640524
521.0,2.322412538719165
522.0,2.2427438551916707
523.0,2.2332711434127295
524.0,2.2172956501107386
525.0,2.179449471770337
526.0,2.2466641938660974
527.0,2.2966061917533884
528.0,2.303801206701655
529.0,2.2776303475322766
530.0,2.225848152952038
531.0,2.2947548888715756
532.0,2.2653035116734377
533.0,2.2599778759979046
534.0,2.270924921700407
535.0,2.2122160834782836
536.0,2.2264545807179625
537.0,2.190228298602682
538.0,2.1544372815192356
539.0,2.1650635094610973
540.0,2.2271057451320098
541.0,2.2204504047602596
542.0,2.258738586025394
543.0,2.349872336957903
544.0,2.2688102609076854
545.0,2.3714130808444156
546.0,2.3626044950435516
547.0,2.3471472045868778
548.0,2.3893723025095928
549.0,2.3171318477807854
550.0,2.342029034832832
551.0,2.342733446211924
552.0,2.335722586267472
553.0,2.375626233227778
554.0,2.3851834311012636
555.0,2.3895606290697042
556.0,2.368206072114502
557.0,2.3685438564654024
558.0,2.35106358910175
559.0,2.3766362784406034
560.0,2.414539293529927
561.0,2.406221103722599
562.0,2.413793694581209
563.0,2.3702109610749846
564.0,2.3818270298239548
565.0,2.367361400378066
566.0,2.3481694998445053
567.0,2.292138739256417
568.0,2.250755428739426
569.0,2.2444598459317553
570.0,2.1418449990603894
571.0,2.1569422801734874
572.0,2.133635395281959
573.0,2.100928366222894
574.0,2.145017482446239
575.0,2.099023582525932
576.0,2.1429885673983433
577.0,2.1672794005388414
578.0,2.1403504385964465
579.0,2.1058015101143788
580.0,2.056088519495209
581.0,2.011839953873071
582.0,2.031157305577291
583.0,2.037915601785315
584.0,2.04460265088354
585.0,2.081802103947443
586.0,2.1105449533236667
587.0,2.07499397589487
588.0,2.1302347288503207
589.0,2.1478128410082666
590.0,2.1255352267134966
