time,detectable crops lower
0.0,0.0
1.0,0.0
2.0,0.0
3.0,-0.11999999999999993
4.0,-0.15595917942265408
5.0,-0.15595917942265408
6.0,-0.16794494717703368
7.0,-0.18514701644346154
8.0,-0.19129319932501082
9.0,-0.19129319932501082
10.0,-0.19129319932501082
11.0,-0.19129319932501082
12.0,-0.19129319932501082
13.0,-0.1961817604250837
14.0,-0.19999999999999982
15.0,-0.19999999999999982
16.0,-0.2049615361854386
17.0,-0.20630343441600446
18.0,-0.20630343441600446
19.0,-0.2069870314579495
20.0,-0.23405728739343093
21.0,-0.2576122603564224
22.0,-0.30021271782035
23.0,-0.29363209157375014
24.0,-0.29363209157375014
25.0,-0.2898979485566351
26.0,-0.2858830507286976
27.0,-0.2858830507286976
28.0,-0.2858830507286976
29.0,-0.29141321022345745
30.0,-0.28619026473818043
31.0,-0.2807402333838306
32.0,-0.2750688029964663
33.0,-0.2870978751503125
34.0,-0.27445626465380274
35.0,-0.2848949487094338
36.0,-0.27091596750294406
37.0,-0.26365553091146315
38.0,-0.2724949798994366
39.0,-0.2724949798994366
40.0,-0.271740130262628
41.0,-0.2841901756723448
42.0,-0.2841901756723448
43.0,-0.28070387644925604
44.0,-0.28070387644925604
45.0,-0.2716178749862885
46.0,-0.25739260375673356
47.0,-0.2613501197140262
48.0,-0.2515524256584962
49.0,-0.2549834435270749
50.0,-0.23471849056452865
51.0,-0.24399004968967086
52.0,-0.24779472426126026
53.0,-0.2372897969408111
54.0,-0.22621259042366348
55.0,-0.22621259042366348
56.0,-0.23741196746494253
57.0,-0.22566359301938066
58.0,-0.20181630740194467
59.0,-0.18971586321948364
60.0,-0.17749643873921228
61.0,-0.16515712874888955
62.0,-0.16408144421201398
63.0,-0.14861003778057147
64.0,-0.14861003778057147
65.0,-0.1642457307290306
66.0,-0.13546284961388078
67.0,-0.11926287191694118
68.0,-0.07503968170654163
69.0,-0.010797534010374199
70.0,0.012160351114177681
71.0,0.012160351114177681
72.0,0.03611321426492142
73.0,0.03611321426492142
74.0,0.040833695337456066
75.0,0.061042232421052
76.0,0.08166811594312551
77.0,0.09232236772776425
78.0,0.10923499246761414
79.0,0.10923499246761414
80.0,0.12111173533103281
81.0,0.13345597187078528
82.0,0.13316018776052485
83.0,0.15647667344608207
84.0,0.16567557175222358
85.0,0.18257458499423485
86.0,0.17878573571857248
87.0,0.20222451317540124
88.0,0.2183346173608034
89.0,0.2183346173608034
90.0,0.2440817874949779
91.0,0.2440817874949779
92.0,0.2524564973979009
93.0,0.2967972911998398
94.0,0.3139423807248971
95.0,0.35990654613720796
96.0,0.3607275133070955
97.0,0.3900454554846373
98.0,0.43166791980020647
99.0,0.4920661784832685
100.0,0.5028477567516134
101.0,0.4884385883956235
102.0,0.5195496409114004
103.0,0.5355445762503523
104.0,0.5496903079244158
105.0,0.5702232365332802
106.0,0.6208932133169773
107.0,0.6174166696533101
108.0,0.6127574591444636
109.0,0.6335768040028895
110.0,0.6379010108216692
111.0,0.6562866895349622
112.0,0.6693803239662759
113.0,0.682564701526412
114.0,0.6875644347017855
115.0,0.7498739562550523
116.0,0.7441052677143474
117.0,0.7554184388126695
118.0,0.7612201173521762
119.0,0.7791938104603118
120.0,0.7916410772538218
121.0,0.8269794852859422
122.0,0.8269794852859422
123.0,0.8416139535669822
124.0,0.8538551038992346
125.0,0.9285895118857752
126.0,0.9348921614231998
127.0,0.9905079132718324
128.0,0.9838989319352041
129.0,1.028069593359771
130.0,1.0459531730335219
131.0,1.0625782755700435
132.0,1.0826341875729966
133.0,1.0811769798829574
134.0,1.0955546573253632
135.0,1.0777259211842958
136.0,1.0678874037124404
137.0,1.0794040910951732
138.0,1.0830352298775519
139.0,1.105960610403921
