time,detectable crops lower
0.0,0.0
1.0,-0.089498743710662
2.0,-0.11999999999999984
3.0,-0.14058722109231966
4.0,-0.14058722109231966
5.0,-0.14058722109231966
6.0,-0.14058722109231966
7.0,-0.15595917942265403
8.0,-0.16794494717703357
9.0,-0.1851470164434615
10.0,-0.191293199325011
11.0,-0.19618176042508365
12.0,-0.19618176042508365
13.0,-0.19999999999999976
14.0,-0.19999999999999976
15.0,-0.20496153618543866
16.0,-0.20496153618543866
17.0,-0.20496153618543866
18.0,-0.20496153618543866
19.0,-0.20630343441600457
20.0,-0.20630343441600457
21.0,-0.2069870314579494
22.0,-0.2069870314579494
23.0,-0.20707142142714272
24.0,-0.20660605559646747
25.0,-0.20563279941985915
26.0,-0.19999999999999968
27.0,-0.19999999999999968
28.0,-0.19999999999999968
29.0,-0.190832508250016
30.0,-0.18708313008125288
31.0,-0.1830127018922193
32.0,-0.1830127018922193
33.0,-0.1739594576084626
34.0,-0.1739594576084626
35.0,-0.1739594576084626
36.0,-0.19074409183759244
37.0,-0.19074409183759244
38.0,-0.20588305072869734
39.0,-0.1938849074937647
40.0,-0.1938849074937647
41.0,-0.1938849074937647
42.0,-0.1938849074937647
43.0,-0.20687759489277918
44.0,-0.20687759489277918
45.0,-0.2001886456724618
46.0,-0.19329166503893563
47.0,-0.1861902647381799
48.0,-0.1861902647381799
49.0,-0.1971355310873648
50.0,-0.18178287620752576
51.0,-0.18178287620752576
52.0,-0.17382621436041823
53.0,-0.18309518948452985
54.0,-0.18309518948452985
55.0,-0.19158124970780138
56.0,-0.19158124970780138
57.0,-0.19935450268808114
58.0,-0.19935450268808114
59.0,-0.19935450268808114
60.0,-0.19935450268808114
61.0,-0.19935450268808114
62.0,-0.19935450268808114
63.0,-0.19935450268808114
64.0,-0.19935450268808114
65.0,-0.19056425936400784
66.0,-0.19056425936400784
67.0,-0.18161081071680235
68.0,-0.17906181234681823
69.0,-0.17906181234681823
70.0,-0.17906181234681823
71.0,-0.17906181234681823
72.0,-0.18505724940649293
73.0,-0.17543878432695792
74.0,-0.16074585350936033
75.0,-0.16074585350936033
76.0,-0.1652736679604726
77.0,-0.1652736679604726
78.0,-0.1652736679604726
79.0,-0.144397545290747
80.0,-0.144397545290747
81.0,-0.13373971655886718
82.0,-0.13373971655886718
83.0,-0.1374238309665078
84.0,-0.1374238309665078
85.0,-0.11541354602854836
86.0,-0.11844901016234077
87.0,-0.11844901016234077
88.0,-0.11844901016234077
89.0,-0.11844901016234077
90.0,-0.11844901016234077
91.0,-0.11844901016234077
92.0,-0.10710678118654715
93.0,-0.08398863627192144
94.0,-0.08398863627192144
95.0,-0.08630998876184881
96.0,-0.08630998876184881
97.0,-0.08630998876184881
98.0,-0.08828565824132495
99.0,-0.11743166902307278
100.0,-0.11743166902307278
101.0,-0.10530639104808126
102.0,-0.10587530817554025
103.0,-0.10587530817554025
104.0,-0.09351770879795718
105.0,-0.09372539331937746
106.0,-0.09372539331937746
107.0,-0.09372539331937746
108.0,-0.09372539331937746
109.0,-0.09372539331937746
110.0,-0.09372539331937746
111.0,-0.09372539331937746
112.0,-0.09372539331937746
113.0,-0.08113842025273943
114.0,-0.08113842025273943
115.0,-0.06841613377708078
116.0,-0.06841613377708078
117.0,-0.06771282025234715
118.0,-0.06771282025234715
119.0,-0.054673846971554085
120.0,-0.054673846971554085
121.0,-0.05286086308682847
122.0,-0.039512049941915595
123.0,-0.02602696033893359
124.0,-0.024621125123531984
125.0,-0.024621125123531984
126.0,-0.023006602614889182
127.0,-0.021189633792524254
128.0,-0.021189633792524254
129.0,-0.021189633792524254
130.0,0.006693333760014131
131.0,0.008869807936964347
132.0,0.023100961883692928
133.0,0.02554751465816596
134.0,0.02554751465816596
135.0,0.02554751465816596
136.0,0.02554751465816596
137.0,0.02817842243812585
138.0,0.0427102030591896
139.0,0.04866382869404595
140.0,0.06349547578544545
141.0,0.06349547578544545
142.0,0.06349547578544545
143.0,0.08186248188300238
144.0,0.09706389453840059
145.0,0.09706389453840059
146.0,0.09706389453840059
147.0,0.11612647306524371
148.0,0.11612647306524371
149.0,0.1200000000000001
150.0,0.1240323331671096
151.0,0.14403233316710962
152.0,0.16449436743600576
153.0,0.15773019999548898
154.0,0.15773019999548898
155.0,0.15773019999548898
156.0,0.16258803253505738
157.0,0.16258803253505738
158.0,0.16258803253505738
159.0,0.16258803253505738
160.0,0.1675875393070756
161.0,0.1675875393070756
162.0,0.1675875393070756
163.0,0.1675875393070756
164.0,0.1675875393070756
165.0,0.20574890443946858
166.0,0.20574890443946858
167.0,0.21137466467195642
168.0,0.20170367154080837
169.0,0.21427276659704886
170.0,0.21427276659704886
171.0,0.21427276659704886
172.0,0.21427276659704886
173.0,0.23133072917027953
174.0,0.23133072917027953
175.0,0.2273195708948359
176.0,0.2273195708948359
177.0,0.2273195708948359
178.0,0.2273195708948359
179.0,0.2273195708948359
180.0,0.2273195708948359
181.0,0.2273195708948359
182.0,0.2273195708948359
183.0,0.23401882863730017
184.0,0.2548057190389075
185.0,0.2548057190389075
186.0,0.2548057190389075
187.0,0.2548057190389075
188.0,0.2548057190389075
189.0,0.261960744597617
190.0,0.25626965428241044
191.0,0.25626965428241044
192.0,0.273896557150316
193.0,0.273896557150316
194.0,0.273896557150316
195.0,0.2692576985205377
196.0,0.2950124378879111
197.0,0.2950124378879111
198.0,0.2950124378879111
199.0,0.2950124378879111
200.0,0.2950124378879111
201.0,0.30307398484297754
202.0,0.30307398484297754
203.0,0.30307398484297754
204.0,0.3212007208652975
205.0,0.3195050717593879
206.0,0.3195050717593879
207.0,0.3278735256896006
208.0,0.3278735256896006
209.0,0.33634325336433535
210.0,0.33510976197448406
211.0,0.33510976197448406
212.0,0.3535847305357913
213.0,0.3535847305357913
214.0,0.34169947557416425
215.0,0.34169947557416425
216.0,0.34169947557416425
217.0,0.33208534660669886
218.0,0.33208534660669886
219.0,0.3412970751870561
220.0,0.3412970751870561
221.0,0.3412970751870561
222.0,0.3412970751870561
223.0,0.3412970751870561
224.0,0.3412970751870561
225.0,0.3413770165938992
226.0,0.3413770165938992
227.0,0.36027526411483146
228.0,0.36027526411483146
229.0,0.36027526411483146
230.0,0.36027526411483146
231.0,0.36027526411483146
232.0,0.36027526411483146
233.0,0.36027526411483146
234.0,0.36027526411483146
235.0,0.36027526411483146
236.0,0.36027526411483146
237.0,0.37040916700801807
238.0,0.37112669794967124
239.0,0.3900454554846371
240.0,0.3900454554846371
241.0,0.3900454554846371
242.0,0.3730572330415356
243.0,0.3582771414833916
244.0,0.3599145330361544
245.0,0.3532397040682558
246.0,0.3636189482295329
247.0,0.3636189482295329
248.0,0.38254511763719834
249.0,0.38254511763719834
250.0,0.38254511763719834
251.0,0.40162506017973865
252.0,0.40162506017973865
253.0,0.46200174216160006
254.0,0.46200174216160006
255.0,0.46200174216160006
256.0,0.46200174216160006
257.0,0.47540050233858144
258.0,0.48657033157630303
259.0,0.48657033157630303
260.0,0.5065403373970727
261.0,0.5065403373970727
262.0,0.5005173567491408
263.0,0.5005173567491408
264.0,0.5005173567491408
265.0,0.5005173567491408
266.0,0.48631929981096667
267.0,0.48100041701425034
268.0,0.5242934595777922
269.0,0.5242934595777922
270.0,0.5361081130441006
271.0,0.5565009586710346
272.0,0.5565009586710346
273.0,0.5431708559698254
274.0,0.5221970842191326
275.0,0.5100400006400205
276.0,0.5100400006400205
277.0,0.5221618694718457
278.0,0.5263652844628146
279.0,0.5263652844628146
280.0,0.5466577301482911
281.0,0.5430194910023467
282.0,0.5475024752499509
283.0,0.5520883311523634
284.0,0.5646541974622121
285.0,0.5694095860585127
286.0,0.5694095860585127
287.0,0.5742649177826924
288.0,0.5920719895080162
289.0,0.6024053432853946
290.0,0.6024053432853946
291.0,0.6024053432853946
292.0,0.6024053432853946
293.0,0.6024053432853946
294.0,0.6024053432853946
295.0,0.6024053432853946
296.0,0.615476742133487
297.0,0.620852995194108
298.0,0.620852995194108
299.0,0.620852995194108
300.0,0.620852995194108
301.0,0.620852995194108
302.0,0.6186161212002041
303.0,0.6189556308607833
304.0,0.6189556308607833
305.0,0.6189556308607833
306.0,0.6189556308607833
307.0,0.6189556308607833
308.0,0.6189556308607833
309.0,0.6189556308607833
310.0,0.6249721192480802
311.0,0.6435340033749464
312.0,0.6435340033749464
313.0,0.6280086830952947
314.0,0.6201428644322298
315.0,0.6201428644322298
316.0,0.6334439221986208
317.0,0.6260969134101857
318.0,0.6190281057563958
319.0,0.6260124654277657
320.0,0.6260124654277657
321.0,0.6260124654277657
322.0,0.6261774523690993
323.0,0.6261774523690993
324.0,0.6261774523690993
325.0,0.6546993437780622
326.0,0.6546993437780622
327.0,0.6758393441171446
328.0,0.6832450103766703
329.0,0.6633822430974232
330.0,0.6633822430974232
331.0,0.6452723016990813
332.0,0.6452723016990813
333.0,0.6596689104702911
334.0,0.6596689104702911
335.0,0.6596689104702911
336.0,0.6741447612735145
337.0,0.6741447612735145
338.0,0.6741447612735145
339.0,0.6741447612735145
340.0,0.6953763015394137
341.0,0.6966703621627102
342.0,0.6849098387308383
343.0,0.6849098387308383
344.0,0.7061968423867
345.0,0.7061968423867
346.0,0.7012423344427676
347.0,0.7113317446570881
348.0,0.7024860447192183
349.0,0.7283766354498284
350.0,0.7523265646187662
351.0,0.7523265646187662
352.0,0.7612106578638409
353.0,0.7612106578638409
354.0,0.770159243744768
355.0,0.770159243744768
356.0,0.770159243744768
357.0,0.770159243744768
358.0,0.770159243744768
359.0,0.770159243744768
360.0,0.7751324042152259
361.0,0.7720074165806587
362.0,0.7720074165806587
363.0,0.775192319072807
364.0,0.775192319072807
365.0,0.7601818282004533
366.0,0.7767501690966561
367.0,0.7767501690966561
368.0,0.7767501690966561
369.0,0.7804192142936008
370.0,0.7804192142936008
371.0,0.7841718465188625
372.0,0.7841718465188625
373.0,0.7841718465188625
374.0,0.7761582128191549
375.0,0.7801176511299377
376.0,0.7801176511299377
377.0,0.7900294120191371
378.0,0.7900294120191371
379.0,0.7941277890768019
380.0,0.8201176511299377
381.0,0.8641718465188628
382.0,0.8788099453065985
383.0,0.8773393724671203
384.0,0.8773393724671203
385.0,0.8773393724671203
386.0,0.8773393724671203
387.0,0.8773393724671203
388.0,0.8773393724671203
389.0,0.8806433958942335
390.0,0.9076780563007492
391.0,0.934010551029109
392.0,0.9448607095020063
393.0,0.944074593695869
394.0,0.9434137727874685
395.0,0.960232573863548
396.0,0.9713086373638802
397.0,0.9882757231376311
398.0,0.9990700188560844
399.0,1.010144514706503
400.0,1.010144514706503
401.0,1.010144514706503
402.0,1.010144514706503
403.0,0.9985720111863006
404.0,1.0101420511870853
405.0,1.0276436228730588
406.0,1.0223611165368824
407.0,1.0223611165368824
408.0,1.0223611165368824
409.0,1.0223611165368824
410.0,1.0223611165368824
411.0,1.0172646598005608
412.0,1.0172646598005608
413.0,1.034614887482255
414.0,1.0520517442850033
415.0,1.0878826223977147
416.0,1.0895810546131945
417.0,1.1017326821752855
418.0,1.1017326821752855
419.0,1.1139428900508244
420.0,1.1150348192792146
421.0,1.1150348192792146
422.0,1.1285838903795722
423.0,1.1285838903795722
424.0,1.1285838903795722
425.0,1.136853563553126
426.0,1.1344891719197077
427.0,1.1580230517374817
428.0,1.1434085454546261
429.0,1.1615223689149765
430.0,1.1615223689149765
431.0,1.1653841368089186
432.0,1.1653841368089186
433.0,1.1620867257819483
434.0,1.1620867257819483
435.0,1.1401570745215726
436.0,1.1974091831565903
437.0,1.2000000000000002
438.0,1.2106545624219804
439.0,1.2106545624219804
440.0,1.2186915476564226
441.0,1.2245130486030291
442.0,1.2245130486030291
443.0,1.2483514967442366
444.0,1.2618333406119897
445.0,1.2544870813209272
446.0,1.2473471746089069
447.0,1.2473471746089069
448.0,1.2353117295611509
449.0,1.2185432467663282
450.0,1.2185432467663282
451.0,1.2444048506773728
452.0,1.2444048506773728
453.0,1.2444048506773728
454.0,1.2331955969901296
455.0,1.2331955969901296
456.0,1.250816996901965
457.0,1.2391708993677706
458.0,1.2391708993677706
459.0,1.2239460507973305
460.0,1.2239460507973305
461.0,1.2239460507973305
462.0,1.2233998945653255
463.0,1.2464693426781555
464.0,1.2652952017214605
465.0,1.2882065111488648
466.0,1.2882065111488648
467.0,1.2882065111488648
468.0,1.2786260397551548
469.0,1.2786260397551548
470.0,1.2786260397551548
471.0,1.2786260397551548
472.0,1.2741395176650712
473.0,1.2741395176650712
474.0,1.2790656245461416
475.0,1.2790656245461416
476.0,1.2562704860079759
477.0,1.28956022995317
478.0,1.28956022995317
479.0,1.29605860884501
480.0,1.2786881721475818
481.0,1.275140453871301
482.0,1.275140453871301
483.0,1.275140453871301
484.0,1.2941705841829787
485.0,1.2941705841829787
486.0,1.3042382799587862
487.0,1.3042382799587862
488.0,1.3143511108481123
489.0,1.3143511108481123
490.0,1.3245090837469005
491.0,1.3283265179781418
492.0,1.3372583002030476
493.0,1.3301096517595412
494.0,1.3076951104559935
495.0,1.3076951104559935
496.0,1.3139733449506643
497.0,1.3139733449506643
498.0,1.3011019521819098
499.0,1.3333286185808602
500.0,1.3356819164926228
501.0,1.3490086461566348
502.0,1.3684115515187663
503.0,1.3878945601865542
504.0,1.3878945601865542
505.0,1.3878945601865542
506.0,1.3904449572006166
507.0,1.3904449572006166
508.0,1.4057697648700547
509.0,1.409684894809093
510.0,1.40834785137972
511.0,1.4238105691290985
512.0,1.4411669503694093
513.0,1.4411669503694093
514.0,1.4526055810526297
515.0,1.4526055810526297
516.0,1.4614407563330905
517.0,1.4614407563330905
518.0,1.4847371276498698
519.0,1.4999588480850785
520.0,1.4871649056652823
521.0,1.4867704126492796
522.0,1.5101008085004755
523.0,1.4947298768107142
524.0,1.5029428746099938
525.0,1.5116606949038212
526.0,1.509633230602276
527.0,1.5506396141678853
528.0,1.5506396141678853
529.0,1.5360798783372775
530.0,1.545731459853445
531.0,1.5365931073707166
532.0,1.5365931073707166
533.0,1.5416231385997934
534.0,1.554248688935409
535.0,1.5377046793512745
536.0,1.5377046793512745
537.0,1.5595555921293243
538.0,1.5962988330808447
539.0,1.6078945847570227
540.0,1.6108153378216974
541.0,1.638375927366773
542.0,1.637972261872226
543.0,1.630088340601425
544.0,1.6392958619384528
545.0,1.6622113842491753
546.0,1.6718362538160982
547.0,1.6645174318038372
548.0,1.7018756107492505
549.0,1.712170957127578
550.0,1.7294599811185352
551.0,1.753713203463406
552.0,1.7711326276734232
553.0,1.803150506174597
554.0,1.8069047717021127
555.0,1.824536432390802
556.0,1.8504310665204042
557.0,1.883174150902407
558.0,1.8803780314274507
559.0,1.8879560442877912
560.0,1.9093276641440489
561.0,1.9040642522433946
562.0,1.916145879563881
563.0,1.9148181105048732
564.0,1.9611947828508645
565.0,1.9694088428153402
566.0,2.015494965311447
567.0,2.04703538795332
568.0,2.0822720614005106
569.0,2.087306314566308
570.0,2.067758309829705
571.0,2.0684481059436552
572.0,2.0828351853870006
573.0,2.08761456011744
574.0,2.080387120945585
575.0,2.0785626303564686
576.0,2.0653843340273608
577.0,2.0681809033406116
578.0,2.0678713771349058
579.0,2.0678713771349058
580.0,2.0829794478227783
581.0,2.0922038839225543
582.0,2.1360402012588176
583.0,2.132954488906985
584.0,2.132954488906985
585.0,2.132954488906985
586.0,2.1310617118818636
587.0,2.1310617118818636
588.0,2.154483195572254
589.0,2.1503788096207157
590.0,2.1390965084784535
591.0,2.1390965084784535
592.0,2.174898191608589
593.0,2.1818679953925884
594.0,2.203960072836385
595.0,2.220060606617146
596.0,2.252386884075318
597.0,2.2696504744936297
598.0,2.2688672633070115
599.0,2.282145710585183
600.0,2.318795399256469
601.0,2.318795399256469
