time,detectable crops upper
0.0,0.0
1.0,0.10949874371066198
2.0,0.15999999999999984
3.0,0.20058722109231966
4.0,0.20058722109231966
5.0,0.20058722109231966
6.0,0.20058722109231966
7.0,0.23595917942265404
8.0,0.2679449471770336
9.0,0.3251470164434615
10.0,0.351293199325011
11.0,0.37618176042508367
12.0,0.37618176042508367
13.0,0.3999999999999998
14.0,0.3999999999999998
15.0,0.44496153618543866
16.0,0.44496153618543866
17.0,0.44496153618543866
18.0,0.44496153618543866
19.0,0.4663034344160046
20.0,0.4663034344160046
21.0,0.4869870314579494
22.0,0.4869870314579494
23.0,0.5070714214271427
24.0,0.5266060555964674
25.0,0.5456327994198592
26.0,0.5999999999999996
27.0,0.5999999999999996
28.0,0.5999999999999996
29.0,0.650832508250016
30.0,0.6670831300812529
31.0,0.6830127018922193
32.0,0.6830127018922193
33.0,0.7139594576084627
34.0,0.7139594576084627
35.0,0.7139594576084627
36.0,0.7507440918375925
37.0,0.7507440918375925
38.0,0.7858830507286974
39.0,0.8138849074937646
40.0,0.8138849074937646
41.0,0.8138849074937646
42.0,0.8138849074937646
43.0,0.8468775948927791
44.0,0.8468775948927791
45.0,0.8601886456724619
46.0,0.8732916650389357
47.0,0.8861902647381799
48.0,0.8861902647381799
49.0,0.9171355310873648
50.0,0.9417828762075258
51.0,0.9417828762075258
52.0,0.9538262143604183
53.0,0.9830951894845299
54.0,0.9830951894845299
55.0,1.0115812497078014
56.0,1.0115812497078014
57.0,1.039354502688081
58.0,1.039354502688081
59.0,1.039354502688081
60.0,1.039354502688081
61.0,1.039354502688081
62.0,1.039354502688081
63.0,1.039354502688081
64.0,1.039354502688081
65.0,1.0505642593640079
66.0,1.0505642593640079
67.0,1.0616108107168023
68.0,1.0990618123468183
69.0,1.0990618123468183
70.0,1.0990618123468183
71.0,1.0990618123468183
72.0,1.1250572494064928
73.0,1.1354387843269578
74.0,1.1807458535093605
75.0,1.1807458535093605
76.0,1.2052736679604727
77.0,1.2052736679604727
78.0,1.2052736679604727
79.0,1.224397545290747
80.0,1.224397545290747
81.0,1.2337397165588673
82.0,1.2337397165588673
83.0,1.2574238309665078
84.0,1.2574238309665078
85.0,1.2754135460285483
86.0,1.2984490101623407
87.0,1.2984490101623407
88.0,1.2984490101623407
89.0,1.2984490101623407
90.0,1.2984490101623407
91.0,1.2984490101623407
92.0,1.307106781186547
93.0,1.3239886362719213
94.0,1.3239886362719213
95.0,1.3463099887618488
96.0,1.3463099887618488
97.0,1.3463099887618488
98.0,1.368285658241325
99.0,1.4374316690230728
100.0,1.4374316690230728
101.0,1.4453063910480815
102.0,1.4658753081755402
103.0,1.4658753081755402
104.0,1.473517708797957
105.0,1.4937253933193775
106.0,1.4937253933193775
107.0,1.4937253933193775
108.0,1.4937253933193775
109.0,1.4937253933193775
110.0,1.4937253933193775
111.0,1.4937253933193775
112.0,1.4937253933193775
113.0,1.5011384202527394
114.0,1.5011384202527394
115.0,1.5084161337770807
116.0,1.5084161337770807
117.0,1.5477128202523471
118.0,1.5477128202523471
119.0,1.554673846971554
120.0,1.554673846971554
121.0,1.5928608630868286
122.0,1.5995120499419158
123.0,1.6060269603389337
124.0,1.624621125123532
125.0,1.624621125123532
126.0,1.6430066026148893
127.0,1.661189633792524
128.0,1.661189633792524
129.0,1.661189633792524
130.0,1.6733066662399858
131.0,1.6911301920630355
132.0,1.6968990381163072
133.0,1.714452485341834
134.0,1.714452485341834
135.0,1.714452485341834
136.0,1.714452485341834
137.0,1.7318215775618742
138.0,1.7372897969408103
139.0,1.771336171305954
140.0,1.7765045242145545
141.0,1.7765045242145545
142.0,1.7765045242145545
143.0,1.7981375181169974
144.0,1.8029361054615993
145.0,1.8029361054615993
146.0,1.8029361054615993
147.0,1.8238735269347561
148.0,1.8238735269347561
149.0,1.8399999999999999
150.0,1.8559676668328904
151.0,1.8759676668328904
152.0,1.8955056325639943
153.0,1.922269800004511
154.0,1.922269800004511
155.0,1.922269800004511
156.0,1.9374119674649428
157.0,1.9374119674649428
158.0,1.9374119674649428
159.0,1.9374119674649428
160.0,1.9524124606929245
161.0,1.9524124606929245
162.0,1.9524124606929245
163.0,1.9524124606929245
164.0,1.9524124606929245
165.0,1.9742510955605317
166.0,1.9742510955605317
167.0,2.028625335328044
168.0,2.0782963284591913
169.0,2.105727233402951
170.0,2.105727233402951
171.0,2.105727233402951
172.0,2.105727233402951
173.0,2.1086692708297203
174.0,2.1086692708297203
175.0,2.132680429105164
176.0,2.132680429105164
177.0,2.132680429105164
178.0,2.132680429105164
179.0,2.132680429105164
180.0,2.132680429105164
181.0,2.132680429105164
182.0,2.132680429105164
183.0,2.1459811713627
184.0,2.1851942809610927
185.0,2.1851942809610927
186.0,2.1851942809610927
