time,undetectable crops upper
0.0,3.0
1.0,3.12
2.0,3.14058722109232
3.0,3.14058722109232
4.0,3.178997487421324
5.0,3.209807621135332
6.0,3.209807621135332
7.0,3.216405499221705
8.0,3.221719042916297
9.0,3.221719042916297
10.0,3.221719042916297
11.0,3.225941170815567
12.0,3.2259411708155667
13.0,3.2316624790355397
14.0,3.2316624790355397
15.0,3.234400902933387
16.0,3.234400902933387
17.0,3.234400902933387
18.0,3.234828726939094
19.0,3.2604996878900154
20.0,3.259267638593623
21.0,3.257612260356422
22.0,3.2555584566190645
23.0,3.303033476111609
24.0,3.30021271782035
25.0,3.30021271782035
26.0,3.30021271782035
27.0,3.29363209157375
28.0,3.29363209157375
29.0,3.2898979485566353
30.0,3.2898979485566353
31.0,3.2898979485566353
32.0,3.285883050728698
33.0,3.285883050728698
34.0,3.2914132102234572
35.0,3.2672040216394302
36.0,3.2672040216394302
37.0,3.2989275444992847
38.0,3.2989275444992847
39.0,3.3045268253204707
40.0,3.309909083394701
41.0,3.333116329012044
42.0,3.327802782663136
43.0,3.327802782663136
44.0,3.327802782663136
45.0,3.327802782663136
46.0,3.327802782663136
47.0,3.327802782663136
48.0,3.2914132102234572
49.0,3.2914132102234572
50.0,3.28619026473818
51.0,3.28619026473818
52.0,3.2989275444992847
53.0,3.2989275444992847
54.0,3.291413210223457
55.0,3.32227615711298
56.0,3.32227615711298
57.0,3.32227615711298
58.0,3.316541412215983
59.0,3.316541412215983
60.0,3.3044655678480983
61.0,3.298132638101304
62.0,3.3044655678480983
63.0,3.3044655678480983
64.0,3.3044655678480983
65.0,3.3044655678480983
66.0,3.298132638101304
67.0,3.298132638101304
68.0,3.3044655678480983
69.0,3.3044655678480983
70.0,3.298132638101304
71.0,3.291607978309962
72.0,3.3044655678480983
73.0,3.3148966853934643
74.0,3.3148966853934643
75.0,3.3148966853934643
76.0,3.3082762530298226
77.0,3.3082762530298226
78.0,3.331208499619894
79.0,3.317614531380528
80.0,3.317614531380528
81.0,3.317614531380528
82.0,3.3403124237432857
83.0,3.3403124237432857
84.0,3.2873329733620253
85.0,3.2800000000000002
86.0,3.2800000000000002
87.0,3.2800000000000002
88.0,3.2724949798994367
89.0,3.2724949798994367
90.0,3.2724949798994367
91.0,3.2806246951218783
92.0,3.2806246951218783
93.0,3.2806246951218783
94.0,3.2806246951218783
95.0,3.2806246951218783
96.0,3.2806246951218783
97.0,3.2806246951218783
98.0,3.272728558568856
99.0,3.296048778674269
100.0,3.288357266740185
101.0,3.288357266740185
102.0,3.303834841531101
103.0,3.303834841531101
104.0,3.2806246951218783
105.0,3.2806246951218783
106.0,3.288357266740185
107.0,3.2959245238233863
108.0,3.2959245238233863
109.0,3.2959245238233863
110.0,3.2806246951218783
111.0,3.28
112.0,3.272728558568856
113.0,3.272728558568856
114.0,3.272728558568856
115.0,3.2646704584514477
116.0,3.2646704584514477
117.0,3.296048778674269
118.0,3.296048778674269
119.0,3.296048778674269
120.0,3.296048778674269
121.0,3.288357266740185
122.0,3.272728558568856
123.0,3.272728558568856
124.0,3.3414690014960335
125.0,3.333739716558867
126.0,3.3258571279792895
127.0,3.3258571279792895
128.0,3.3178226515607054
129.0,3.33221079456243
130.0,3.3013031173081746
131.0,3.3013031173081746
132.0,3.3096375859826663
133.0,3.33221079456243
134.0,3.33221079456243
135.0,3.3544228439796693
136.0,3.3601369734508717
137.0,3.3601369734508717
138.0,3.3601369734508717
139.0,3.3601369734508717
140.0,3.3818894796396557
141.0,3.3818894796396557
142.0,3.3818894796396557
143.0,3.3818894796396557
144.0,3.3737069315261214
145.0,3.3737069315261214
146.0,3.3737069315261214
147.0,3.4580989785553586
148.0,3.518535277187246
149.0,3.518535277187246
150.0,3.518535277187246
151.0,3.518535277187246
152.0,3.503164625090268
153.0,3.5306623862918083
154.0,3.5306623862918083
155.0,3.5306623862918083
156.0,3.5582741502544004
157.0,3.561816307401945
158.0,3.553798619596116
159.0,3.553798619596116
160.0,3.561816307401945
161.0,3.5582741502544004
162.0,3.573655023721857
163.0,3.5660254037844394
164.0,3.5582741502544004
165.0,3.6031812525451894
166.0,3.6219544457292896
167.0,3.6248261870529737
168.0,3.6219544457292896
169.0,3.6219544457292896
170.0,3.6433981132056608
171.0,3.6379144011862445
172.0,3.6585703858180065
173.0,3.676863719061554
174.0,3.686945334509371
175.0,3.7148891565092224
176.0,3.686945334509371
177.0,3.6887616170334803
178.0,3.7344080432788607
179.0,3.7520652570736637
180.0,3.807014259336096
181.0,3.8332225523438144
182.0,3.8689029809426265
183.0,3.885600279329575
184.0,3.936381051770467
185.0,3.944780314534852
186.0,3.944780314534852
187.0,3.944780314534852
188.0,3.977538500417954
189.0,3.9930952147296592
190.0,4.0252732491234475
191.0,4.0252732491234475
192.0,4.032882800593795
193.0,4.0404064369142425
194.0,4.033342269851708
195.0,4.033342269851708
196.0,4.025632369521601
197.0,4.057241097818405
198.0,4.05734098814686
199.0,4.05734098814686
200.0,4.057241097818405
201.0,4.017838130528154
202.0,4.009959999359979
203.0,4.017838130528154
204.0,4.017838130528154
205.0,4.001933975700801
206.0,3.9535315156087423
207.0,3.9696399481450646
208.0,3.9696399481450646
209.0,3.9855433615645097
210.0,3.953342269851709
211.0,3.9274179893734624
212.0,3.9266491226855207
213.0,3.9274179893734624
214.0,3.9266491226855207
215.0,3.917872233310597
216.0,3.917872233310597
217.0,3.917872233310597
218.0,3.9266491226855207
219.0,3.9588366847665384
220.0,3.9588366847665384
221.0,3.9432242536175637
222.0,3.9518490476467716
223.0,3.9518490476467716
224.0,3.9518490476467716
225.0,3.9845232578665133
226.0,4.032097557348538
227.0,4.032727907124125
228.0,4.032727907124125
229.0,4.048587024236447
230.0,4.040922749435953
231.0,4.049038105676658
232.0,4.0875541420220864
233.0,4.0875541420220864
234.0,4.110559584651126
235.0,4.125956908671299
236.0,4.133366173657373
