time,undetectable crops lower
0.0,3.0
1.0,2.890501256289338
2.0,2.8400000000000003
3.0,2.7994127789076804
4.0,2.7994127789076804
5.0,2.7994127789076804
6.0,2.7994127789076804
7.0,2.764040820577346
8.0,2.7320550528229663
9.0,2.6748529835565384
10.0,2.6487068006749888
11.0,2.6238182395749168
12.0,2.6238182395749168
13.0,2.6
14.0,2.6
15.0,2.555038463814561
16.0,2.555038463814561
17.0,2.555038463814561
18.0,2.555038463814561
19.0,2.5336965655839956
20.0,2.5336965655839956
21.0,2.5336965655839956
22.0,2.5336965655839956
23.0,2.5130129685420504
24.0,2.492928578572857
25.0,2.4733939444035324
26.0,2.4176990950813395
27.0,2.410610210190825
28.0,2.410610210190825
29.0,2.3588387772537978
30.0,2.3422786274352134
31.0,2.326040542391538
32.0,2.326040542391538
33.0,2.2884069550979356
34.0,2.2884069550979356
35.0,2.2884069550979356
36.0,2.25250628144669
37.0,2.25250628144669
38.0,2.218080465972005
39.0,2.203597112469925
40.0,2.203597112469925
41.0,2.203597112469925
42.0,2.203597112469925
43.0,2.1708187912901615
44.0,2.1708187912901615
45.0,2.175303824588206
46.0,2.1529021248496876
47.0,2.1391234809523167
48.0,2.1391234809523167
49.0,2.1083920216900385
50.0,2.1121591914722533
51.0,2.1121591914722533
52.0,2.0989664381466424
53.0,2.134472732120566
54.0,2.134472732120566
55.0,2.116439887855786
56.0,2.116439887855786
57.0,2.085962329982047
58.0,2.085962329982047
59.0,2.085962329982047
60.0,2.085962329982047
61.0,2.085962329982047
62.0,2.0989664381466424
63.0,2.0989664381466424
64.0,2.0989664381466424
65.0,2.0859623299820473
66.0,2.0859623299820473
67.0,2.0731439699551513
68.0,2.0651956854720037
69.0,2.0651956854720037
70.0,2.0651956854720037
71.0,2.0651956854720037
72.0,2.0357778193301765
73.0,2.023677939364977
74.0,2.011752559554159
75.0,2.023677939364977
76.0,1.9952642844278525
77.0,1.9952642844278525
78.0,1.9952642844278525
79.0,1.9835585997031027
80.0,1.9835585997031027
81.0,1.9720194177807848
82.0,1.9720194177807848
83.0,1.9606454973119187
84.0,1.9606454973119187
85.0,1.9335253343612178
86.0,1.9070068913074203
87.0,1.9070068913074203
88.0,1.9070068913074203
89.0,1.9070068913074203
90.0,1.9070068913074203
91.0,1.9180030674918789
92.0,1.9070068913074203
93.0,1.8854772731218574
94.0,1.8854772731218574
95.0,1.8598507628893395
96.0,1.8598507628893395
97.0,1.8598507628893395
98.0,1.8347263320395268
99.0,1.7858571571457151
100.0,1.7858571571457151
101.0,1.7858571571457151
102.0,1.7759271745823115
103.0,1.8
104.0,1.7858571571457151
105.0,1.7620576945938637
106.0,1.7620576945938637
107.0,1.7719890110719483
108.0,1.7719890110719483
109.0,1.7719890110719483
110.0,1.8026073962432663
111.0,1.7994596567370555
112.0,1.7994596567370555
113.0,1.7889871795980852
114.0,1.7889871795980852
115.0,1.778649880285974
116.0,1.778649880285974
117.0,1.7450165564729252
118.0,1.7450165564729252
119.0,1.7719890110719483
120.0,1.7719890110719483
121.0,1.738649880285974
122.0,1.7289871795980853
123.0,1.719459656737055
124.0,1.7100675706525628
125.0,1.7100675706525628
126.0,1.7100675706525628
127.0,1.687404491110929
128.0,1.687404491110929
129.0,1.706076927001169
130.0,1.687404491110929
131.0,1.665081703709475
