time,undetectable crops lower
0.0,3.0
1.0,2.84
2.0,2.7994127789076804
3.0,2.7994127789076804
4.0,2.781002512578676
5.0,2.690192378864668
6.0,2.690192378864668
7.0,2.663594500778295
8.0,2.6382809570837034
9.0,2.6382809570837034
10.0,2.6382809570837034
11.0,2.6140588291844327
12.0,2.614058829184433
13.0,2.56833752096446
14.0,2.56833752096446
15.0,2.5255990970666127
16.0,2.5255990970666127
17.0,2.5255990970666127
18.0,2.505171273060906
19.0,2.4595003121099843
20.0,2.4407323614063774
21.0,2.4223877396435776
22.0,2.4044415433809356
23.0,2.376966523888391
24.0,2.35978728217965
25.0,2.35978728217965
26.0,2.35978728217965
27.0,2.32636790842625
28.0,2.32636790842625
29.0,2.3101020514433643
30.0,2.3101020514433643
31.0,2.3101020514433643
32.0,2.2941169492713023
33.0,2.2941169492713023
34.0,2.2285867897765423
35.0,2.2327959783605698
36.0,2.2327959783605698
37.0,2.1810724555007157
38.0,2.1810724555007157
39.0,2.1954731746795293
40.0,2.2100909166052984
41.0,2.2068836709879562
42.0,2.192197217336864
43.0,2.192197217336864
44.0,2.192197217336864
45.0,2.192197217336864
46.0,2.192197217336864
47.0,2.192197217336864
48.0,2.2285867897765423
49.0,2.2285867897765423
50.0,2.21380973526182
51.0,2.21380973526182
52.0,2.1810724555007157
53.0,2.1810724555007157
54.0,2.228586789776543
55.0,2.17772384288702
56.0,2.17772384288702
57.0,2.17772384288702
58.0,2.1634585877840173
59.0,2.1634585877840173
60.0,2.135534432151902
61.0,2.121867361898696
62.0,2.135534432151902
63.0,2.135534432151902
64.0,2.135534432151902
65.0,2.135534432151902
66.0,2.121867361898696
67.0,2.121867361898696
68.0,2.135534432151902
69.0,2.135534432151902
70.0,2.121867361898696
71.0,2.1083920216900385
72.0,2.135534432151902
73.0,2.1051033146065357
74.0,2.1051033146065357
75.0,2.1051033146065357
76.0,2.0917237469701777
77.0,2.0917237469701777
78.0,2.088791500380106
79.0,2.062385468619472
80.0,2.062385468619472
81.0,2.062385468619472
82.0,2.0596875762567146
83.0,2.0596875762567146
84.0,2.0526670266379745
85.0,2.04
86.0,2.04
87.0,2.04
88.0,2.027505020100563
89.0,2.027505020100563
90.0,2.027505020100563
91.0,1.999375304878122
92.0,1.999375304878122
93.0,1.999375304878122
94.0,1.999375304878122
95.0,1.999375304878122
96.0,1.999375304878122
97.0,1.999375304878122
98.0,1.9872714414311436
99.0,1.9839512213257315
100.0,2.011642733259815
101.0,2.011642733259815
102.0,1.9961651584688989
103.0,1.9961651584688989
104.0,1.999375304878122
105.0,1.999375304878122
106.0,2.011642733259815
107.0,2.024075476176614
108.0,2.024075476176614
109.0,2.024075476176614
110.0,1.999375304878122
111.0,1.9600000000000004
112.0,1.9872714414311436
113.0,1.9872714414311436
114.0,1.9872714414311436
115.0,1.9753295415485526
116.0,1.9753295415485526
117.0,1.9839512213257315
118.0,1.9839512213257315
119.0,1.9839512213257315
120.0,1.9839512213257315
121.0,2.011642733259815
122.0,1.9872714414311439
123.0,1.9872714414311439
124.0,1.978530998503967
125.0,1.9662602834411327
126.0,1.9541428720207108
127.0,1.9541428720207108
128.0,1.9421773484392946
129.0,1.9277892054375698
130.0,1.9186968826918251
131.0,1.9186968826918251
132.0,1.9303624140173339
133.0,1.9277892054375698
134.0,1.9277892054375698
135.0,1.925577156020331
136.0,1.8998630265491279
137.0,1.8998630265491279
138.0,1.8998630265491279
139.0,1.8998630265491279
140.0,1.8981105203603446
141.0,1.8981105203603446
142.0,1.8981105203603446
143.0,1.8981105203603446
144.0,1.8862930684738783
145.0,1.8862930684738783
146.0,1.8862930684738783
147.0,1.8819010214446412
148.0,1.8814647228127543
149.0,1.8814647228127543
150.0,1.8814647228127543
151.0,1.8814647228127543
152.0,1.8568353749097324
153.0,1.869337613708192
154.0,1.869337613708192
155.0,1.869337613708192
156.0,1.8217258497455995
157.0,1.7981836925980552
158.0,1.7862013804038837
159.0,1.7862013804038837
160.0,1.7981836925980552
161.0,1.8217258497455995
162.0,1.8463449762781432
163.0,1.833974596215561
164.0,1.8217258497455995
165.0,1.7768187474548103
166.0,1.778045554270711
167.0,1.7551738129470262
168.0,1.778045554270711
169.0,1.778045554270711
170.0,1.7566018867943396
171.0,1.7220855988137556
172.0,1.7014296141819938
173.0,1.703136280938446
174.0,1.6930546654906289
175.0,1.685110843490778
176.0,1.6930546654906289
177.0,1.67123838296652
178.0,1.66559195672114
179.0,1.6679347429263363
180.0,1.6329857406639046
181.0,1.6267774476561856
182.0,1.5910970190573734
183.0,1.5943997206704252
184.0,1.5636189482295328
185.0,1.5552196854651479
186.0,1.5552196854651479
187.0,1.5552196854651479
188.0,1.5424614995820456
189.0,1.5669047852703402
190.0,1.5547267508765528
191.0,1.5547267508765528
192.0,1.5671171994062052
193.0,1.5795935630857578
194.0,1.5466577301482918
195.0,1.5466577301482918
196.0,1.5343676304783986
197.0,1.5227589021815946
198.0,1.5026590118531393
199.0,1.5026590118531393
200.0,1.5227589021815946
201.0,1.522161869471846
202.0,1.5100400006400203
203.0,1.522161869471846
204.0,1.522161869471846
205.0,1.518066024299198
206.0,1.4864684843912583
207.0,1.4703600518549356
208.0,1.4703600518549356
209.0,1.4544566384354904
210.0,1.466657730148291
211.0,1.4125820106265372
212.0,1.3933508773144798
213.0,1.4125820106265372
214.0,1.3933508773144798
215.0,1.3821277666894027
216.0,1.3821277666894027
217.0,1.3821277666894027
218.0,1.3933508773144798
219.0,1.3811633152334613
220.0,1.3811633152334613
221.0,1.3967757463824362
222.0,1.4081509523532287
223.0,1.4081509523532287
224.0,1.4081509523532287
225.0,1.4154767421334868
226.0,1.4079024426514624
227.0,1.4272720928758753
228.0,1.4272720928758753
229.0,1.4314129757635532
230.0,1.4390772505640472
231.0,1.450961894323342
232.0,1.432445857977913
233.0,1.432445857977913
234.0,1.4294404153488744
235.0,1.4340430913287012
236.0,1.426633826342627
237.0,1.438741327502392
238.0,1.4509262436767967
239.0,1.4509262436767967
240.0,1.4388410663504358
241.0,1.4367663512533162
242.0,1.4367663512533162
243.0,1.4367663512533162
244.0,1.4511961705884344
245.0,1.4420014306158961
246.0,1.415397582357503
247.0,1.419352668718628
248.0,1.441095328373812
249.0,1.434866554379976
250.0,1.4402127820128312
251.0,1.4527331454198182
252.0,1.4527331454198182
253.0,1.4742150238944
254.0,1.4742150238944
255.0,1.4402127820128312
256.0,1.4371357356678895
257.0,1.435839344117145
258.0,1.4427804621422662
259.0,1.4220562425113932
260.0,1.4278440575643097
261.0,1.4512421284842854
262.0,1.4504276917500767
263.0,1.456976690920326
264.0,1.4570228025512082
265.0,1.4570228025512082
266.0,1.4836958588498785
267.0,1.52351769397666
268.0,1.536941956337089
269.0,1.52351769397666
270.0,1.5035567930186102
271.0,1.4967584462485828
272.0,1.4702941459221646
273.0,1.484328624836443
