time,detectable sentinels lower
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,-0.08949874371066197
28.0,-0.08949874371066197
29.0,-0.08949874371066197
30.0,-0.08949874371066197
31.0,-0.08949874371066197
32.0,-0.08949874371066197
33.0,-0.08949874371066197
34.0,-0.08949874371066197
35.0,-0.08949874371066197
36.0,-0.08949874371066197
37.0,-0.08949874371066197
38.0,-0.08949874371066197
39.0,-0.08949874371066197
40.0,-0.08949874371066197
41.0,-0.08949874371066197
42.0,-0.08949874371066197
43.0,-0.08949874371066197
44.0,-0.08949874371066197
45.0,-0.08949874371066197
46.0,-0.08949874371066197
47.0,-0.08949874371066197
48.0,-0.08949874371066197
49.0,-0.08949874371066197
50.0,-0.08949874371066197
51.0,-0.08949874371066197
52.0,-0.08949874371066197
53.0,-0.08949874371066197
54.0,-0.08949874371066197
55.0,-0.08949874371066197
56.0,-0.08949874371066197
57.0,-0.08949874371066197
58.0,-0.08949874371066197
59.0,-0.08949874371066197
60.0,-0.08949874371066197
61.0,-0.08949874371066197
62.0,-0.08949874371066197
63.0,-0.08949874371066197
64.0,-0.11999999999999993
65.0,-0.11999999999999993
66.0,-0.11999999999999993
67.0,-0.11999999999999993
68.0,-0.11999999999999993
69.0,-0.11999999999999993
70.0,-0.11999999999999993
71.0,-0.11999999999999993
72.0,-0.11999999999999993
73.0,-0.11999999999999993
74.0,-0.11999999999999993
75.0,-0.14058722109231972
76.0,-0.14058722109231972
77.0,-0.14058722109231972
78.0,-0.14058722109231972
79.0,-0.14058722109231972
80.0,-0.14058722109231972
81.0,-0.14058722109231972
82.0,-0.14058722109231972
83.0,-0.14058722109231972
84.0,-0.14058722109231972
85.0,-0.14058722109231972
86.0,-0.14058722109231972
87.0,-0.14058722109231972
88.0,-0.14058722109231972
89.0,-0.14058722109231972
90.0,-0.14058722109231972
91.0,-0.14058722109231972
92.0,-0.14058722109231972
93.0,-0.14058722109231972
94.0,-0.14058722109231972
95.0,-0.14058722109231972
96.0,-0.16794494717703362
97.0,-0.16794494717703362
98.0,-0.16794494717703362
99.0,-0.16794494717703362
100.0,-0.16794494717703362
101.0,-0.21640549922170477
102.0,-0.2217190429162964
103.0,-0.2217190429162964
104.0,-0.2217190429162964
105.0,-0.2217190429162964
106.0,-0.22594117081556714
107.0,-0.22594117081556714
108.0,-0.22594117081556714
109.0,-0.22594117081556714
110.0,-0.22921779399024736
111.0,-0.22921779399024736
112.0,-0.26055512754639887
113.0,-0.26055512754639887
114.0,-0.26055512754639887
115.0,-0.26055512754639887
116.0,-0.26055512754639887
117.0,-0.26055512754639887
118.0,-0.26055512754639887
119.0,-0.26055512754639887
120.0,-0.26055512754639887
121.0,-0.26055512754639887
122.0,-0.26055512754639887
123.0,-0.2869397989875162
124.0,-0.2869397989875162
125.0,-0.2869397989875162
126.0,-0.2869397989875162
127.0,-0.2860528812542943
128.0,-0.2860528812542943
129.0,-0.2860528812542943
130.0,-0.2860528812542943
131.0,-0.2860528812542943
132.0,-0.2860528812542943
133.0,-0.2860528812542943
134.0,-0.2860528812542943
135.0,-0.2860528812542943
136.0,-0.2860528812542943
137.0,-0.2860528812542943
138.0,-0.2860528812542943
139.0,-0.2860528812542943
140.0,-0.2860528812542943
141.0,-0.2860528812542943
142.0,-0.2860528812542943
143.0,-0.2847352116319062
144.0,-0.2847352116319062
