time,undetectable sentinels lower
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,-0.08949874371066197
7.0,-0.08949874371066197
8.0,-0.08949874371066197
9.0,-0.08949874371066197
10.0,-0.08949874371066197
11.0,-0.08949874371066197
12.0,-0.08949874371066197
13.0,-0.08949874371066197
14.0,-0.08949874371066197
15.0,-0.08949874371066197
16.0,-0.08949874371066197
17.0,-0.08949874371066197
18.0,-0.08949874371066197
19.0,-0.08949874371066197
20.0,-0.08949874371066197
21.0,-0.08949874371066197
22.0,-0.08949874371066197
23.0,-0.08949874371066197
24.0,-0.08949874371066197
25.0,-0.08949874371066197
26.0,-0.17899748742132393
27.0,-0.08949874371066197
28.0,-0.08949874371066197
29.0,-0.08949874371066197
30.0,-0.08949874371066197
31.0,-0.08949874371066197
32.0,-0.08949874371066197
33.0,-0.08949874371066197
34.0,-0.08949874371066197
35.0,-0.08949874371066197
36.0,-0.08949874371066197
37.0,-0.08949874371066197
38.0,-0.08949874371066197
39.0,-0.08949874371066197
40.0,-0.08949874371066197
41.0,-0.08949874371066197
42.0,-0.11999999999999993
43.0,-0.11999999999999993
44.0,-0.1405872210923198
45.0,-0.1405872210923198
46.0,-0.1405872210923198
47.0,-0.15595917942265417
48.0,-0.15595917942265417
49.0,-0.15595917942265417
50.0,-0.15595917942265417
51.0,-0.15595917942265417
52.0,-0.15595917942265417
53.0,-0.15595917942265417
54.0,-0.15595917942265417
55.0,-0.15595917942265417
56.0,-0.15595917942265417
57.0,-0.15595917942265417
58.0,-0.15595917942265417
59.0,-0.15595917942265417
60.0,-0.16794494717703362
61.0,-0.16794494717703362
62.0,-0.16794494717703362
63.0,-0.16794494717703362
64.0,-0.15595917942265417
65.0,-0.15595917942265417
66.0,-0.15595917942265417
67.0,-0.16794494717703373
68.0,-0.1774868417407583
69.0,-0.1774868417407583
70.0,-0.1774868417407583
71.0,-0.22171904291629646
72.0,-0.22171904291629646
73.0,-0.22171904291629646
74.0,-0.22171904291629646
75.0,-0.2164054992217047
76.0,-0.2164054992217047
77.0,-0.2164054992217047
78.0,-0.2164054992217047
79.0,-0.22594117081556708
80.0,-0.22594117081556708
81.0,-0.22594117081556708
82.0,-0.22594117081556708
83.0,-0.22594117081556708
84.0,-0.22594117081556708
85.0,-0.22594117081556708
86.0,-0.22594117081556708
87.0,-0.22594117081556708
88.0,-0.22594117081556708
89.0,-0.22594117081556708
90.0,-0.22594117081556708
91.0,-0.22594117081556708
92.0,-0.22594117081556708
93.0,-0.22594117081556708
94.0,-0.22594117081556708
95.0,-0.22594117081556708
96.0,-0.21640549922170477
97.0,-0.22171904291629646
98.0,-0.22171904291629646
99.0,-0.22171904291629646
100.0,-0.22171904291629646
101.0,-0.21640549922170488
102.0,-0.1774868417407582
103.0,-0.1774868417407582
104.0,-0.1774868417407582
105.0,-0.1851470164434615
106.0,-0.1774868417407582
107.0,-0.1851470164434615
108.0,-0.1851470164434615
109.0,-0.1851470164434615
110.0,-0.17748684174075824
111.0,-0.1851470164434615
112.0,-0.18514701644346143
113.0,-0.18514701644346143
114.0,-0.191293199325011
115.0,-0.191293199325011
116.0,-0.19618176042508376
117.0,-0.19618176042508376
118.0,-0.19618176042508376
119.0,-0.19618176042508376
120.0,-0.19999999999999976
121.0,-0.19999999999999976
122.0,-0.19999999999999976
123.0,-0.1961817604250837
124.0,-0.1961817604250837
125.0,-0.1961817604250837
126.0,-0.1961817604250837
127.0,-0.19129319932501093
128.0,-0.19129319932501093
129.0,-0.19129319932501093
130.0,-0.1961817604250837
131.0,-0.1961817604250837
132.0,-0.1961817604250837
133.0,-0.1961817604250837
134.0,-0.1961817604250837
135.0,-0.19999999999999976
