time,undetectable crops upper
0.0,3.0
1.0,3.0894987437106622
2.0,3.1199999999999997
3.0,3.14058722109232
4.0,3.14058722109232
5.0,3.14058722109232
6.0,3.14058722109232
7.0,3.155959179422654
8.0,3.167944947177034
9.0,3.185147016443462
10.0,3.191293199325011
11.0,3.1961817604250835
12.0,3.1961817604250835
13.0,3.1999999999999997
14.0,3.1999999999999997
15.0,3.2049615361854387
16.0,3.2049615361854387
17.0,3.2049615361854387
18.0,3.2049615361854387
19.0,3.2063034344160046
20.0,3.2063034344160046
21.0,3.2063034344160046
22.0,3.2063034344160046
23.0,3.2069870314579494
24.0,3.207071421427143
25.0,3.2066060555964673
26.0,3.2023009049186606
27.0,3.229389789809175
28.0,3.229389789809175
29.0,3.2211612227462023
30.0,3.217721372564786
31.0,3.2139594576084622
32.0,3.2139594576084622
33.0,3.231593044902064
34.0,3.231593044902064
35.0,3.231593044902064
36.0,3.24749371855331
37.0,3.24749371855331
38.0,3.2619195340279954
39.0,3.256402887530075
40.0,3.256402887530075
41.0,3.256402887530075
42.0,3.256402887530075
43.0,3.269181208709839
44.0,3.269181208709839
45.0,3.244696175411794
46.0,3.287097875150313
47.0,3.280876519047683
48.0,3.280876519047683
49.0,3.291607978309962
50.0,3.2678408085277466
51.0,3.2678408085277466
52.0,3.261033561853358
53.0,3.2255272678794342
54.0,3.2255272678794342
55.0,3.2435601121442144
56.0,3.2435601121442144
57.0,3.254037670017953
58.0,3.254037670017953
59.0,3.254037670017953
60.0,3.254037670017953
61.0,3.254037670017953
62.0,3.261033561853358
63.0,3.261033561853358
64.0,3.261033561853358
65.0,3.2540376700179525
66.0,3.2540376700179525
67.0,3.246856030044849
68.0,3.2148043145279965
69.0,3.2148043145279965
70.0,3.2148043145279965
71.0,3.2148043145279965
72.0,3.2242221806698232
73.0,3.216322060635023
74.0,3.2082474404458408
75.0,3.216322060635023
76.0,3.224735715572147
77.0,3.224735715572147
78.0,3.224735715572147
79.0,3.2164414002968975
80.0,3.2164414002968975
81.0,3.207980582219215
82.0,3.207980582219215
83.0,3.1993545026880814
84.0,3.1993545026880814
85.0,3.206474665638782
86.0,3.21299310869258
87.0,3.21299310869258
88.0,3.21299310869258
89.0,3.21299310869258
90.0,3.21299310869258
91.0,3.221996932508121
92.0,3.21299310869258
93.0,3.1945227268781426
94.0,3.1945227268781426
95.0,3.20014923711066
96.0,3.20014923711066
97.0,3.20014923711066
98.0,3.205273667960473
99.0,3.214142842854285
100.0,3.214142842854285
101.0,3.214142842854285
102.0,3.204072825417689
103.0,3.2
104.0,3.214142842854285
105.0,3.2179423054061367
106.0,3.2179423054061367
107.0,3.2280109889280517
108.0,3.2280109889280517
109.0,3.2280109889280517
110.0,3.2573926037567333
111.0,3.2805403432629445
112.0,3.2805403432629445
113.0,3.271012820401914
114.0,3.271012820401914
115.0,3.261350119714026
116.0,3.261350119714026
117.0,3.254983443527075
118.0,3.254983443527075
119.0,3.2280109889280517
120.0,3.2280109889280517
121.0,3.221350119714026
122.0,3.211012820401915
123.0,3.200540343262945
124.0,3.1899324293474374
125.0,3.1899324293474374
126.0,3.1899324293474374
127.0,3.192595508889071
128.0,3.192595508889071
129.0,3.213923072998831
130.0,3.192595508889071
131.0,3.1949182962905254
132.0,3.1949182962905254
133.0,3.196916983982201
134.0,3.231454357496375
135.0,3.24
136.0,3.250448588953815
137.0,3.2756674251823767
138.0,3.265232885567896
139.0,3.2421489758877433
140.0,3.231454357496375
141.0,3.2421489758877433
142.0,3.2631582439841376
143.0,3.2546738469715546
144.0,3.2439900496896708
145.0,3.26700673191841
146.0,3.277557337438788
147.0,3.26700673191841
148.0,3.3016650165000327
149.0,3.3029361054615993
150.0,3.2922910301065005
151.0,3.2823224454924036
152.0,3.2602325267042622
153.0,3.2719863944528855
154.0,3.2719863944528855
155.0,3.2719863944528855
156.0,3.2606815542521597
157.0,3.2606815542521597
158.0,3.2606815542521597
159.0,3.2606815542521597
160.0,3.2606815542521597
161.0,3.3273618495495696
162.0,3.3273618495495696
163.0,3.359684158023077
164.0,3.391390755566471
165.0,3.3687236586493667
166.0,3.3797958971132704
167.0,3.377797574661314
168.0,3.365186549850324
169.0,3.3421975853094033
170.0,3.3421975853094033
171.0,3.353742994994237
172.0,3.353742994994237
173.0,3.353742994994237
174.0,3.353742994994237
175.0,3.392832680730711
176.0,3.392832680730711
177.0,3.41551422754547
178.0,3.502609545168476
179.0,3.515395856695691
180.0,3.5261645447219863
181.0,3.5261645447219863
182.0,3.5368423555321686
183.0,3.5351681487560516
184.0,3.5115614116043767
185.0,3.5115614116043767
186.0,3.5261645447219863
187.0,3.5261645447219863
188.0,3.518622983406101
189.0,3.5277704678119193
190.0,3.5333432244866216
191.0,3.5877328461596
192.0,3.579137610467368
193.0,3.579137610467368
194.0,3.600344776348823
195.0,3.5877328461596
196.0,3.5855424279880332
197.0,3.648646790501662
198.0,3.6509500402576487
199.0,3.6509500402576487
200.0,3.6800000000000006
201.0,3.677802915780868
202.0,3.677802915780868
203.0,3.677802915780868
204.0,3.667354879405301
205.0,3.6859207094308277
206.0,3.761936530948793
207.0,3.805256628951172
208.0,3.8121300244170477
209.0,3.8003174203350523
210.0,3.856713434537197
211.0,3.866292463424635
212.0,3.856713434537197
213.0,3.985640646055102
214.0,4.002532952166662
215.0,4.002532952166662
216.0,4.002532952166662
217.0,4.035270009440733
218.0,4.051492282324118
219.0,4.081369220970525
220.0,4.083650576995723
221.0,4.101723114095798
222.0,4.101723114095798
223.0,4.124377000638837
224.0,4.124377000638837
225.0,4.1154350889752855
226.0,4.137971582947385
227.0,4.10642422238587
228.0,4.1154350889752855
229.0,4.133249807790865
230.0,4.142053350599765
231.0,4.157617116280674
232.0,4.157617116280674
233.0,4.157617116280674
234.0,4.173091986265624
235.0,4.173091986265624
236.0,4.174889074298802
237.0,4.126297991243368
238.0,4.141829806974098
239.0,4.126297991243368
240.0,4.126297991243368
241.0,4.134779134706192
242.0,4.141829806974098
243.0,4.09171425595858
244.0,4.075979502042399
245.0,4.083280743329637
246.0,4.082027496108526
247.0,4.097767992137015
248.0,4.074772708486753
249.0,4.083280743329637
250.0,4.098985134075056
251.0,4.120571312000928
252.0,4.1311227316933135
253.0,4.098985134075056
254.0,4.139275171965333
255.0,4.154593803250613
256.0,4.155354499756334
257.0,4.169820132247334
258.0,4.185640646055101
259.0,4.185640646055101
260.0,4.200647331281372
261.0,4.215564401953561
262.0,4.244602417642497
263.0,4.259787217987169
264.0,4.337943757488606
265.0,4.406651917331936
266.0,4.352155942435691
267.0,4.372531618549838
268.0,4.426433752247375
269.0,4.460649213805661
270.0,4.467126368465097
271.0,4.480838482885952
272.0,4.481557653803451
273.0,4.482155344604457
274.0,4.429149413776557
275.0,4.449560745626891
276.0,4.449560745626891
277.0,4.469699969993999
278.0,4.5030233090796745
279.0,4.522938354924946
280.0,4.555634918610405
281.0,4.555930140724348
282.0,4.542724862054151
283.0,4.57521564009564
284.0,4.562049935181331
285.0,4.562049935181331
286.0,4.568813651467039
287.0,4.587941697275284
288.0,4.587941697275284
289.0,4.650828010551696
290.0,4.670460057775106
291.0,4.670460057775106
292.0,4.695970659883606
293.0,4.702513399638729
294.0,4.702513399638729
295.0,4.702513399638729
296.0,4.715114674877577
297.0,4.684244370412439
298.0,4.69682917573711
299.0,4.758780034049719
300.0,4.795448267190434
301.0,4.795448267190434
302.0,4.801462762294655
303.0,4.819404656418459
304.0,4.819404656418459
305.0,4.819404656418459
306.0,4.83745370306862
307.0,4.8674833332510286
308.0,4.902896925391501
309.0,4.920470523119999
310.0,4.920526234817811
311.0,4.87934898703613
312.0,4.897056274847714
313.0,4.897014938423212
314.0,4.9086913626361195
315.0,4.932050807568878
316.0,4.914670056051904
317.0,4.902938636592641
318.0,4.972598071435662
319.0,4.9782946283259815
320.0,5.001186043305446
321.0,5.04066654325558
322.0,5.057887649437529
323.0,5.102775637731995
324.0,5.157867610085589
325.0,5.141428011204395
326.0,5.141428011204395
327.0,5.179673884143599
328.0,5.168653347947322
329.0,5.195864918778068
330.0,5.195864918778068
331.0,5.1684247288731715
332.0,5.179171080909708
333.0,5.1684247288731715
334.0,5.194965373629089
335.0,5.232070638799713
336.0,5.264420889545255
337.0,5.295941494197472
338.0,5.3169868066305686
339.0,5.3373098825990235
340.0,5.3373098825990235
341.0,5.3834727113037975
342.0,5.3734993995195195
343.0,5.3734993995195195
344.0,5.368802810302348
345.0,5.368802810302348
346.0,5.384144368141677
347.0,5.352766759419977
348.0,5.334801359052541
349.0,5.270421298457194
350.0,5.265945127936465
351.0,5.318286481727937
352.0,5.318286481727937
353.0,5.365510828080292
354.0,5.396986806630569
355.0,5.411053753946655
356.0,5.441074958189487
357.0,5.461336420850082
358.0,5.461336420850082
359.0,5.461336420850082
360.0,5.4121224449536065
361.0,5.4387826767524095
362.0,5.4387826767524095
363.0,5.443188785013335
364.0,5.493129002458844
365.0,5.493129002458844
366.0,5.480267360566397
367.0,5.5308156144139815
368.0,5.54536085821033
369.0,5.574262259984248
370.0,5.591026038748549
371.0,5.5751790365904235
372.0,5.644069692487581
373.0,5.657998946258928
374.0,5.675151708966858
375.0,5.664568916224611
376.0,5.719368316046154
377.0,5.730608367695436
378.0,5.799175082348163
379.0,5.785846068260595
380.0,5.7847634127945
381.0,5.8252694053686085
382.0,5.835268061881004
383.0,5.883134846259542
384.0,5.89144556625936
385.0,5.899705861147632
386.0,5.899705861147632
387.0,5.920980156689428
388.0,5.967828117787233
389.0,6.069882625874018
390.0,6.119677395374714
391.0,6.1117274230436935
392.0,6.272520536599835
393.0,6.24164384395046
394.0,6.2925205365998345
395.0,6.302388118780684
396.0,6.2922087324778655
397.0,6.3545549015136995
398.0,6.381947231231717
399.0,6.3570415755923975
400.0,6.3851247254758245
401.0,6.470659481932676
402.0,6.501063589101749
403.0,6.5125305524052175
404.0,6.52819846493038
405.0,6.5339069947418995
406.0,6.544540991211864
407.0,6.627350207330256
408.0,6.730229155726594
409.0,6.776417111710185
410.0,6.84314084389788
411.0,6.84314084389788
412.0,6.857641145488902
413.0,6.8882856978161335
414.0,6.949499949989998
415.0,6.937010171499111
416.0,6.934676917617846
417.0,6.995428957789983
418.0,7.10420508055936
419.0,7.133350340080717
420.0,7.137768272960464
421.0,7.151441907865713
422.0,7.170591536275732
423.0,7.197755696407108
424.0,7.239886790034623
425.0,7.292202805120295
426.0,7.283281572999747
427.0,7.311462566833012
428.0,7.317760258126182
429.0,7.338401011754013
430.0,7.511564308082775
431.0,7.535067083273674
432.0,7.540609252475165
433.0,7.567561219279108
434.0,7.660069929215018
435.0,7.6231654768249975
436.0,7.599858152460865
437.0,7.674400112107623
438.0,7.649561369755001
439.0,7.726936092122582
440.0,7.782688409044279
441.0,7.725363374423646
442.0,7.7497027817589705
443.0,7.76530975637888
444.0,7.771946703569336
445.0,7.804382595238417
446.0,7.937439153936422
447.0,7.9456794082742555
448.0,7.960716635910064
449.0,8.06417768343831
450.0,8.12627253410563
451.0,8.152679739966072
452.0,8.291073533257428
453.0,8.3576331858345
454.0,8.400000000000002
455.0,8.457413287993925
456.0,8.536009827994997
457.0,8.609012009707474
458.0,8.640516676754578
459.0,8.712962192312569
460.0,8.78692049799811
461.0,8.844087059096708
462.0,8.830165161069342
463.0,8.934276722007187
464.0,8.984383156131916
465.0,9.019248473295896
466.0,9.096818033680563
467.0,9.133298445750803
468.0,9.209143155311402
469.0,9.347891949879434
470.0,9.43398412694965
471.0,9.43398412694965
472.0,9.405532973306663
473.0,9.515927684129847
474.0,9.523385980370858
475.0,9.571222917267923
476.0,9.659629611483115
477.0,9.70548162097526
478.0,9.749518198941113
479.0,9.787642505497352
480.0,9.849316950185948
481.0,9.878666438668485
482.0,9.92023017225329
483.0,9.958979458991841
484.0,10.070637449207315
485.0,10.238829101097044
486.0,10.235252732780287
487.0,10.301787053917668
488.0,10.398788424238024
489.0,10.433264767374581
490.0,10.433264767374581
491.0,10.3999043051247
492.0,10.41308220238434
493.0,10.423586977702268
494.0,10.399615366833814
495.0,10.501744923967024
496.0,10.556837236173884
497.0,10.632365315301112
498.0,10.640396252096068
499.0,10.786342439892262
500.0,10.797624926829616
501.0,10.820409071893202
502.0,10.846305266925853
503.0,10.92298776104314
504.0,10.926301834108882
505.0,11.032121722032844
506.0,11.057377013326768
507.0,11.06500834259515
508.0,11.105041805825223
509.0,11.125898130518525
510.0,11.20963574694478
511.0,11.219955751995808
512.0,11.197094407708807
513.0,11.239026443826148
514.0,11.26178772671448
515.0,11.312186287928034
516.0,11.293952024394624
517.0,11.330383755781963
518.0,11.384757354539058
519.0,11.38257569495584
520.0,11.395205362302992
521.0,11.481731277346185
522.0,11.536780003392902
523.0,11.477401866851096
524.0,11.572258554489466
525.0,11.59208286983475
526.0,11.627350316934006
527.0,11.747316576120696
528.0,11.866841617455457
529.0,11.974864378874813
530.0,11.97954915950234
531.0,12.059390206112948
532.0,12.139131236894006
533.0,12.144156462861712
534.0,12.159593479140325
535.0,12.06474973553846
536.0,12.187540198916187
537.0,12.23707229965149
538.0,12.289949596518095
539.0,12.349027961436978
540.0,12.369309952383427
541.0,12.353282051018184
542.0,12.288529192365608
543.0,12.363978199386832
544.0,12.404444692626505
545.0,12.359838707054898
546.0,12.36404692534365
547.0,12.434684014171179
548.0,12.526822635707031
549.0,12.538594179083088
550.0,12.59799959983992
551.0,12.609549077822564
552.0,12.741128586761578
553.0,12.696042180483566
554.0,12.781778343625886
555.0,12.880156860332825
556.0,12.841203013092652
557.0,12.939335894430059
558.0,12.998131956265818
559.0,13.087055147475253
560.0,13.155998460353889
561.0,13.190951835962338
562.0,13.22876658496055
563.0,13.269723802258554
564.0,13.346270027258385
565.0,13.386775955154523
566.0,13.525655659880458
567.0,13.534914430404982
568.0,13.566276299085617
569.0,13.589033063078544
570.0,13.64745344807659
571.0,13.617609769006968
572.0,13.647453448076591
573.0,13.697824064470254
574.0,13.713792104199793
575.0,13.713286556643354
576.0,13.793967541844138
577.0,13.86367150182494
578.0,13.981525823327036
579.0,14.023822745656702
580.0,14.034576975922167
581.0,14.20239386174524
582.0,14.269047123428866
583.0,14.398892627484958
584.0,14.5301279849505
585.0,14.62098296896373
586.0,14.683039760123176
587.0,14.718989813091113
588.0,14.793694137487226
589.0,14.849689589231978
590.0,14.915407254314445
591.0,14.98744928878531
592.0,15.005709162936228
593.0,15.14638136634855
594.0,15.2718246048132
595.0,15.331595536355463
596.0,15.419190885544808
597.0,15.446469106041022
598.0,15.546307460836392
599.0,15.712670882486982
600.0,15.73123592284647
601.0,15.940156737886618
602.0,15.938589185705567
603.0,15.929646216575257
604.0,15.953335084953341
605.0,16.002542933135157
606.0,16.09530439177892
607.0,16.198068245196524
608.0,16.231362783708768
609.0,16.40882837881346
610.0,16.415174327173183
611.0,16.50478484034321
612.0,16.610597552415364
613.0,16.705224524497265
614.0,16.85270437305264
615.0,16.878214048391133
616.0,16.8932802122726
617.0,16.958809418341914
618.0,16.988201251082263
619.0,16.976247078892612
620.0,17.030620300091762
621.0,17.069962630687858
622.0,17.22301847487551
623.0,17.38839603971781
624.0,17.40961481479886
625.0,17.50001442999941
626.0,17.527647935440832
627.0,17.531673710050338
628.0,17.70613464707477
629.0,17.749450763076947
630.0,17.800797675478194
631.0,17.91081671398993
632.0,17.908397252934606
633.0,17.997184729437883
634.0,18.132492541238637
635.0,18.210385143673975
636.0,18.31215255024736
637.0,18.354641348591265
638.0,18.377394482582563
639.0,18.569937672861172
640.0,18.670488291717415
641.0,18.80914612506131
642.0,18.838152981431083
643.0,18.902468888444055
644.0,18.988554810816026
645.0,19.072448988020085
646.0,19.080877141067713
647.0,19.1222638056054
648.0,19.16082095060835
649.0,19.230100400931704
650.0,19.358026406995375
651.0,19.404223406606725
652.0,19.35989276062331
653.0,19.485848789339315
654.0,19.520638270785266
655.0,19.5578776853966
656.0,19.609596015681902
657.0,19.829053466323366
658.0,20.00806032459145
659.0,20.17354325959843
660.0,20.29049998417822
661.0,20.343593133000958
662.0,20.427930548262232
663.0,20.52056318415667
664.0,20.65216035696499
665.0,20.62081347548546
666.0,20.75543294925853
667.0,20.80129342829871
668.0,20.813156291271817
669.0,20.858223406441944
670.0,20.96947399277948
671.0,21.023522101038587
672.0,21.066239867988102
673.0,21.17549568780194
674.0,21.23014127641529
675.0,21.21415534071081
676.0,21.264684996974374
677.0,21.254844613898776
678.0,21.38108661900239
679.0,21.46264269282428
680.0,21.46928305673973
681.0,21.611335257139533
682.0,21.72367956784386
683.0,21.73977025073853
684.0,21.77134976865161
685.0,21.747609141350058
686.0,21.832093749463564
687.0,21.912639140469516
688.0,22.013366787032837
689.0,21.97335077127608
690.0,22.120874205734392
691.0,22.269377201193453
692.0,22.24687441849644
693.0,22.45463906126831
694.0,22.505257803979795
695.0,22.616658226200226
696.0,22.5885637712337
697.0,22.628335118467845
698.0,22.677310405476213
699.0,22.722485053938563
700.0,22.830179604156562
701.0,22.91240685655693
702.0,22.795612909557747
703.0,22.769547579043202
704.0,22.826152529096465
705.0,22.888588876389356
706.0,23.00313097770539
707.0,23.162314504807146
708.0,23.19352016290331
709.0,23.195290082556973
710.0,23.318762917319447
711.0,23.36828504959267
712.0,23.51398881788424
713.0,23.685021198391784
714.0,23.69350043817492
715.0,23.740248865275234
716.0,23.74364178379021
717.0,23.847448957893253
718.0,23.965367516206364
719.0,24.019888640734916
720.0,24.01320455578719
721.0,23.983064351775624
722.0,24.026548550754928
723.0,24.08729311790119
724.0,24.149010012300018
725.0,24.219253034673514
726.0,24.2457746733602
727.0,24.439068688063088
728.0,24.554761441979593
729.0,24.621076859361203
730.0,24.666331499018668
731.0,24.610192941718495
732.0,24.471579101921712
733.0,24.5116609578455
734.0,24.601371577365903
735.0,24.65428075553216
736.0,24.745465903404842
737.0,24.915700844247
738.0,24.89614298057741
739.0,24.974300947070038
740.0,25.10156639197512
741.0,25.174564332986286
742.0,25.172127988774985
743.0,25.31362054139914
744.0,25.37885309135051
745.0,25.599798513223917
746.0,25.67100839404126
747.0,25.93266664347665
748.0,25.950871567868973
749.0,26.002083107326243
