time,healthy crops upper
0.0,97.0
1.0,97.0
2.0,97.0
3.0,97.0
4.0,97.0
5.0,97.0
6.0,97.0
7.0,97.0
8.0,97.0
9.0,97.0
10.0,97.0
11.0,97.0
12.0,97.0
13.0,97.0
14.0,97.0
15.0,97.0
16.0,97.0
17.0,97.0
18.0,97.0
19.0,97.0
20.0,97.0
21.0,97.08949874371066
22.0,97.08949874371066
23.0,97.08949874371066
24.0,97.08949874371066
25.0,97.08949874371066
26.0,97.08949874371066
27.0,97.17899748742133
28.0,97.17899748742133
29.0,97.17899748742133
30.0,97.17899748742133
31.0,97.17899748742133
32.0,97.17899748742133
33.0,97.1915851980616
34.0,97.1915851980616
35.0,97.1915851980616
36.0,97.1915851980616
37.0,97.1915851980616
38.0,97.1915851980616
39.0,97.20166091947189
40.0,97.20166091947189
41.0,97.20166091947189
42.0,97.20166091947189
43.0,97.20166091947189
44.0,97.20166091947189
45.0,97.20166091947189
46.0,97.2504834939252
47.0,97.2504834939252
48.0,97.2504834939252
49.0,97.2504834939252
50.0,97.25419130154896
51.0,97.25419130154896
52.0,97.25419130154896
53.0,97.25704599092705
54.0,97.25704599092705
55.0,97.25914180500192
56.0,97.25914180500192
57.0,97.25914180500192
58.0,97.25914180500192
59.0,97.25914180500192
60.0,97.25914180500192
61.0,97.25914180500192
62.0,97.26055512754641
63.0,97.26055512754641
64.0,97.26055512754641
65.0,97.26055512754641
66.0,97.26055512754641
67.0,97.26055512754641
68.0,97.26055512754641
69.0,97.26055512754641
70.0,97.26055512754641
71.0,97.26055512754641
72.0,97.26055512754641
73.0,97.26055512754641
74.0,97.26157568056678
75.0,97.26127995093029
76.0,97.26127995093029
77.0,97.26127995093029
78.0,97.26127995093029
79.0,97.26049968789002
80.0,97.26049968789002
81.0,97.26049968789002
82.0,97.26049968789002
83.0,97.26049968789002
84.0,97.26049968789002
85.0,97.28301270189222
86.0,97.28301270189222
87.0,97.28301270189222
88.0,97.28301270189222
89.0,97.28301270189222
90.0,97.28301270189222
91.0,97.28090815370098
92.0,97.28090815370098
93.0,97.28090815370098
94.0,97.28090815370098
95.0,97.28090815370098
96.0,97.28090815370098
97.0,97.28090815370098
98.0,97.28090815370098
99.0,97.28090815370098
100.0,97.28090815370098
101.0,97.27844174649557
102.0,97.27844174649557
103.0,97.27563142999577
104.0,97.31388490749377
105.0,97.31388490749377
106.0,97.31388490749377
107.0,97.30990195135928
108.0,97.30990195135928
109.0,97.30990195135928
110.0,97.31506880299646
111.0,97.3099090833947
112.0,97.3099090833947
113.0,97.3099090833947
114.0,97.3099090833947
115.0,97.3099090833947
116.0,97.3099090833947
117.0,97.3099090833947
118.0,97.3099090833947
119.0,97.30452682532047
120.0,97.30452682532047
121.0,97.30452682532047
122.0,97.30452682532047
123.0,97.30452682532047
124.0,97.30452682532047
125.0,97.30452682532047
126.0,97.29892754449928
127.0,97.29892754449928
128.0,97.29892754449928
129.0,97.32133185513491
130.0,97.32133185513491
131.0,97.32133185513491
132.0,97.33120849961989
133.0,97.33120849961989
134.0,97.37840395117982
135.0,97.3636137253544
136.0,97.3559885056522
137.0,97.38993242934744
138.0,97.38993242934744
139.0,97.38188947963965
140.0,97.38188947963965
141.0,97.3870336848516
142.0,97.37019734279988
143.0,97.37019734279988
144.0,97.37019734279988
145.0,97.38740078740118
146.0,97.39118661995818
147.0,97.38224684480527
148.0,97.38553663314408
149.0,97.38553663314408
150.0,97.38553663314408
151.0,97.38553663314408
152.0,97.38553663314408
153.0,97.38553663314408
154.0,97.38553663314408
155.0,97.38553663314408
156.0,97.38553663314408
157.0,97.38553663314408
158.0,97.38553663314408
159.0,97.38553663314408
160.0,97.37633326527835
161.0,97.42791891521694
162.0,97.42791891521694
163.0,97.45146622292953
164.0,97.4737295214053
165.0,97.4737295214053
166.0,97.47431322712073
167.0,97.47467943448089
168.0,97.47467943448089
169.0,97.47467943448089
170.0,97.47467943448089
171.0,97.47483501156285
172.0,97.47483501156285
173.0,97.4646826900073
174.0,97.4646826900073
175.0,97.50397292034172
176.0,97.50397292034172
177.0,97.50237825899247
178.0,97.5724097338521
179.0,97.55100832599942
180.0,97.54891252930761
181.0,97.54891252930761
182.0,97.5379982578384
183.0,97.5379982578384
184.0,97.5379982578384
185.0,97.5379982578384
186.0,97.50472704170033
187.0,97.50472704170033
188.0,97.49345966260292
189.0,97.49082579046527
190.0,97.49082579046527
191.0,97.5387596948939
192.0,97.52731106182291
193.0,97.52731106182291
194.0,97.52065556157336
195.0,97.52065556157336
196.0,97.51715117243151
197.0,97.55728396245739
198.0,97.54545711713772
199.0,97.54545711713772
200.0,97.53707362936727
201.0,97.53707362936727
202.0,97.53707362936727
203.0,97.53707362936727
204.0,97.53707362936727
205.0,97.51290370871152
206.0,97.56381816969859
207.0,97.56323364874669
208.0,97.54726685458019
209.0,97.51637832747807
210.0,97.52593175325292
211.0,97.51303872941384
212.0,97.51303872941384
213.0,97.54297719744879
214.0,97.53644320698139
215.0,97.53644320698139
216.0,97.53644320698139
217.0,97.52293835492495
218.0,97.5225952158619
219.0,97.51512057410349
220.0,97.51444878471621
221.0,97.51275077002035
222.0,97.51275077002035
223.0,97.51172862008573
224.0,97.51172862008573
225.0,97.51172862008573
226.0,97.51682917573712
227.0,97.51682917573712
228.0,97.50312195418815
229.0,97.49418710191848
230.0,97.48650858333633
231.0,97.47876496132082
232.0,97.47876496132082
233.0,97.47876496132082
234.0,97.47095650774473
235.0,97.47095650774473
236.0,97.45691063451262
237.0,97.43480648995475
238.0,97.43095064303
239.0,97.43095064303
240.0,97.43095064303
241.0,97.42887156299693
242.0,97.42060964278527
243.0,97.40389780704277
244.0,97.40389780704277
245.0,97.39544826719043
246.0,97.39544826719043
247.0,97.39299727767471
248.0,97.39299727767471
249.0,97.39646332092849
250.0,97.39379807623261
251.0,97.4028969253915
252.0,97.37634902069121
253.0,97.37912258191155
254.0,97.34845861166336
255.0,97.33918585382733
256.0,97.3298546450209
257.0,97.31681788269638
258.0,97.29965513823862
259.0,97.29965513823862
260.0,97.29168490317181
261.0,97.28188469940233
262.0,97.26781113888836
263.0,97.25915233939872
264.0,97.29532013556218
265.0,97.33377929020253
266.0,97.33377929020253
267.0,97.33921449816411
268.0,97.32336494227035
269.0,97.32271605718805
270.0,97.30689496378207
271.0,97.28020617461135
272.0,97.2641923379023
273.0,97.24233019952595
274.0,97.22025904997231
275.0,97.20832401832098
276.0,97.20832401832098
277.0,97.2074085344375
278.0,97.20529895944611
279.0,97.20410739322865
280.0,97.2064718881066
281.0,97.19347198632774
282.0,97.19347198632774
283.0,97.19511728055438
284.0,97.19511728055438
285.0,97.18346237919067
286.0,97.17669681995113
287.0,97.18460265088355
288.0,97.16587389640712
289.0,97.16891798780038
290.0,97.15928217337917
291.0,97.15928217337917
292.0,97.13985645440063
293.0,97.1324626639441
294.0,97.1324626639441
295.0,97.1324626639441
296.0,97.1127493877672
297.0,97.09564138815857
298.0,97.0880613017821
299.0,97.09816822643324
300.0,97.09323013168589
301.0,97.09323013168589
302.0,97.07722043379901
303.0,97.07485631709316
304.0,97.07485631709316
305.0,97.07485631709316
