time,healthy sentinels lower
0.0,100.0
1.0,100.0
2.0,100.0
3.0,100.0
4.0,100.0
5.0,100.0
6.0,99.89050125628933
7.0,99.89050125628933
8.0,99.89050125628933
9.0,99.89050125628933
10.0,99.89050125628933
11.0,99.89050125628933
12.0,99.89050125628933
13.0,99.89050125628933
14.0,99.89050125628933
15.0,99.89050125628933
16.0,99.89050125628933
17.0,99.89050125628933
18.0,99.89050125628933
19.0,99.89050125628933
20.0,99.89050125628933
21.0,99.89050125628933
22.0,99.89050125628933
23.0,99.89050125628933
24.0,99.89050125628933
25.0,99.89050125628933
26.0,99.78100251257868
27.0,99.78100251257868
28.0,99.78100251257868
29.0,99.78100251257868
30.0,99.78100251257868
31.0,99.78100251257868
32.0,99.78100251257868
33.0,99.78100251257868
34.0,99.78100251257868
35.0,99.78100251257868
36.0,99.78100251257868
37.0,99.78100251257868
38.0,99.78100251257868
39.0,99.78100251257868
40.0,99.78100251257868
41.0,99.78100251257868
42.0,99.7484148019384
43.0,99.7484148019384
44.0,99.7183390805281
45.0,99.7183390805281
46.0,99.7183390805281
47.0,99.69019237886467
48.0,99.69019237886467
49.0,99.69019237886467
50.0,99.69019237886467
51.0,99.69019237886467
52.0,99.69019237886467
53.0,99.69019237886467
54.0,99.69019237886467
55.0,99.69019237886467
56.0,99.69019237886467
57.0,99.69019237886467
58.0,99.69019237886467
59.0,99.69019237886467
60.0,99.66359450077829
61.0,99.66359450077829
62.0,99.66359450077829
63.0,99.66359450077829
64.0,99.66359450077829
65.0,99.66359450077829
66.0,99.66359450077829
67.0,99.63828095708371
68.0,99.61405882918443
69.0,99.61405882918443
70.0,99.61405882918443
71.0,99.56085819499808
72.0,99.56085819499808
73.0,99.56085819499808
74.0,99.56085819499808
75.0,99.56085819499808
76.0,99.56085819499808
77.0,99.56085819499808
78.0,99.56085819499808
79.0,99.49263367027389
80.0,99.49263367027389
81.0,99.49263367027389
82.0,99.49263367027389
83.0,99.49263367027389
84.0,99.49263367027389
85.0,99.49263367027389
86.0,99.49263367027389
87.0,99.49263367027389
88.0,99.49263367027389
89.0,99.49263367027389
90.0,99.49263367027389
91.0,99.49263367027389
92.0,99.49263367027389
93.0,99.49263367027389
94.0,99.49263367027389
95.0,99.49263367027389
96.0,99.49263367027389
97.0,99.47306020101247
98.0,99.47306020101247
99.0,99.47306020101247
100.0,99.47306020101247
101.0,99.47306020101247
102.0,99.45394711874572
103.0,99.45394711874572
104.0,99.45394711874572
105.0,99.43526478836809
106.0,99.43526478836809
107.0,99.41698729810777
108.0,99.41698729810777
109.0,99.41698729810777
110.0,99.41698729810777
111.0,99.39909184629903
112.0,99.38155825350442
113.0,99.38155825350442
114.0,99.34292558232492
115.0,99.34292558232492
116.0,99.32636790842625
117.0,99.32636790842625
118.0,99.32636790842625
119.0,99.32636790842625
120.0,99.31010205144337
121.0,99.31010205144337
122.0,99.31010205144337
123.0,99.29411694927131
124.0,99.29411694927131
125.0,99.29411694927131
126.0,99.29411694927131
127.0,99.29411694927131
128.0,99.29411694927131
129.0,99.29411694927131
130.0,99.27840255184063
131.0,99.27840255184063
132.0,99.27840255184063
133.0,99.27840255184063
134.0,99.27840255184063
135.0,99.24359711246993
136.0,99.24359711246993
137.0,99.21380973526182
138.0,99.21380973526182
139.0,99.21380973526182
140.0,99.21380973526182
141.0,99.18107245550071
142.0,99.11866814486508
