time,undetectable sentinels lower
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,-0.08949874371066198
23.0,-0.08949874371066198
24.0,-0.08949874371066198
25.0,-0.08949874371066198
26.0,-0.08949874371066198
27.0,-0.08949874371066198
28.0,-0.08949874371066198
29.0,-0.08949874371066198
30.0,-0.08949874371066198
31.0,-0.08949874371066198
32.0,-0.11999999999999993
33.0,-0.11999999999999993
34.0,-0.11999999999999993
35.0,-0.11999999999999993
36.0,-0.089498743710662
37.0,-0.089498743710662
38.0,-0.11999999999999993
39.0,-0.19158519806160326
40.0,-0.19158519806160326
41.0,-0.19158519806160326
42.0,-0.19158519806160326
43.0,-0.19158519806160326
44.0,-0.19158519806160326
45.0,-0.19158519806160326
46.0,-0.19158519806160326
47.0,-0.19158519806160326
48.0,-0.19158519806160326
49.0,-0.19158519806160326
50.0,-0.19158519806160326
51.0,-0.20166091947189127
52.0,-0.19158519806160326
53.0,-0.19158519806160326
54.0,-0.19158519806160326
55.0,-0.20166091947189127
56.0,-0.14058722109231986
57.0,-0.14058722109231986
58.0,-0.14058722109231986
59.0,-0.14058722109231986
60.0,-0.14058722109231986
61.0,-0.14058722109231986
62.0,-0.1559591794226541
63.0,-0.1559591794226541
64.0,-0.1559591794226541
65.0,-0.14058722109231994
66.0,-0.15595917942265405
67.0,-0.15595917942265405
68.0,-0.15595917942265405
69.0,-0.15595917942265405
70.0,-0.15595917942265405
71.0,-0.15595917942265405
72.0,-0.15595917942265405
73.0,-0.16794494717703395
74.0,-0.16794494717703395
75.0,-0.16794494717703395
76.0,-0.17748684174075804
77.0,-0.22171904291629618
78.0,-0.22171904291629618
79.0,-0.22171904291629618
80.0,-0.22594117081556664
81.0,-0.22594117081556664
82.0,-0.2591418050019221
83.0,-0.2591418050019221
84.0,-0.2591418050019221
85.0,-0.26055512754639876
86.0,-0.26055512754639876
87.0,-0.26055512754639876
88.0,-0.26055512754639876
89.0,-0.2873663297261107
90.0,-0.2873663297261107
91.0,-0.2872983346207415
92.0,-0.2259411708155667
93.0,-0.2259411708155667
94.0,-0.2292177939902477
95.0,-0.2316624790355398
96.0,-0.2316624790355398
97.0,-0.2292177939902477
98.0,-0.2292177939902477
99.0,-0.19129319932501088
100.0,-0.19129319932501088
101.0,-0.1961817604250836
102.0,-0.19999999999999987
103.0,-0.19999999999999987
104.0,-0.19999999999999987
105.0,-0.20288975694324046
106.0,-0.20288975694324046
107.0,-0.2049615361854386
108.0,-0.2049615361854386
109.0,-0.2049615361854386
110.0,-0.2049615361854386
111.0,-0.2049615361854386
112.0,-0.2049615361854386
113.0,-0.2049615361854386
114.0,-0.2049615361854386
115.0,-0.2049615361854386
116.0,-0.2049615361854386
117.0,-0.2049615361854386
118.0,-0.2049615361854386
119.0,-0.23482872693909385
120.0,-0.23482872693909385
121.0,-0.23482872693909385
122.0,-0.23440090293338717
123.0,-0.23336569426778808
124.0,-0.23336569426778808
125.0,-0.23336569426778808
126.0,-0.23440090293338717
127.0,-0.23440090293338717
128.0,-0.23440090293338717
129.0,-0.23440090293338717
130.0,-0.23440090293338717
131.0,-0.23336569426778808
132.0,-0.26157568056677843
133.0,-0.2860528812542942
134.0,-0.2869397989875162
135.0,-0.2869397989875162
136.0,-0.2869397989875162
137.0,-0.2847352116319062
138.0,-0.2847352116319062
139.0,-0.28301270189221983
140.0,-0.30303347611160947
141.0,-0.30021271782035
142.0,-0.30021271782035
