time,healthy crops lower
0.0,97.0
1.0,97.0
2.0,97.0
3.0,97.0
4.0,97.0
5.0,97.0
6.0,97.0
7.0,97.0
8.0,97.0
9.0,97.0
10.0,97.0
11.0,97.0
12.0,97.0
13.0,97.0
14.0,97.0
15.0,97.0
16.0,97.0
17.0,97.0
18.0,97.0
19.0,97.0
20.0,97.0
21.0,96.89050125628933
22.0,96.89050125628933
23.0,96.89050125628933
24.0,96.89050125628933
25.0,96.89050125628933
26.0,96.89050125628933
27.0,96.78100251257868
28.0,96.78100251257868
29.0,96.78100251257868
30.0,96.78100251257868
31.0,96.78100251257868
32.0,96.78100251257868
33.0,96.7484148019384
34.0,96.7484148019384
35.0,96.7484148019384
36.0,96.7484148019384
37.0,96.7484148019384
38.0,96.7484148019384
39.0,96.7183390805281
40.0,96.7183390805281
41.0,96.7183390805281
42.0,96.7183390805281
43.0,96.7183390805281
44.0,96.7183390805281
45.0,96.7183390805281
46.0,96.6295165060748
47.0,96.6295165060748
48.0,96.6295165060748
49.0,96.6295165060748
50.0,96.60580869845106
51.0,96.60580869845106
52.0,96.60580869845106
53.0,96.58295400907295
54.0,96.58295400907295
55.0,96.56085819499808
56.0,96.56085819499808
57.0,96.56085819499808
58.0,96.56085819499808
59.0,96.56085819499808
60.0,96.56085819499808
61.0,96.56085819499808
62.0,96.5394448724536
63.0,96.5394448724536
64.0,96.5394448724536
65.0,96.5394448724536
66.0,96.5394448724536
67.0,96.5394448724536
68.0,96.5394448724536
69.0,96.5394448724536
70.0,96.5394448724536
71.0,96.5394448724536
72.0,96.5394448724536
73.0,96.5394448724536
74.0,96.49842431943321
75.0,96.47872004906972
76.0,96.47872004906972
77.0,96.47872004906972
78.0,96.47872004906972
79.0,96.45950031210998
80.0,96.45950031210998
81.0,96.45950031210998
82.0,96.45950031210998
83.0,96.45950031210998
84.0,96.45950031210998
85.0,96.41698729810777
86.0,96.41698729810777
87.0,96.41698729810777
88.0,96.41698729810777
89.0,96.41698729810777
90.0,96.41698729810777
91.0,96.39909184629903
92.0,96.39909184629903
93.0,96.39909184629903
94.0,96.39909184629903
95.0,96.39909184629903
96.0,96.39909184629903
97.0,96.39909184629903
98.0,96.39909184629903
99.0,96.39909184629903
100.0,96.39909184629903
101.0,96.38155825350442
102.0,96.38155825350442
103.0,96.36436857000422
104.0,96.30611509250623
105.0,96.30611509250623
106.0,96.30611509250623
107.0,96.29009804864071
108.0,96.29009804864071
109.0,96.29009804864071
110.0,96.22493119700353
111.0,96.21009091660531
112.0,96.21009091660531
113.0,96.21009091660531
114.0,96.21009091660531
115.0,96.21009091660531
116.0,96.21009091660531
117.0,96.21009091660531
118.0,96.21009091660531
119.0,96.19547317467953
120.0,96.19547317467953
121.0,96.19547317467953
122.0,96.19547317467953
123.0,96.19547317467953
124.0,96.19547317467953
125.0,96.19547317467953
126.0,96.18107245550071
127.0,96.18107245550071
128.0,96.18107245550071
129.0,96.11866814486508
130.0,96.11866814486508
131.0,96.11866814486508
132.0,96.0887915003801
133.0,96.0887915003801
134.0,96.00159604882018
135.0,95.9763862746456
136.0,95.96401149434779
137.0,95.91006757065257
138.0,95.91006757065257
139.0,95.89811052036035
140.0,95.89811052036035
141.0,95.87296631514839
142.0,95.84980265720012
143.0,95.84980265720012
144.0,95.84980265720012
145.0,95.81259921259881
146.0,95.78881338004183
147.0,95.77775315519473
148.0,95.7544633668559
149.0,95.7544633668559
150.0,95.7544633668559
151.0,95.7544633668559
152.0,95.7544633668559
153.0,95.7544633668559
154.0,95.7544633668559
155.0,95.7544633668559
156.0,95.7544633668559
157.0,95.7544633668559
158.0,95.7544633668559
159.0,95.7544633668559
160.0,95.74366673472166
161.0,95.65208108478308
162.0,95.65208108478308
163.0,95.60853377707048
164.0,95.56627047859469
165.0,95.56627047859469
166.0,95.54568677287928
167.0,95.52532056551911
168.0,95.52532056551911
169.0,95.52532056551911
170.0,95.52532056551911
171.0,95.50516498843714
172.0,95.50516498843714
173.0,95.49531730999271
174.0,95.49531730999271
175.0,95.43602707965827
176.0,95.43602707965827
177.0,95.39762174100754
178.0,95.28759026614792
179.0,95.26899167400057
180.0,95.2510874706924
181.0,95.2510874706924
182.0,95.2420017421616
183.0,95.2420017421616
184.0,95.2420017421616
185.0,95.2420017421616
186.0,95.21527295829966
187.0,95.21527295829966
188.0,95.20654033739707
189.0,95.18917420953474
190.0,95.18917420953474
191.0,95.1212403051061
192.0,95.11268893817707
193.0,95.11268893817707
194.0,95.07934443842663
195.0,95.07934443842663
196.0,95.0628488275685
197.0,94.9827160375426
198.0,94.9745428828623
199.0,94.9745428828623
200.0,94.94292637063272
201.0,94.94292637063272
202.0,94.94292637063272
203.0,94.94292637063272
204.0,94.94292637063272
205.0,94.92709629128848
206.0,94.83618183030141
207.0,94.77676635125331
208.0,94.73273314541981
209.0,94.70362167252193
210.0,94.65406824674709
211.0,94.64696127058616
212.0,94.64696127058616
213.0,94.51702280255121
214.0,94.5035567930186
215.0,94.5035567930186
216.0,94.5035567930186
217.0,94.45706164507504
218.0,94.43740478413811
219.0,94.4048794258965
220.0,94.3855512152838
221.0,94.34724922997967
222.0,94.34724922997967
223.0,94.32827137991427
224.0,94.32827137991427
225.0,94.32827137991427
226.0,94.30317082426288
227.0,94.30317082426288
228.0,94.29687804581187
229.0,94.2658128980815
230.0,94.25349141666368
231.0,94.24123503867918
232.0,94.24123503867918
233.0,94.24123503867918
234.0,94.22904349225526
235.0,94.22904349225526
236.0,94.22308936548738
237.0,94.20519351004523
238.0,94.16904935696999
239.0,94.16904935696999
240.0,94.16904935696999
241.0,94.15112843700308
242.0,94.13939035721474
243.0,94.11610219295724
244.0,94.11610219295724
245.0,94.10455173280957
246.0,94.10455173280957
247.0,94.08700272232528
248.0,94.08700272232528
249.0,94.06353667907152
250.0,94.04620192376738
251.0,94.01710307460849
252.0,93.9836509793088
253.0,93.96087741808846
254.0,93.91154138833663
255.0,93.90081414617268
256.0,93.8901453549791
257.0,93.86318211730362
258.0,93.82034486176138
259.0,93.82034486176138
260.0,93.7883150968282
261.0,93.77811530059768
262.0,93.75218886111165
263.0,93.72084766060127
264.0,93.62467986443781
265.0,93.54622070979747
266.0,93.54622070979747
267.0,93.5207855018359
268.0,93.45663505772966
269.0,93.41728394281196
270.0,93.41310503621793
271.0,93.39979382538866
272.0,93.3958076620977
273.0,93.37766980047405
274.0,93.3597409500277
275.0,93.33167598167901
276.0,93.33167598167901
277.0,93.3125914655625
278.0,93.27470104055388
279.0,93.25589260677135
280.0,93.21352811189338
281.0,93.18652801367226
282.0,93.18652801367226
283.0,93.14488271944562
284.0,93.14488271944562
285.0,93.13653762080932
286.0,93.12330318004888
287.0,93.09539734911645
288.0,93.07412610359289
289.0,93.01108201219962
290.0,92.98071782662082
291.0,92.98071782662082
292.0,92.96014354559937
293.0,92.94753733605592
294.0,92.94753733605592
295.0,92.94753733605592
296.0,92.9272506122328
297.0,92.92435861184144
298.0,92.9119386982179
299.0,92.84183177356675
300.0,92.78676986831411
301.0,92.78676986831411
302.0,92.76277956620099
303.0,92.72514368290685
304.0,92.72514368290685
305.0,92.72514368290685
