time,healthy sentinels upper
0.0,100.0
1.0,100.0
2.0,100.0
3.0,100.0
4.0,100.0
5.0,100.0
6.0,100.08949874371066
7.0,100.08949874371066
8.0,100.08949874371066
9.0,100.08949874371066
10.0,100.08949874371066
11.0,100.08949874371066
12.0,100.08949874371066
13.0,100.08949874371066
14.0,100.08949874371066
15.0,100.08949874371066
16.0,100.08949874371066
17.0,100.08949874371066
18.0,100.08949874371066
19.0,100.08949874371066
20.0,100.08949874371066
21.0,100.08949874371066
22.0,100.08949874371066
23.0,100.08949874371066
24.0,100.08949874371066
25.0,100.08949874371066
26.0,100.17899748742133
27.0,100.17899748742133
28.0,100.17899748742133
29.0,100.17899748742133
30.0,100.17899748742133
31.0,100.17899748742133
32.0,100.17899748742133
33.0,100.17899748742133
34.0,100.17899748742133
35.0,100.17899748742133
36.0,100.17899748742133
37.0,100.17899748742133
38.0,100.17899748742133
39.0,100.17899748742133
40.0,100.17899748742133
41.0,100.17899748742133
42.0,100.1915851980616
43.0,100.1915851980616
44.0,100.20166091947189
45.0,100.20166091947189
46.0,100.20166091947189
47.0,100.20980762113534
48.0,100.20980762113534
49.0,100.20980762113534
50.0,100.20980762113534
51.0,100.20980762113534
52.0,100.20980762113534
53.0,100.20980762113534
54.0,100.20980762113534
55.0,100.20980762113534
56.0,100.20980762113534
57.0,100.20980762113534
58.0,100.20980762113534
59.0,100.20980762113534
60.0,100.21640549922171
61.0,100.21640549922171
62.0,100.21640549922171
63.0,100.21640549922171
64.0,100.21640549922171
65.0,100.21640549922171
66.0,100.21640549922171
67.0,100.2217190429163
68.0,100.22594117081557
69.0,100.22594117081557
70.0,100.22594117081557
71.0,100.25914180500192
72.0,100.25914180500192
73.0,100.25914180500192
74.0,100.25914180500192
75.0,100.25914180500192
76.0,100.25914180500192
77.0,100.25914180500192
78.0,100.25914180500192
79.0,100.28736632972611
80.0,100.28736632972611
81.0,100.28736632972611
82.0,100.28736632972611
83.0,100.28736632972611
84.0,100.28736632972611
85.0,100.28736632972611
86.0,100.28736632972611
87.0,100.28736632972611
88.0,100.28736632972611
89.0,100.28736632972611
90.0,100.28736632972611
91.0,100.28736632972611
92.0,100.28736632972611
93.0,100.28736632972611
94.0,100.28736632972611
95.0,100.28736632972611
96.0,100.28736632972611
97.0,100.28693979898752
98.0,100.28693979898752
99.0,100.28693979898752
100.0,100.28693979898752
101.0,100.28693979898752
102.0,100.28605288125429
103.0,100.28605288125429
104.0,100.28605288125429
105.0,100.28473521163191
106.0,100.28473521163191
107.0,100.28301270189222
108.0,100.28301270189222
109.0,100.28301270189222
110.0,100.28301270189222
111.0,100.28090815370098
112.0,100.27844174649557
113.0,100.27844174649557
114.0,100.29707441767506
115.0,100.29707441767506
116.0,100.29363209157376
117.0,100.29363209157376
118.0,100.29363209157376
119.0,100.29363209157376
120.0,100.28989794855663
121.0,100.28989794855663
122.0,100.28989794855663
123.0,100.2858830507287
124.0,100.2858830507287
125.0,100.2858830507287
126.0,100.2858830507287
127.0,100.2858830507287
128.0,100.2858830507287
129.0,100.2858830507287
130.0,100.28159744815937
131.0,100.28159744815937
132.0,100.28159744815937
133.0,100.28159744815937
134.0,100.28159744815937
135.0,100.29640288753006
136.0,100.29640288753006
137.0,100.28619026473818
138.0,100.28619026473818
139.0,100.28619026473818
140.0,100.28619026473818
141.0,100.29892754449928
142.0,100.32133185513491
