Time,Healthy,Undetectable,Detectable
0,999,1,0
1,996,4,0
2,996,4,0
3,995,5,0
4,992,8,0
5,990,10,0
6,989,11,0
7,989,11,0
8,989,11,0
9,987,13,0
10,983,17,0
11,983,17,0
12,982,18,0
13,978,22,0
14,973,27,0
15,972,28,0
16,972,28,0
17,967,33,0
18,962,38,0
19,958,42,0
20,955,45,0
21,950,50,0
22,950,50,0
23,947,53,0
24,940,60,0
25,934,66,0
26,929,71,0
27,926,74,0
28,920,80,0
29,915,85,0
30,912,88,0
31,908,92,0
32,901,99,0
33,891,109,0
34,889,111,0
35,884,116,0
36,878,122,0
37,871,128,1
38,866,133,1
39,863,136,1
40,858,141,1
41,853,146,1
42,849,150,1
43,840,158,2
44,835,163,2
45,825,173,2
46,820,178,2
47,807,191,2
48,799,199,2
49,792,204,4
50,783,213,4
51,775,219,6
52,763,231,6
53,756,236,8
54,750,242,8
55,740,250,10
56,731,259,10
57,724,266,10
58,709,281,10
59,693,297,10
60,681,309,10
