time,state1Mean,state1STD
0,99,0
0.0001,99,0
0.0002,99,0
0.0003,99,0
0.0004,98.99,0.0994987
0.0005,98.99,0.0994987
0.0006,98.99,0.0994987
0.0007,98.99,0.0994987
0.0008,98.99,0.0994987
0.0009,98.99,0.0994987
0.001,98.99,0.0994987
0.0011,98.99,0.0994987
0.0012,98.99,0.0994987
0.0013,98.99,0.0994987
0.0014,98.99,0.0994987
0.0015,98.99,0.0994987
0.0016,98.99,0.0994987
0.0017,98.99,0.0994987
0.0018,98.99,0.0994987
0.0019,98.99,0.0994987
0.002,98.99,0.0994987
0.0021,98.99,0.0994987
0.0022,98.99,0.0994987
0.0023,98.99,0.0994987
0.0024,98.99,0.0994987
0.0025,98.99,0.0994987
0.0026,98.99,0.0994987
0.0027,98.99,0.0994987
0.0028,98.99,0.0994987
0.0029,98.99,0.0994987
0.003,98.99,0.0994987
0.0031,98.99,0.0994987
0.0032,98.99,0.0994987
0.0033,98.99,0.0994987
0.0034,98.99,0.0994987
0.0035,98.99,0.0994987
0.0036,98.99,0.0994987
0.0037,98.99,0.0994987
0.0038,98.99,0.0994987
0.0039,98.99,0.0994987
0.004,98.99,0.0994987
0.0041,98.99,0.0994987
0.0042,98.99,0.0994987
0.0043,98.99,0.0994987
0.0044,98.98,0.14
0.0045,98.97,0.170587
0.0046,98.97,0.170587
0.0047,98.97,0.170587
0.0048,98.96,0.195959
0.0049,98.96,0.195959
0.005,98.95,0.217945
0.0051,98.95,0.217945
0.0052,98.94,0.237487
0.0053,98.94,0.237487
0.0054,98.94,0.237487
0.0055,98.94,0.237487
0.0056,98.94,0.237487
0.0057,98.94,0.237487
0.0058,98.94,0.237487
0.0059,98.94,0.237487
0.006,98.94,0.237487
0.0061,98.94,0.237487
0.0062,98.94,0.237487
0.0063,98.93,0.255147
0.0064,98.93,0.255147
0.0065,98.93,0.255147
0.0066,98.93,0.255147
0.0067,98.93,0.255147
0.0068,98.93,0.255147
0.0069,98.93,0.255147
0.007,98.93,0.255147
0.0071,98.93,0.255147
0.0072,98.93,0.255147
0.0073,98.93,0.255147
0.0074,98.93,0.255147
0.0075,98.93,0.255147
0.0076,98.93,0.255147
0.0077,98.93,0.255147
0.0078,98.93,0.255147
0.0079,98.93,0.255147
0.008,98.93,0.255147
0.0081,98.93,0.255147
0.0082,98.93,0.255147
0.0083,98.93,0.255147
0.0084,98.93,0.255147
0.0085,98.93,0.255147
0.0086,98.93,0.255147
0.0087,98.93,0.255147
0.0088,98.93,0.255147
0.0089,98.93,0.255147
0.009,98.93,0.255147
0.0091,98.92,0.271293
0.0092,98.92,0.271293
0.0093,98.92,0.271293
0.0094,98.92,0.271293
0.0095,98.92,0.271293
0.0096,98.91,0.319218
0.0097,98.91,0.319218
0.0098,98.91,0.319218
0.0099,98.91,0.319218
0.01,98.91,0.319218
0.0101,98.91,0.319218
0.0102,98.91,0.319218
0.0103,98.91,0.319218
0.0104,98.91,0.319218
0.0105,98.91,0.319218
0.0106,98.91,0.319218
0.0107,98.91,0.319218
0.0108,98.91,0.319218
0.0109,98.91,0.319218
0.011,98.91,0.319218
0.0111,98.91,0.319218
0.0112,98.91,0.319218
0.0113,98.91,0.319218
0.0114,98.91,0.319218
0.0115,98.91,0.319218
0.0116,98.91,0.319218
0.0117,98.91,0.319218
0.0118,98.91,0.319218
0.0119,98.91,0.319218
0.012,98.9,0.331662
0.0121,98.9,0.331662
0.0122,98.9,0.331662
0.0123,98.9,0.331662
0.0124,98.9,0.331662
0.0125,98.9,0.331662
0.0126,98.9,0.331662
0.0127,98.9,0.331662
0.0128,98.9,0.331662
0.0129,98.9,0.331662
0.013,98.9,0.331662
0.0131,98.9,0.331662
0.0132,98.9,0.331662
0.0133,98.9,0.331662
0.0134,98.89,0.343366
0.0135,98.89,0.343366
0.0136,98.89,0.343366
0.0137,98.89,0.343366
0.0138,98.89,0.343366
0.0139,98.89,0.343366
0.014,98.89,0.343366
0.0141,98.89,0.343366
0.0142,98.89,0.343366
0.0143,98.89,0.343366
0.0144,98.89,0.343366
0.0145,98.89,0.343366
0.0146,98.89,0.343366
0.0147,98.89,0.343366
0.0148,98.89,0.343366
0.0149,98.89,0.343366
0.015,98.89,0.343366
0.0151,98.89,0.343366
0.0152,98.89,0.343366
0.0153,98.89,0.343366
0.0154,98.88,0.354401
0.0155,98.88,0.354401
0.0156,98.88,0.354401
0.0157,98.88,0.354401
0.0158,98.87,0.364829
0.0159,98.86,0.3747
0.016,98.86,0.3747
0.0161,98.86,0.3747
0.0162,98.86,0.3747
0.0163,98.86,0.3747
0.0164,98.86,0.3747
0.0165,98.86,0.3747
0.0166,98.86,0.3747
0.0167,98.86,0.3747
0.0168,98.86,0.3747
0.0169,98.86,0.3747
0.017,98.86,0.3747
0.0171,98.86,0.3747
0.0172,98.86,0.3747
0.0173,98.86,0.3747
0.0174,98.86,0.3747
0.0175,98.86,0.3747
0.0176,98.86,0.3747
0.0177,98.86,0.3747
0.0178,98.86,0.3747
0.0179,98.84,0.392938
0.018,98.84,0.392938
0.0181,98.84,0.392938
0.0182,98.84,0.392938
0.0183,98.83,0.401373
0.0184,98.83,0.401373
0.0185,98.82,0.40939
0.0186,98.82,0.40939
0.0187,98.82,0.40939
0.0188,98.82,0.40939
0.0189,98.82,0.40939
0.019,98.82,0.40939
0.0191,98.82,0.40939
0.0192,98.82,0.40939
0.0193,98.82,0.40939
0.0194,98.82,0.40939
0.0195,98.82,0.40939
0.0196,98.82,0.40939
0.0197,98.82,0.40939
0.0198,98.82,0.40939
0.0199,98.82,0.40939
0.02,98.82,0.40939
0.0201,98.82,0.40939
0.0202,98.82,0.40939
0.0203,98.82,0.40939
0.0204,98.82,0.40939
0.0205,98.82,0.40939
0.0206,98.82,0.40939
0.0207,98.82,0.40939
0.0208,98.82,0.40939
0.0209,98.82,0.40939
0.021,98.82,0.40939
0.0211,98.82,0.40939
0.0212,98.82,0.40939
0.0213,98.82,0.40939
0.0214,98.82,0.40939
0.0215,98.82,0.40939
0.0216,98.82,0.40939
0.0217,98.82,0.40939
0.0218,98.82,0.40939
0.0219,98.82,0.40939
0.022,98.82,0.40939
0.0221,98.82,0.40939
0.0222,98.82,0.40939
0.0223,98.82,0.40939
0.0224,98.82,0.40939
0.0225,98.82,0.40939
0.0226,98.82,0.40939
0.0227,98.82,0.40939
0.0228,98.82,0.40939
0.0229,98.82,0.40939
0.023,98.82,0.40939
0.0231,98.82,0.40939
0.0232,98.82,0.40939
