time,infected STD
0.0,0.0
0.005,0.6557438524302008
0.01,0.8179853299418033
0.015,1.0087616170334803
0.02,1.1745637488020828
0.025,1.3029197979921865
0.03,1.5142985174660901
0.035,1.5746745695539768
0.04,1.631686244349691
0.045,1.693635143707168
0.05,1.9364658530425984
0.055,2.250866499817349
0.06,2.451530134426253
0.065,2.569513572643663
0.07,2.6551836094703507
0.075,2.843870601838277
0.08,2.936937180124901
0.085,3.051163712421868
0.09,3.28785644455472
0.095,3.2996211903792836
0.1,3.4210524696356237
0.105,3.53066565961718
0.11,3.658674623412146
0.115,3.8319185795107917
0.12,4.053837687919929
0.125,4.205995720397252
0.13,4.3643556225404
0.135,4.483960303124907
0.14,4.678290285991239
0.145,4.848618359904189
0.15,4.881587856425407
0.155,5.1070441548903815
0.16,5.214249706333595
0.165,5.254103158484805
0.17,5.336019115408038
0.175,5.347999626028409
0.18,5.501963285955295
0.185,5.592888341456498
0.19,5.6192170273090545
0.195,5.686862052133848
0.2,5.741950887982235
0.205,5.834517974948746
0.21,6.2104669711705265
0.215,6.296816656057249
0.22,6.478418016769217
0.225,6.615013227500003
0.23,6.80061761901079
0.235,7.105631569396207
0.24,7.019259220174161
0.245,7.168395915405344
0.25,7.27221424326869
0.255,7.41725016431292
0.26,7.3548351443115285
0.265,7.494664769020694
0.27,7.64656131865821
0.275,7.898506187881353
0.28,7.955727496590115
0.285,8.092088729123034
0.29,8.177401787854135
0.295,8.192014404284214
0.3,8.347430742450038
0.305,8.340569524918548
0.31,8.352789953063589
0.315,8.455122707566106
0.32,8.56749088123238
0.325,8.524664216260957
0.33,8.644906014526708
0.335,8.596621429375611
0.34,8.734271578099687
0.345,8.76891669478049
0.35,8.66962513607134
0.355,8.616327523951256
0.36,8.587060032397584
0.365,8.692956919253655
0.37,8.48185710796875
0.375,8.572887494887588
0.38,8.582604499800745
0.385,8.490583018850943
0.39,8.550853758543647
0.395,8.375410437703934
0.4,8.563503955741481
0.405,8.518327300591356
0.41,8.563293758829017
0.415,8.433712112705768
0.42,8.5059743709936
0.425,8.282173627738072
0.43,8.319729562912487
0.435,8.23574526075206
0.44,8.2861571310228
0.445,8.367048464064252
0.45,8.407044665041337
0.455,8.465222974027325
0.46,8.358055994069433
0.465,8.286585545325648
0.47,8.349251463454673
0.475,8.241965784932622
0.48,8.204486577476986
0.485,8.233219297455884
0.49,8.176038160380614
0.495,8.132625652272456
0.5,7.982850368132927
0.505,7.904903541473481
0.51,7.767908341374786
0.515,7.782512447789596
0.52,7.698538822400001
0.525,7.685206568466459
0.53,7.538991975058733
0.535,7.524918604210945
0.54,7.569914134255421
0.545,7.452006441221051
0.55,7.283536229057969
0.555,7.302164062796728
0.56,7.343023900274328
0.565,7.333996182164262
0.57,7.240055248407986
0.575,7.3111626982307
0.58,7.200965213080814
0.585,7.091290432636362
0.59,6.974030398557206
0.595,6.839181237545911
0.6,6.761538286514393
0.605,6.634839862423207
0.61,6.636708521548915
0.615,6.586190097469097
0.62,6.528973885688316
0.625,6.37127145866506
0.63,6.414826575987852
0.635,6.343216849517285
0.64,6.346369040640481
0.645,6.200612872934418
0.65,6.152032184571208
0.655,6.169797403480928
0.66,6.104907861712575
0.665,6.059339898041699
0.67,6.016734994995209
0.675,5.9857413910057975
0.68,5.946250919697217
0.685,5.866267978877201
0.69,5.883026432033091
0.695,5.80086200490927
0.7,5.743474558139871
0.705,5.614080512425876
0.71,5.515895212927815
0.715,5.4707494916144705
0.72,5.524662885642889
0.725,5.404627646748664
0.73,5.482070776631764
0.735,5.550450432172149
0.74,5.5988838173335935
0.745,5.482918930642694
0.75,5.4836119483420775
0.755,5.615549839508149
0.76,5.6065675774042
0.765,5.591064299397745
0.77,5.513111644071794
0.775,5.446641166810974
0.78,5.3900278292417
0.785,5.397508684569206
0.79,5.275376763796118
0.795,5.256719509351816
0.8,5.275414675643992
0.805,5.278257288158659
0.81,5.168936060738224
0.815,5.171798526624951
0.82,5.17898638731557
0.825,5.114919354202958
0.83,5.181302924940791
0.835,5.146600819958742
0.84,5.094025912772726
0.845,5.139610880212626
0.85,5.022987159051873
0.855,5.253294204592009
0.86,5.153435747149661
0.865,5.173006862551025
0.87,5.2126384873689435
0.875,5.165452545518156
0.88,5.2607604013108205
0.885,5.358320632436994
0.89,5.282982112405833
0.895,5.3560713214071365
0.9,5.515605134525132
0.905,5.51633936592012
0.91,5.492139837986647
0.915,5.54277908634288
0.92,5.497235668952168
0.925,5.52235457028974
0.93,5.514444668323365
0.935,5.478859370343428
0.94,5.431390245600107
0.945,5.529520774895415
0.95,5.459084172276519
0.955,5.4
0.96,5.418957464309902
0.965,5.388979495229128
0.97,5.4554468194640116
0.975,5.459340619525401
0.98,5.483383991660625
0.985,5.518912936439568
0.99,5.525676429180415
0.995,5.577409793084959
1.0,5.554781723884385
1.005,5.501736089635706
1.01,5.560359700594918
1.015,5.62320193484104
1.02,5.595453511557396
1.025,5.609019522162497
1.03,5.704901401426672
1.035,5.699964912172706
1.04,5.713527806880788
1.045,5.619644116845835
1.05,5.599107071667767
1.055,5.593737569818591
1.06,5.563910495326106
1.065,5.569371598304428
1.07,5.551576352712804
1.075,5.563488114483574
1.08,5.675376639483938
1.085,5.6857365397985165
1.09,5.693952932717305
1.095,5.685806890846717
1.1,5.7065225838508695
1.105,5.693118653251483
1.11,5.772209282415184
1.115,5.743335267943183
1.12,5.672741841473134
1.125,5.6616163769722165
1.13,5.580134406983401
1.135,5.602999196858767
1.14,5.54143483224336
1.145,5.47207456089553
1.15,5.451935436154761
1.155,5.418588377059103
1.16,5.420184498704818
1.165,5.411136664324791
1.17,5.407735200617722
1.175,5.329343299131705
1.18,5.311600512086728
1.185,5.278105720805525
1.19,5.295837988458483
1.195,5.329643515283175
1.2,5.29078444089343
1.205,5.307541803886239
1.21,5.387494779579838
1.215,5.376420742464266
1.22,5.315063499150317
1.225,5.341114115987412
1.23,5.4002222176499375
1.235,5.452073000244953
1.24,5.487030162118668
1.245,5.49300464227002
1.25,5.4401838204237185
1.255,5.423458306283915
1.26,5.3765695382836824
1.265,5.436211916399138
1.27,5.387615427997807
1.275,5.378206020598318
1.28,5.3819977703451345
1.285,5.340589855062827
1.29,5.259125402574082
1.295,5.240954111609831
1.3,5.264560760405373
1.305,5.285603087633425
1.31,5.213482521309532
1.315,5.2335456432518095
1.32,5.215927530171407
1.325,5.218994155965304
1.33,5.287305551980139
1.335,5.323532661682466
1.34,5.271612656483783
1.345,5.247275483524758
1.35,5.240028625876006
1.355,5.237327562793834
1.36,5.240648814793833
1.365,5.322358499763052
1.37,5.295129837879332
1.375,5.357938036222518
1.38,5.39774026792694
1.385,5.32611490675896
1.39,5.2434625964147
1.395,5.299990566029339
1.4,5.292815885707719
1.405,5.32521361073901
1.41,5.373081052803875
1.415,5.351812776994355
1.42,5.320939766620177
