time,infected lower
0.0,10.0
0.005,9.6442561475698
0.01,9.652014670058197
0.015,9.67123838296652
0.02,9.805436251197918
0.025,10.017080202007813
0.03,10.115701482533911
0.035,10.445325430446022
0.04,10.60831375565031
0.045,10.846364856292832
0.05,11.053534146957402
0.055,11.18913350018265
0.06,11.448469865573747
0.065,11.670486427356337
0.07,11.84481639052965
0.075,11.976129398161724
0.08,12.183062819875097
0.085,12.428836287578132
0.09,12.61214355544528
0.095,12.950378809620716
0.1,13.158947530364374
0.105,13.34933434038282
0.11,13.551325376587855
0.115,13.748081420489207
0.12,13.866162312080073
0.125,14.154004279602749
0.13,14.455644377459599
0.135,14.806039696875093
0.14,14.88170971400876
0.145,15.181381640095811
0.15,15.628412143574595
0.155,15.982955845109618
0.16,16.325750293666403
0.165,16.625896841515193
0.17,17.033980884591962
0.175,17.482000373971587
0.18,17.718036714044704
0.185,18.267111658543502
0.19,18.760782972690944
0.195,19.173137947866152
0.2,19.558049112017766
0.205,19.885482025051253
0.21,20.299533028829476
0.215,20.713183343942752
0.22,21.031581983230787
0.225,21.344986772499997
0.23,21.73938238098921
0.235,21.994368430603792
0.24,22.68074077982584
0.245,23.121604084594654
0.25,23.65778575673131
0.255,23.962749835687077
0.26,24.565164855688472
0.265,25.005335230979306
0.27,25.363438681341787
0.275,25.541493812118645
0.28,25.964272503409887
0.285,26.317911270876962
0.29,26.83259821214586
0.295,27.277985595715784
0.3,27.672569257549966
0.305,28.08943047508145
0.31,28.61721004693641
0.315,29.014877292433894
0.32,29.342509118767616
0.325,29.965335783739043
0.33,30.51509398547329
0.335,30.993378570624394
0.34,31.515728421900313
0.345,31.921083305219508
0.35,32.57037486392866
0.355,33.053672476048746
0.36,33.73293996760242
0.365,34.05704308074635
0.37,34.928142892031246
0.375,35.267112505112415
0.38,35.58739550019926
0.385,36.20941698114906
0.39,36.67914624145635
0.395,37.374589562296066
0.4,37.51649604425852
0.405,37.891672699408645
0.41,38.33670624117098
0.415,38.81628788729423
0.42,39.2740256290064
0.425,39.87782637226192
0.43,40.290270437087514
0.435,40.814254739247936
0.44,40.853842868977196
0.445,41.18295153593574
0.45,41.55295533495867
0.455,41.93477702597267
0.46,42.371944005930565
0.465,42.66341445467435
0.47,42.950748536545326
0.475,43.45803421506738
0.48,43.875513422523014
0.485,44.05678070254412
0.49,44.64396183961939
0.495,44.887374347727544
0.5,45.22714963186707
0.505,45.54509645852652
0.51,46.092091658625215
0.515,46.367487552210406
0.52,46.851461177599994
0.525,47.074793431533536
0.53,47.40100802494126
0.535,47.81508139578906
0.54,48.01008586574458
0.545,48.28799355877895
0.55,48.72646377094203
0.555,48.977835937203274
0.56,49.056976099725674
0.565,49.316003817835735
0.57,49.71994475159202
0.575,49.8188373017693
0.58,50.10903478691919
0.585,50.46870956736364
0.59,50.75596960144279
0.595,51.000818762454095
0.6,51.19846171348561
0.605,51.535160137576796
0.61,51.65329147845108
0.615,51.8038099025309
0.62,52.02102611431168
0.625,52.49872854133494
0.63,52.485173424012146
0.635,52.596783150482715
0.64,52.71363095935952
0.645,52.97938712706558
0.65,53.09796781542879
0.655,53.27020259651907
0.66,53.40509213828742
0.665,53.3206601019583
0.67,53.31326500500479
0.675,53.544258608994205
0.68,53.66374908030278
0.685,53.7637320211228
0.69,53.81697356796691
0.695,53.89913799509073
0.7,53.906525441860126
0.705,53.99591948757412
0.71,54.054104787072184
0.715,54.05925050838553
0.72,54.06533711435711
0.725,54.095372353251335
0.73,53.88792922336823
0.735,53.899549567827854
0.74,53.75111618266641
0.745,53.757081069357305
0.75,53.61638805165792
0.755,53.54445016049185
0.76,53.4734324225958
0.765,53.40893570060226
0.77,53.32688835592821
0.775,53.34335883318902
0.78,53.3499721707583
0.785,53.2324913154308
0.79,53.244623236203886
0.795,53.11328049064818
0.8,53.024585324356
0.805,52.92174271184135
0.81,52.941063939261774
0.815,52.77820147337505
0.82,52.73101361268443
0.825,52.64508064579704
0.83,52.52869707505921
0.835,52.60339918004126
0.84,52.43597408722727
0.845,52.24038911978738
0.85,52.33701284094813
0.855,52.016705795407994
0.86,51.95656425285034
0.865,51.82699313744897
0.87,51.56736151263106
0.875,51.424547454481846
0.88,51.119239598689184
0.885,50.861679367563006
0.89,50.727017887594165
0.895,50.493928678592866
0.9,50.07439486547487
0.905,49.98366063407988
0.91,49.92786016201335
0.915,49.69722091365712
0.92,49.52276433104784
0.925,49.53764542971026
0.93,49.51555533167664
0.935,49.41114062965657
0.94,49.168609754399895
0.945,48.850479225104586
0.95,48.82091582772348
0.955,48.800000000000004
0.96,48.511042535690095
0.965,48.28102050477087
0.97,48.13455318053599
0.975,47.880659380474604
0.98,47.666616008339375
0.985,47.52108706356043
0.99,47.34432357081958
0.995,47.17259020691504
1.0,47.065218276115615
1.005,46.96826391036429
1.01,46.759640299405085
1.015,46.51679806515896
1.02,46.43454648844261
1.025,46.2209804778375
1.03,46.005098598573326
1.035,45.780035087827294
1.04,45.62647219311921
1.045,45.52035588315417
1.05,45.500892928332235
1.055,45.416262430181405
1.06,45.16608950467389
1.065,45.04062840169557
1.07,44.84842364728719
1.075,44.69651188551642
1.08,44.33462336051606
1.085,44.13426346020148
1.09,43.9760470672827
1.095,43.854193109153286
1.1,43.633477416149134
1.105,43.52688134674852
1.11,43.267790717584816
1.115,43.04666473205682
1.12,42.92725815852687
1.125,42.64838362302778
1.13,42.529865593016595
1.135,42.317000803141234
1.14,42.20856516775664
1.145,42.10792543910447
1.15,41.96806456384524
1.155,41.7514116229409
1.16,41.61981550129518
1.165,41.448863335675206
1.17,41.172264799382276
1.175,41.08065670086829
1.18,40.818399487913275
1.185,40.68189427919447
1.19,40.49416201154152
1.195,40.24035648471683
1.2,39.969215559106566
1.205,39.79245819611376
1.21,39.54250522042016
1.215,39.33357925753573
1.22,39.17493650084968
1.225,39.00888588401259
1.23,38.83977778235006
1.235,38.61792699975505
1.24,38.36296983788134
1.245,38.13699535772998
1.25,37.93981617957628
1.255,37.766541693716086
1.26,37.57343046171632
1.265,37.303788083600864
1.27,37.172384572002194
1.275,37.05179397940168
1.28,36.90800222965486
1.285,36.74941014493717
1.29,36.70087459742592
1.295,36.57904588839017
1.3,36.355439239594624
1.305,36.034396912366574
1.31,35.92651747869047
1.315,35.66645435674819
1.32,35.57407246982859
1.325,35.391005844034694
1.33,35.09269444801986
