time,infected upper
0.0,10.0
0.005,10.955743852430201
0.01,11.287985329941804
0.015,11.68876161703348
0.02,12.154563748802083
0.025,12.622919797992187
0.03,13.14429851746609
0.035,13.594674569553977
0.04,13.871686244349691
0.045,14.233635143707167
0.05,14.926465853042599
0.055,15.690866499817348
0.06,16.351530134426252
0.065,16.809513572643663
0.07,17.15518360947035
0.075,17.663870601838276
0.08,18.0569371801249
0.085,18.53116371242187
0.09,19.18785644455472
0.095,19.549621190379284
0.1,20.00105246963562
0.105,20.41066565961718
0.11,20.868674623412147
0.115,21.41191857951079
0.12,21.973837687919932
0.125,22.56599572039725
0.13,23.1843556225404
0.135,23.773960303124905
0.14,24.238290285991237
0.145,24.87861835990419
0.15,25.39158785642541
0.155,26.19704415489038
0.16,26.754249706333596
0.165,27.134103158484805
0.17,27.70601911540804
0.175,28.17799962602841
0.18,28.721963285955294
0.185,29.452888341456497
0.19,29.999217027309054
0.195,30.546862052133847
0.2,31.041950887982235
0.205,31.554517974948745
0.21,32.72046697117053
0.215,33.30681665605725
0.22,33.98841801676922
0.225,34.5750132275
0.23,35.340617619010786
0.235,36.20563156939621
0.24,36.71925922017416
0.245,37.45839591540534
0.25,38.20221424326869
0.255,38.79725016431292
0.26,39.27483514431153
0.265,39.994664769020694
0.27,40.656561318658206
0.275,41.33850618788135
0.28,41.875727496590116
0.285,42.50208872912303
0.29,43.187401787854135
0.295,43.662014404284214
0.3,44.36743074245004
0.305,44.77056952491855
0.31,45.32278995306359
0.315,45.9251227075661
0.32,46.47749088123238
0.325,47.01466421626096
0.33,47.80490601452671
0.335,48.18662142937561
0.34,48.98427157809969
0.345,49.458916694780484
0.35,49.90962513607134
0.355,50.28632752395126
0.36,50.90706003239758
0.365,51.44295691925365
0.37,51.89185710796875
0.375,52.41288749488759
0.38,52.752604499800746
0.385,53.190583018850944
0.39,53.78085375854364
0.395,54.125410437703934
0.4,54.64350395574148
0.405,54.92832730059135
0.41,55.46329375882902
0.415,55.68371211270577
0.42,56.2859743709936
0.425,56.44217362773807
0.43,56.929729562912485
0.435,57.28574526075206
0.44,57.426157131022805
0.445,57.91704846406425
0.45,58.367044665041334
0.455,58.865222974027326
0.46,59.08805599406943
0.465,59.23658554532565
0.47,59.64925146345467
