time,susceptible upper
0.0,90.0
0.005,90.19930993431842
0.01,90.1211102550928
0.015,90.00634079224642
0.02,89.81980390271856
0.025,89.52699607671516
0.03,89.36273796427838
0.035,89.02089627472124
0.04,88.78660687473185
0.045,88.55323570133234
0.05,88.36347271130379
0.055,88.15561769479287
0.06,87.84423349100719
0.065,87.56467301671668
0.07,87.27374235192198
0.075,87.09425396807167
0.08,86.82370781838918
0.085,86.45005154593524
0.09,86.1899201267764
0.095,85.79420856277594
0.1,85.53766385365573
0.105,85.2626305672684
0.11,84.92235876913037
0.115,84.63229152130431
0.12,84.30380888649408
0.125,83.99267638593624
0.13,83.59679123866164
0.135,83.2
0.14,83.03124711981476
0.145,82.66340214552582
0.15,82.13622533524804
0.155,81.71448519556418
0.16,81.29666560170382
0.165,80.88536123153223
0.17,80.39401164536667
0.175,79.85786599684884
0.18,79.50782840397933
0.185,78.87581404945195
0.19,78.30893849765025
0.195,77.82119850715588
0.2,77.33630392703768
0.205,76.88938857840567
0.21,76.37945052575182
0.215,75.75970450331894
0.22,75.35507325278994
0.225,74.86874803204269
0.23,74.37731936701778
0.235,73.99326163198879
0.24,73.2033601039739
0.245,72.61221511471997
0.25,71.98930089955117
0.255,71.57267880208731
0.26,70.84836122502698
0.265,70.25243600927855
0.27,69.73056660516554
0.275,69.15901471854806
0.28,68.65469563339558
0.285,68.18201406099871
0.29,67.54985293990431
0.295,67.00613814755232
0.3,66.55732000100373
0.305,65.99823511794068
0.31,65.36669781926022
0.315,64.84930552876165
0.32,64.31058918793268
0.325,63.521368550059094
0.33,62.8045304724847
0.335,62.19564782216729
0.34,61.50027896578209
0.345,60.959968118968305
0.35,60.10263911132465
0.355,59.480996731325114
0.36,58.65636585171309
0.365,58.15444047851162
0.37,57.20988781984058
0.375,56.74111338027228
0.38,56.26006263027544
0.385,55.40758860801196
0.39,54.7939856608372
0.395,54.02734452936255
0.4,53.5184765636861
0.405,52.90138706397793
0.41,52.28236297298033
0.415,51.60832971957145
0.42,50.95789233252778
0.425,50.1610503622237
0.43,49.55410289131461
0.435,48.77997890293011
0.44,48.389973767015306
0.445,47.757196241576295
0.45,47.16063341634391
0.455,46.54355901920691
0.46,45.92773313596096
0.465,45.51372081550373
0.47,45.023682430026184
0.475,44.202766894355115
0.48,43.547830635181526
0.485,42.928810707483265
0.49,42.193703959524726
0.495,41.67136499661586
0.5,41.12676891558948
0.505,40.46461000809558
0.51,39.687213138676526
0.515,39.14890670392363
0.52,38.494691162918926
0.525,38.034959833705635
0.53,37.391238601010606
0.535,36.85435286812017
0.54,36.32285185270215
0.545,35.73727646352111
0.55,35.0639967190057
0.555,34.556689337967185
0.56,34.10840894338804
0.565,33.57017981250971
0.57,33.023200336322866
0.575,32.591951992408255
0.58,32.06049643933499
0.585,31.550137066818394
0.59,30.90967994550514
0.595,30.394641971224054
0.6,29.872456092513033
0.605,29.292966404094457
0.61,28.97337284776988
0.615,28.568290792796105
0.62,28.0054443957668
0.625,27.30561797087093
0.63,26.925955088890714
0.635,26.469805366585085
0.64,26.014984745746936
0.645,25.505788617050385
0.65,24.977345876789805
0.655,24.3932591887563
0.66,24.03559861627295
0.665,23.680115941054904
0.67,23.33860893594003
0.675,22.763461792238395
0.68,22.358115231584193
0.685,21.809175770851358
0.69,21.439238049161187
0.695,21.148115775015597
0.7,20.858236930415515
0.705,20.48171825266839
0.71,20.1360885774354
0.715,19.755848874843533
0.72,19.419199263954155
0.725,19.06880022421524
0.73,18.839157832522275
0.735,18.524055476255548
0.74,18.21917260030663
0.745,17.85076281416494
0.75,17.498279493370223
0.755,17.21722360186439
0.76,16.82369516981712
0.765,16.400000000000002
0.77,16.048637104766044
0.775,15.846168924318185
0.78,15.487846151358827
0.785,15.177205990779582
0.79,14.880984576653045
0.795,14.713247737026895
0.8,14.425243554387599
0.805,14.20948744160409
0.81,13.901608090215136
0.815,13.724371263835991
0.82,13.382752708043288
0.825,13.158324777540605
0.83,12.994348173209527
0.835,12.528401207655119
0.84,12.386841497920697
0.845,12.265266358029958
0.85,12.052272056851644
0.855,11.782253968120385
0.86,11.661635030385474
0.865,11.47366035159813
0.87,11.358924575734227
