time,susceptible STD
0.0,0.0
0.005,0.5793099343184102
0.01,0.7211102550927974
0.015,0.8863407922464132
0.02,1.019803902718558
0.025,1.1469960767151721
0.03,1.3527379642783752
0.035,1.4508962747212482
0.04,1.4866068747318517
0.045,1.5932357013323537
0.05,1.8734727113037961
0.055,2.1656176947928722
0.06,2.364233491007181
0.065,2.484673016716688
0.07,2.553742351921978
0.075,2.764253968071674
0.08,2.833707818389185
0.085,2.9100515459352256
0.09,3.129920126776401
0.095,3.174208562775927
0.1,3.337663853655728
0.105,3.4226305672684
0.11,3.5623587691303644
0.115,3.732291521304306
0.12,3.913808886494076
0.125,4.092676385936227
0.13,4.236791238661635
0.135,4.4
0.14,4.611247119814768
0.145,4.7634021455258235
0.15,4.846225335248041
0.155,5.074485195564175
0.16,5.21666560170383
0.165,5.225361231532227
0.17,5.324011645366676
0.175,5.387865996848845
0.18,5.547828403979344
0.185,5.635814049451952
0.19,5.698938497650244
0.195,5.841198507155874
0.2,5.896303927037684
0.205,5.969388578405664
0.21,6.369450525751809
0.215,6.42970450331895
0.22,6.655073252789935
0.225,6.74874803204268
0.23,6.937319367017782
0.235,7.283261631988788
0.24,7.263360103973915
0.245,7.38221511471997
0.25,7.509300899551167
0.255,7.672678802087313
0.26,7.718361225026981
0.265,7.86243600927855
0.27,8.03056660516554
0.275,8.119014718548058
0.28,8.254695633395578
0.285,8.392014060998706
0.29,8.499852939904311
0.295,8.556138147552318
0.3,8.767320001003728
0.305,8.838235117940682
0.31,8.916697819260223
0.315,8.999305528761651
0.32,9.080589187932686
0.325,9.061368550059091
0.33,9.184530472484699
0.335,9.16564782216729
0.34,9.320278965782087
0.345,9.409968118968308
0.35,9.322639111324644
0.355,9.330996731325115
0.36,9.326365851713089
0.365,9.494440478511622
0.37,9.359887819840578
0.375,9.521113380272286
0.38,9.580062630275442
0.385,9.557588608011962
0.39,9.6239856608372
0.395,9.507344529362552
0.4,9.648476563686103
0.405,9.661387063977926
0.41,9.692362972980325
0.415,9.60832971957145
0.42,9.67789233252778
0.425,9.521050362223697
0.43,9.544102891314612
0.435,9.47997890293011
0.44,9.52997376701531
0.445,9.557196241576293
0.45,9.630633416343912
0.455,9.723559019206908
0.46,9.637733135960966
0.465,9.663720815503726
0.47,9.723682430026189
0.475,9.542766894355116
0.48,9.517830635181527
0.485,9.458810707483263
0.49,9.383703959524723
0.495,9.341364996615857
0.5,9.236768915589476
0.505,9.134610008095583
0.51,8.987213138676525
0.515,9.008906703923625
0.52,8.944691162918929
0.525,9.024959833705632
0.53,8.841238601010607
0.535,8.904352868120174
0.54,8.872851852702151
0.545,8.737276463521113
0.55,8.533996719005698
0.555,8.576689337967185
0.56,8.578408943388045
0.565,8.620179812509711
0.57,8.563200336322863
0.575,8.581951992408252
0.58,8.460496439334989
0.585,8.390137066818394
0.59,8.279679945505142
0.595,8.134641971224054
0.6,8.042456092513033
0.605,7.8729664040944565
0.61,7.873372847769881
0.615,7.868290792796106
0.62,7.7354443957668
0.625,7.585617970870932
0.63,7.525955088890715
0.635,7.449805366585086
0.64,7.374984745746934
0.645,7.2757886170503845
0.65,7.157345876789804
0.655,7.043259188756298
0.66,6.995598616272948
0.665,6.900115941054902
0.67,6.828608935940028
0.675,6.7034617922383966
0.68,6.578115231584196
0.685,6.369175770851358
0.69,6.299238049161185
0.695,6.288115775015597
0.7,6.238236930415517
0.705,6.111718252668392
0.71,6.006088577435399
0.715,5.875848874843533
0.72,5.869199263954155
0.725,5.708800224215242
0.73,5.699157832522276
0.735,5.624055476255548
0.74,5.559172600306631
0.745,5.44076281416494
0.75,5.288279493370221
0.755,5.257223601864391
0.76,5.143695169817122
0.765,5.000000000000002
0.77,4.878637104766044
0.775,4.866168924318185
0.78,4.757846151358826
0.785,4.6872059907795816
0.79,4.570984576653045
0.795,4.5432477370268955
0.8,4.465243554387598
0.805,4.389487441604088
