time,recovered lower
0.0,0.0
0.005,-0.191293199325011
0.01,-0.23482872693909362
0.015,-0.2242640687119279
0.02,-0.21772137256478638
0.025,-0.1999999999999998
0.03,-0.1788877434122993
0.035,-0.13945427471264565
0.04,-0.09533773507659299
0.045,-0.07445626465380284
0.05,-0.054108003776292546
0.055,-0.01745212570898036
0.06,-0.024670458451447663
0.065,0.0035386189884890618
0.07,0.010844619078822948
0.075,0.08351451416220579
0.08,0.10393384502320735
0.085,0.12000000000000033
0.09,0.15773019999548932
0.095,0.20636587330263667
0.1,0.2757542692709697
0.105,0.2892427138799327
0.11,0.417527778158828
0.115,0.4666244734189049
0.12,0.5350541138217768
0.125,0.5515556386603535
0.13,0.6168375005843978
0.135,0.6763468883028743
0.14,0.8036119040372021
0.145,0.810992454351444
0.15,0.9590326354009147
0.155,0.9905079132718326
0.16,1.0855503099772477
0.165,1.10781658048917
0.17,1.1792755524725433
0.175,1.275219315122499
0.18,1.3409462484412538
0.185,1.3999999999999995
0.19,1.4770616450750533
0.195,1.6061660320355973
0.2,1.6191465635225064
0.205,1.683575232824329
0.21,1.7336896037645546
0.215,1.7826614583405587
0.22,1.8442610658158687
0.225,1.9671559202025364
0.23,2.0351574369739036
0.235,2.1666611751859266
0.24,2.31784427626099
0.245,2.370592500250367
0.25,2.468231869407027
0.255,2.579532761287855
0.26,2.78956022995317
0.265,2.9287388968763968
0.27,3.0615700594364648
0.275,3.268422775030801
0.28,3.382697233710803
0.285,3.510895371548081
0.29,3.6604386386850645
0.295,3.7748752745241743
0.3,3.8589272855614314
0.305,4.009604199303791
0.31,4.183419102137381
0.315,4.19854881168297
0.32,4.382016949210508
0.325,4.518695988230572
0.33,4.6331872893462105
0.335,4.796281749106531
0.34,4.8709075599379705
0.345,5.020949069476801
0.35,5.130508817350016
0.355,5.294241867376962
0.36,5.467726591733532
0.365,5.722614431228337
0.37,5.778176237518512
0.375,5.94727548878952
0.38,6.142093751460996
0.385,6.363335133189869
0.39,6.475900129637338
0.395,6.5808572595069625
0.4,6.833246978706635
0.405,7.123934284612293
0.41,7.210015151549934
0.415,7.305076198230213
0.42,7.453397068778838
0.425,7.661638797409173
0.43,7.884917740596083
0.435,8.133254345278864
0.44,8.492864416649963
0.445,8.77904912163828
0.45,8.981558417658016
0.455,9.214666915981061
0.46,9.37173171729152
0.465,9.553083494237907
0.47,9.788905982946442
0.475,9.99165791077646
0.48,10.153972698172565
0.485,10.45286387886572
0.49,10.61592221710844
0.495,10.84638330006821
0.5,11.072468158199074
0.505,11.368818363151384
0.51,11.563609926748857
0.515,11.813090968472578
0.52,11.926336702738896
0.525,12.334220232097302
0.53,12.56666384897255
0.535,12.749457107920684
0.54,13.072680408280585
0.545,13.336685075092749
0.55,13.501667017543875
0.555,13.725974589019145
0.56,14.066863729524062
0.565,14.29147228316517
0.57,14.471034193376633
0.575,14.731998062015958
0.58,14.908863790786048
0.585,15.001963067013097
0.59,15.377324783659914
0.595,15.565256639661351
0.6,15.898863258953622
0.605,16.124921237596677
0.61,16.306757036838377
0.615,16.59932719868464
0.62,16.78595858007688
0.625,16.980338613392668
0.63,17.195557748177915
0.635,17.39474435579698
0.64,17.67723026746951
