time,recovered upper
0.0,0.0
0.005,0.351293199325011
0.01,0.49482872693909363
0.015,0.6242640687119279
0.02,0.6577213725647864
0.025,0.7999999999999998
0.03,0.8988877434122993
0.035,0.9594542747126455
0.04,1.015337735076593
0.045,1.074456264653803
0.05,1.0941080037762925
0.055,1.1574521257089803
0.06,1.2646704584514477
0.065,1.3564613810115111
0.07,1.549155380921177
0.075,1.6164854858377942
0.08,1.6760661549767928
0.085,1.8399999999999996
0.09,1.9222698000045106
0.095,2.053634126697363
0.1,2.1642457307290304
0.105,2.2707572861200673
0.11,2.4424722218411716
0.115,2.573375526581095
0.12,2.8449458861782233
0.125,2.9284443613396465
0.13,3.0231624994156023
0.135,3.143653111697126
0.14,3.236388095962798
0.145,3.3290075456485555
0.15,3.4409673645990857
0.155,3.5494920867281676
0.16,3.674449690022752
0.165,3.8121834195108297
0.17,3.9407244475274568
0.175,4.124780684877502
0.18,4.299053751558746
0.185,4.4
0.19,4.542938354924946
0.195,4.713833967964403
0.2,4.900853436477493
0.205,5.036424767175671
0.21,5.226310396235445
0.215,5.537338541659442
0.22,5.735738934184131
0.225,5.8728440797974635
0.23,6.004842563026095
0.235,6.213338824814074
0.24,6.4021557237390105
0.245,6.589407499749633
0.25,6.711768130592972
0.255,6.860467238712145
0.26,7.11043977004683
0.265,7.291261103123604
0.27,7.518429940563536
0.275,7.771577224969198
0.28,7.977302766289196
0.285,8.089104628451919
0.29,8.219561361314936
0.295,8.385124725475826
0.3,8.521072714438569
0.305,8.81039580069621
0.31,8.976580897862618
0.315,9.161451188317029
0.32,9.337983050789493
0.325,9.581304011769427
0.33,9.806812710653789
0.335,9.963718250893468
0.34,10.26909244006203
0.345,10.499050930523198
0.35,10.829491182649985
0.355,11.065758132623039
0.36,11.232273408266467
0.365,11.457385568771663
0.37,11.701823762481489
0.375,11.932724511210479
0.38,12.157906248539005
0.385,12.53666486681013
0.39,12.72409987036266
0.395,12.879142740493037
0.4,13.266753021293367
0.405,13.576065715387706
0.41,13.809984848450066
0.415,14.194923801769786
0.42,14.426602931221161
0.425,14.738361202590825
0.43,14.875082259403918
0.435,15.166745654721137
0.44,15.507135583350037
0.445,15.72095087836172
0.45,16.03844158234198
0.455,16.34533308401894
0.46,16.58826828270848
0.465,16.846916505762092
0.47,17.01109401705356
0.475,17.28834208922354
0.48,17.62602730182744
0.485,18.02713612113428
0.49,18.124077782891558
0.495,18.453616699931793
0.5,18.72753184180093
0.505,19.071181636848618
0.51,19.316390073251142
0.515,19.606909031527426
0.52,19.873663297261103
0.525,20.1257797679027
0.53,20.453336151027454
0.535,20.670542892079318
0.54,20.867319591719415
0.545,21.183314924907254
0.55,21.418332982456125
0.555,21.75402541098085
0.56,22.07313627047594
0.565,22.508527716834827
0.57,22.688965806623365
0.575,22.98800193798404
0.58,23.27113620921395
0.585,23.558036932986905
0.59,23.902675216340086
0.595,24.234743360338648
0.6,24.52113674104638
0.605,24.695078762403323
0.61,24.913242963161622
0.615,25.22067280131536
0.62,25.57404141992312
0.625,25.839661386607332
0.63,26.204442251822083
0.635,26.685255644203018
0.64,26.92276973253049
0.645,27.161859577896067
0.65,27.537070652811828
0.655,27.812814356456276
0.66,28.063837881850638
0.665,28.519145221084724
0.67,28.806977512319165
0.675,29.02323097188944
0.68,29.21194524087369
0.685,29.515313511636908
0.69,29.733226432181112
0.695,30.073184649892557
0.7,30.43288209505618
0.705,30.742245228702128
0.71,31.042362280551753
0.715,31.35884682077334
0.72,31.718024289770483
0.725,31.995965403501142
0.73,32.430637610673344
0.735,32.572143841864026
0.74,33.04469089064801
0.745,33.34674894306288
0.75,33.72129208056936
0.755,33.94217344625804
0.76,34.29394895106787
0.765,34.68723893679076
0.77,35.07624615998872
0.775,35.27946531822925
0.78,35.6670322171464
0.785,36.113125261256414
0.79,36.41224188682667
0.795,36.693392780978705
0.8,37.07970036612542
0.805,37.39106274219769
0.81,37.72257292096303
0.815,37.979077412253865
0.82,38.315116650173174
0.825,38.52148678340847
0.83,38.76661303603665
0.835,39.049695563405756
0.84,39.43890500008898
0.845,39.74067391127902
0.85,39.870138119790326
0.855,40.26270691990836
0.86,40.455307088780394
0.865,40.757847682416724
0.87,41.04658943034869
0.875,41.41765293242543
0.88,41.89670116291435
0.885,42.21234986603254
0.89,42.50302243871772
0.895,42.89529840061513
0.9,43.42015490327065
0.905,43.64559111354985
0.91,43.81913488335408
0.915,44.13357033156046
0.92,44.38576632425739
0.925,44.45231060290986
0.93,44.57845996710608
0.935,44.757584451263355
0.94,45.182940405883535
0.945,45.57553240285251
0.95,45.77196962196019
0.955,45.97538544946508
0.96,46.311895626684255
0.965,46.60692976634033
0.97,46.83398974176643
0.975,47.16108337711315
0.98,47.522196412633704
0.985,47.715577231501655
0.99,48.02395293271731
0.995,48.27952877643528
1.0,48.49341167200125
1.005,48.718303632715376
1.01,48.90024822148813
1.015,49.2626217767733
1.02,49.417358540730014
1.025,49.704384278780665
1.03,49.930303811432175
1.035,50.167687142294
1.04,50.38858754429552
1.045,50.56640204749002
1.05,50.71304772584237
1.055,50.889775981166274
1.06,51.16216564169639
1.065,51.33827559223393
1.07,51.581788029466296
1.075,51.79453108692777
1.08,52.179891695692255
1.085,52.39956520026714
1.09,52.61271258093509
1.095,52.832826546421394
1.1,53.07318998400019
1.105,53.26248582764618
1.11,53.58710263861827
1.115,53.8417349722604
1.12,54.06506963119061
1.125,54.34879733757713
1.13,54.545865228436504
1.135,54.78604061455822
1.14,54.93269377255458
1.145,55.13423482925709
1.15,55.29485734140772
1.155,55.599328316123206
1.16,55.84328285926114
1.165,56.06454353954067
1.17,56.35799962949239
1.175,56.519250883785105
1.18,56.86563137011852
1.185,57.05470766272581
1.19,57.26376733276155
1.195,57.545407719828944
1.2,57.87375801094717
1.205,58.07308105280388
1.21,58.341586483678
1.215,58.63737551486952
1.22,58.79620684125899
1.225,58.9784812679123
1.23,59.185761216241936
1.235,59.40045869629337
1.24,59.66484246348696
1.245,59.89572826206707
1.25,60.15068802996466
1.255,60.31567046548166
1.26,60.5967880443432
1.265,60.843246739328784
1.27,60.974174312510655
1.275,61.093514624064724
1.28,61.28785012712607
1.285,61.47755500203564
1.29,61.554004124482844
1.295,61.71145656751984
1.3,61.90319374291174
1.305,62.201439197794485
1.31,62.35176270644181
1.315,62.61978886328419
1.32,62.79570704698797
1.325,63.053462596414704
1.33,63.35398155811629
1.335,63.57575532548956
1.34,63.733310286981144
1.345,63.930595429627935
1.35,64.14221125806596
1.355,64.28015151297764
1.36,64.42018939054273
1.365,64.68826425771094
1.37,64.88693885399107
1.375,65.0621864690984
1.38,65.3359614527904
1.385,65.45793192886107
1.39,65.6662939300043
1.395,65.94160051208674
1.4,66.14230138713371
1.405,66.3648377209469
1.41,66.55599478195795
1.415,66.67972066312579
1.42,66.8150070158981
1.425,66.99895120786844
1.43,67.32477731408733
1.435,67.57651984412706
1.44,67.71180551180827
1.445,68.02447848952791
1.45,68.21866769315795
1.455,68.36776436283002
1.46,68.691731527692
1.465,68.8220283559939
1.47,68.98187134563864
1.475,69.087994293863
1.48,69.34044561510046
1.485,69.49195851200632
1.49,69.65753054189847
1.495,69.71304772584239
1.5,69.84547172082766
1.505,69.99604252182844
1.51,70.14601142645314
1.515,70.3228484065717
1.52,70.46601911540803
1.525,70.58250877397501
1.53,70.7097659124722
1.535,70.8137628152096
1.54,71.03992481149875
1.545,71.21883445878889
1.55,71.44969272863914
1.555,71.64631599518633
1.56,71.80307027840735
1.565,71.94554852466113
1.57,72.17132146522455
1.575,72.28052042092585
1.58,72.46151830506942
1.585,72.6160984082793
1.59,72.70886903933906
1.595,72.86077772177303
1.6,73.14054942290609
1.605,73.3136293040581
1.61,73.4324619792751
1.615,73.49570166581019
1.62,73.65994285683188
1.625,73.82558638709878
1.63,73.96212884676915
1.635,74.09528091794948
1.64,74.13195531567828
1.645,74.2126848429315
1.65,74.40124498540968
1.655,74.57300686255103
1.66,74.67544894979824
1.665,74.91947570146709
1.67,75.01900185946334
1.675,75.12711008252694
1.68,75.24829359844121
1.685,75.39125231082028
1.69,75.5002766722779
1.695,75.54887437579384
1.7,75.66873208847873
1.705,75.80303368602333
1.71,75.95519191025285
1.715,76.05147097080709
1.72,76.17558321273
1.725,76.39884759999735
1.73,76.55338390778138
1.735,76.64661338863161
1.74,76.79015690119058
1.745,76.91098537645573
1.75,77.0862983540689
1.755,77.1693128464926
1.76,77.24300332403914
1.765,77.35436886258564
1.77,77.41978165418396
1.775,77.58019607424345
1.78,77.6553135116369
1.785,77.67631196450267
1.79,77.76967919215512
1.795,77.91590626272594
1.8,77.99767796966239
1.805,78.2
1.81,78.28368975231855
1.815,78.4185008671813
1.82,78.55387109538175
1.825,78.69223539359724
1.83,78.94277076749972
1.835,79.03991150355844
1.84,79.14670611422578
1.845,79.27078881975149
1.85,79.34191832054698
1.855,79.5250195968215
1.86,79.64672871637315
1.865,79.70505331056768
1.87,79.80143474680511
1.875,80.0120865676602
1.88,80.15114176234798
1.885,80.2480285204085
1.89,80.4670805591261
1.895,80.63121961676208
1.9,80.73685605666157
1.905,80.85025329689876
1.91,80.89797281631695
1.915,81.00144120753613
1.92,81.21176632001261
1.925,81.33218067613552
1.93,81.43626511673855
1.935,81.63553627199256
1.94,81.80096481021285
1.945,81.90355269077133
1.95,82.09673797382447
1.955,82.23904752086402
1.96,82.34134762868445
1.965,82.44747766643218
1.97,82.52902828119679
1.975,82.62446406014891
1.98,82.75504080504189
1.985,82.79729177571193
1.99,82.90395889793513
1.995,83.08114456695102
2.0,83.11016339578451
2.005,83.16825908749708
2.01,83.31751042244484
2.015,83.39156503948777
2.02,83.4985199337897
2.025,83.55909900768164
2.03,83.65869936192159
2.035,83.77473963406602
2.04,83.93569331705099
2.045,83.99082773894571
2.05,84.09942727665066
2.055,84.13773570032384
2.06,84.1541032621074
2.065,84.30414986368653
2.07,84.43859666265527
2.075,84.55387109538175
2.08,84.68675768665976
2.085,84.7283741431154
2.09,84.83147166676369
2.095,84.8644648599802
2.1,84.91588848121157
