time,recovered STD
0.0,0.0
0.005,0.271293199325011
0.01,0.36482872693909363
0.015,0.4242640687119279
0.02,0.4377213725647864
0.025,0.4999999999999998
0.03,0.5388877434122993
0.035,0.5494542747126456
0.04,0.555337735076593
0.045,0.5744562646538028
0.05,0.5741080037762926
0.055,0.5874521257089803
0.06,0.6446704584514477
0.065,0.676461381011511
0.07,0.7691553809211771
0.075,0.7664854858377942
0.08,0.7860661549767927
0.085,0.8599999999999997
0.09,0.8822698000045107
0.095,0.9236341266973632
0.1,0.9442457307290303
0.105,0.9907572861200673
0.11,1.012472221841172
0.115,1.0533755265810951
0.12,1.1549458861782231
0.125,1.1884443613396465
0.13,1.2031624994156023
0.135,1.2336531116971257
0.14,1.216388095962798
0.145,1.2590075456485559
0.15,1.2409673645990855
0.155,1.2794920867281674
0.16,1.2944496900227522
0.165,1.35218341951083
0.17,1.3807244475274567
0.175,1.424780684877501
0.18,1.479053751558746
0.185,1.5000000000000004
0.19,1.5329383549249465
0.195,1.5538339679644029
0.2,1.6408534364774934
0.205,1.676424767175671
0.21,1.7463103962354454
0.215,1.8773385416594415
0.22,1.9457389341841314
0.225,1.9528440797974636
0.23,1.984842563026096
0.235,2.023338824814074
0.24,2.04215572373901
0.245,2.1094074997496333
0.25,2.1217681305929728
0.255,2.140467238712145
0.26,2.16043977004683
0.265,2.1812611031236036
0.27,2.2284299405635353
0.275,2.2515772249691985
0.28,2.2973027662891967
0.285,2.289104628451919
0.29,2.279561361314936
0.295,2.305124725475826
0.3,2.331072714438569
0.305,2.4003958006962094
0.31,2.396580897862619
0.315,2.481451188317029
0.32,2.4779830507894927
0.325,2.5313040117694277
0.33,2.5868127106537893
0.335,2.583718250893469
0.34,2.69909244006203
0.345,2.7390509305231987
0.35,2.849491182649985
0.355,2.885758132623038
0.36,2.8822734082664674
0.365,2.8673855687716636
0.37,2.961823762481488
0.375,2.9927245112104797
0.38,3.007906248539005
0.385,3.0866648668101306
0.39,3.1240998703626612
0.395,3.149142740493038
0.4,3.2167530212933664
0.405,3.226065715387706
0.41,3.2999848484500656
0.415,3.4449238017697867
0.42,3.4866029312211615
0.425,3.5383612025908264
0.43,3.495082259403918
0.435,3.516745654721137
0.44,3.5071355833500366
0.445,3.4709508783617204
0.45,3.5284415823419835
0.455,3.565333084018939
0.46,3.60826828270848
0.465,3.6469165057620936
0.47,3.6110940170535573
0.475,3.648342089223541
0.48,3.7360273018274364
0.485,3.7871361211342798
0.49,3.7540777828915575
0.495,3.8036166999317906
0.5,3.8275318418009268
0.505,3.8511816368486174
0.51,3.8763900732511427
0.515,3.8969090315274237
0.52,3.973663297261105
0.525,3.895779767902698
0.53,3.9433361510274523
0.535,3.9605428920793164
0.54,3.8973195917194148
0.545,3.9233149249072525
0.55,3.9583329824561253
0.555,4.014025410980853
0.56,4.003136270475937
0.565,4.108527716834828
0.57,4.108965806623365
0.575,4.128001937984041
0.58,4.1811362092139515
0.585,4.278036932986905
0.59,4.262675216340087
0.595,4.334743360338647
0.6,4.311136741046379
0.605,4.285078762403323
0.61,4.303242963161621
0.615,4.310672801315359
0.62,4.394041419923121
0.625,4.429661386607332
0.63,4.504442251822084
0.635,4.645255644203019
0.64,4.622769732530489
0.645,4.571859577896067
0.65,4.607070652811829
0.655,4.602814356456276
0.66,4.613837881850641
0.665,4.679145221084723
0.67,4.646977512319164
0.675,4.6132309718894415
0.68,4.6019452408736905
0.685,4.585313511636909
0.69,4.573226432181114
0.695,4.633184649892556
0.7,4.70288209505618
0.705,4.7222452287021275
0.71,4.742362280551752
0.715,4.768846820773342
0.72,4.858024289770483
0.725,4.855965403501142
0.73,4.940637610673343
0.735,4.92214384186403
0.74,5.054690890648014
0.745,4.996748943062879
0.75,5.031292080569364
0.755,5.062173446258041
0.76,5.053948951067868
0.765,5.087238936790763
0.77,5.086246159988722
0.775,5.049465318229248
0.78,5.137032217146395
0.785,5.233125261256412
0.79,5.242241886826666
0.795,5.2333927809787015
0.8,5.339700366125423
0.805,5.41106274219769
0.81,5.442572920963027
0.815,5.419077412253861
0.82,5.46511665017317
0.825,5.381486783408468
0.83,5.3866130360366515
0.835,5.419695563405752
0.84,5.478905000088978
0.845,5.490673911279015
0.85,5.430138119790325
0.855,5.542706919908359
0.86,5.4953070887803905
0.865,5.527847682416728
0.87,5.466589430348689
0.875,5.537652932425433
0.88,5.636701162914348
0.885,5.682349866032539
0.89,5.593022438717727
0.895,5.655298400615129
0.9,5.810154903270652
0.905,5.815591113549853
0.91,5.779134883354082
0.915,5.813570331560461
0.92,5.725766324257391
0.925,5.692310602909862
0.93,5.648459967106079
0.935,5.587584451263355
0.94,5.612940405883533
0.945,5.705532402852515
0.95,5.661969621960188
0.955,5.675385449465084
0.96,5.671895626684256
0.965,5.616929766340328
0.97,5.653989741766427
0.975,5.631083377113147
0.98,5.692196412633704
0.985,5.695577231501652
0.99,5.6939529327173055
0.995,5.729528776435283
1.0,5.673411672001248
1.005,5.658303632715372
1.01,5.640248221488126
1.015,5.722621776773301
1.02,5.677358540730009
1.025,5.7043842787806645
1.03,5.760303811432172
1.035,5.727687142293998
1.04,5.698587544295517
1.045,5.626402047490027
1.05,5.563047725842374
1.055,5.579775981166269
1.06,5.542165641696394
1.065,5.508275592233925
