Number of Sentinels, EDP Mean
0,0.0409
1,0.03868
2,0.03547
3,0.03345
4,0.03252
5,0.03116
6,0.03057
7,0.02973
8,0.02961
9,0.03067
10,0.03009
11,0.02952
12,0.02911
13,0.02893
14,0.02882
15,0.02844
16,0.02862
17,0.02845
18,0.02845
19,0.02781
20,0.02881
21,0.02884
22,0.02841
23,0.02836
24,0.02818
25,0.02776
26,0.02733
27,0.02692
28,0.02671
29,0.02748
30,0.02748
31,0.02787
32,0.02773
33,0.02704
34,0.02705
35,0.02705
36,0.02705
37,0.02707
38,0.02708
39,0.02912
40,0.02933
41,0.02939
42,0.02986
43,0.02935
44,0.02915
45,0.02974
46,0.03156
47,0.03137
48,0.03155
49,0.03165
