Number of Sentinels, EDP STD
0,0.0353255
1,0.0332535
2,0.0301463
3,0.029772
4,0.0272995
5,0.0251262
6,0.0248011
7,0.0239856
8,0.0240407
9,0.0256216
10,0.0255395
11,0.0254862
12,0.0251372
13,0.0248284
14,0.0239188
15,0.0239702
16,0.0248079
17,0.0248744
18,0.0254381
19,0.0244262
20,0.026457
21,0.0257571
22,0.0251874
23,0.0252393
24,0.0249951
25,0.0245781
26,0.0234753
27,0.0234636
28,0.0235438
29,0.0233841
30,0.0233841
31,0.0253595
32,0.0253811
33,0.0242645
34,0.0242555
35,0.0242555
36,0.0242555
37,0.0244562
38,0.0244572
39,0.0297363
40,0.0298237
41,0.0298454
42,0.0300565
43,0.0282644
44,0.0281803
45,0.0312286
46,0.0363516
47,0.0362722
48,0.0362899
49,0.0362381
