Time,Healthy,Undetectable,Detectable
0,999,1,0
1,998,2,0
2,996,4,0
3,995,5,0
4,992,8,0
5,990,10,0
6,987,13,0
7,982,18,0
8,979,21,0
9,975,25,0
10,975,25,0
11,974,26,0
12,972,28,0
13,972,28,0
14,970,30,0
15,967,33,0
16,965,35,0
17,962,38,0
18,957,43,0
19,952,48,0
20,950,50,0
21,949,51,0
22,947,53,0
23,941,59,0
24,939,61,0
25,936,64,0
26,932,68,0
27,928,72,0
28,923,76,1
29,919,80,1
30,915,84,1
31,911,88,1
32,904,95,1
33,897,102,1
34,893,106,1
35,888,111,1
36,885,113,2
37,877,121,2
38,870,127,3
39,869,128,3
40,866,131,3
41,858,139,3
42,852,143,5
43,842,153,5
44,831,164,5
45,821,174,5
46,813,182,5
47,805,190,5
48,793,202,5
49,784,211,5
50,775,217,8
51,767,224,9
52,755,236,9
53,743,247,10
54,733,257,10
55,720,269,11
56,712,274,14
57,702,284,14
58,694,292,14
59,685,298,17
60,677,306,17
