Time,Healthy,Undetectable,Detectable
0,997,3,0
1,997,3,0
2,995,5,0
3,995,5,0
4,993,7,0
5,989,11,0
6,989,11,0
7,986,14,0
8,984,16,0
9,983,17,0
10,983,17,0
11,980,20,0
12,977,23,0
13,975,25,0
14,974,26,0
15,972,28,0
16,968,31,1
17,964,35,1
18,962,37,1
19,960,39,1
20,958,41,1
21,954,45,1
22,952,47,1
23,947,52,1
24,944,55,1
25,942,57,1
26,937,62,1
27,933,66,1
28,929,70,1
29,926,73,1
30,923,75,2
31,916,82,2
32,912,85,3
33,905,92,3
34,900,97,3
35,898,99,3
36,895,102,3
37,890,107,3
38,886,111,3
39,883,113,4
40,874,122,4
41,864,132,4
42,858,138,4
43,853,143,4
44,842,154,4
45,834,162,4
46,824,172,4
47,815,181,4
48,805,191,4
49,797,199,4
50,795,201,4
