Time,Healthy,Undetectable,Detectable
0,997,3,0
1,993,7,0
2,992,8,0
3,991,9,0
4,987,13,0
5,986,14,0
6,985,15,0
7,981,19,0
8,978,22,0
9,976,24,0
10,974,26,0
11,972,28,0
12,968,31,1
13,967,32,1
14,964,35,1
15,962,37,1
16,960,38,2
17,957,41,2
18,955,43,2
19,948,50,2
20,946,52,2
21,938,60,2
22,933,64,3
23,927,70,3
24,925,72,3
25,919,77,4
26,915,81,4
27,910,86,4
28,904,92,4
29,895,101,4
30,892,104,4
31,885,111,4
32,879,117,4
33,872,124,4
34,867,129,4
35,858,137,5
36,853,141,6
37,848,146,6
38,842,152,6
39,835,159,6
40,830,163,7
