Time,Healthy,Undetectable,Detectable
0,999,1,0
1,998,2,0
2,997,3,0
3,997,3,0
4,996,4,0
5,996,4,0
6,995,5,0
7,993,7,0
8,992,8,0
9,992,8,0
10,992,8,0
11,992,8,0
12,992,8,0
13,991,9,0
14,989,11,0
15,987,13,0
16,986,14,0
17,985,15,0
18,983,17,0
19,982,18,0
20,981,19,0
21,978,22,0
22,975,25,0
23,972,28,0
24,970,30,0
25,968,32,0
26,967,33,0
27,963,37,0
28,960,40,0
29,959,41,0
30,957,43,0
31,953,47,0
32,950,50,0
33,946,54,0
34,943,57,0
35,942,58,0
36,941,59,0
37,940,60,0
38,934,66,0
39,931,69,0
40,925,75,0
41,922,78,0
42,915,85,0
43,913,87,0
44,909,91,0
45,906,94,0
46,904,96,0
47,902,98,0
48,894,106,0
49,890,110,0
50,884,116,0
51,872,128,0
52,863,137,0
53,856,142,2
54,845,153,2
55,837,161,2
56,827,171,2
57,819,178,3
58,809,188,3
59,800,197,3
60,793,204,3
