Time,Healthy,Undetectable,Detectable
0,999,1,0
1,999,1,0
2,999,1,0
3,999,1,0
4,996,4,0
5,996,4,0
6,994,6,0
7,992,8,0
8,990,10,0
9,988,12,0
10,988,12,0
11,986,14,0
12,984,16,0
13,981,19,0
14,981,19,0
15,979,21,0
16,975,25,0
17,972,28,0
18,968,32,0
19,964,36,0
20,963,37,0
21,960,40,0
22,954,46,0
23,952,48,0
24,950,50,0
25,947,53,0
26,943,57,0
27,935,65,0
28,929,70,1
29,917,82,1
30,912,86,2
31,901,97,2
32,896,102,2
33,894,104,2
34,888,110,2
35,880,118,2
36,875,123,2
37,867,131,2
38,861,137,2
39,858,140,2
40,851,146,3
41,845,151,4
42,831,164,5
43,824,168,8
44,813,179,8
45,809,183,8
46,800,192,8
47,788,201,11
48,781,208,11
49,766,222,12
50,757,231,12
51,748,239,13
52,736,251,13
53,724,263,13
54,718,269,13
55,710,277,13
56,699,288,13
57,684,302,14
58,671,315,14
59,662,324,14
60,647,339,14
