time,undetectable sentinels STD
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.09949874371066196
7.0,0.09949874371066196
8.0,0.09949874371066196
9.0,0.09949874371066196
10.0,0.09949874371066196
11.0,0.09949874371066196
12.0,0.09949874371066196
13.0,0.09949874371066196
14.0,0.09949874371066196
15.0,0.09949874371066196
16.0,0.09949874371066196
17.0,0.09949874371066196
18.0,0.09949874371066196
19.0,0.09949874371066196
20.0,0.09949874371066196
21.0,0.09949874371066196
22.0,0.09949874371066196
23.0,0.09949874371066196
24.0,0.09949874371066196
25.0,0.09949874371066196
26.0,0.19899748742132392
27.0,0.09949874371066196
28.0,0.09949874371066196
29.0,0.09949874371066196
30.0,0.09949874371066196
31.0,0.09949874371066196
32.0,0.09949874371066196
33.0,0.09949874371066196
34.0,0.09949874371066196
35.0,0.09949874371066196
36.0,0.09949874371066196
37.0,0.09949874371066196
38.0,0.09949874371066196
39.0,0.09949874371066196
40.0,0.09949874371066196
41.0,0.09949874371066196
42.0,0.13999999999999993
43.0,0.13999999999999993
44.0,0.1705872210923198
45.0,0.1705872210923198
46.0,0.1705872210923198
47.0,0.19595917942265417
48.0,0.19595917942265417
49.0,0.19595917942265417
50.0,0.19595917942265417
51.0,0.19595917942265417
52.0,0.19595917942265417
53.0,0.19595917942265417
54.0,0.19595917942265417
55.0,0.19595917942265417
56.0,0.19595917942265417
57.0,0.19595917942265417
58.0,0.19595917942265417
59.0,0.19595917942265417
60.0,0.21794494717703364
61.0,0.21794494717703364
62.0,0.21794494717703364
63.0,0.21794494717703364
64.0,0.19595917942265417
65.0,0.19595917942265417
66.0,0.19595917942265417
67.0,0.21794494717703372
68.0,0.2374868417407583
69.0,0.2374868417407583
70.0,0.2374868417407583
71.0,0.29171904291629647
72.0,0.29171904291629647
73.0,0.29171904291629647
74.0,0.29171904291629647
75.0,0.2764054992217047
76.0,0.2764054992217047
77.0,0.2764054992217047
78.0,0.2764054992217047
79.0,0.3059411708155671
80.0,0.3059411708155671
81.0,0.3059411708155671
82.0,0.3059411708155671
83.0,0.3059411708155671
84.0,0.3059411708155671
85.0,0.3059411708155671
86.0,0.3059411708155671
87.0,0.3059411708155671
88.0,0.3059411708155671
89.0,0.3059411708155671
90.0,0.3059411708155671
91.0,0.3059411708155671
92.0,0.3059411708155671
93.0,0.3059411708155671
94.0,0.3059411708155671
95.0,0.3059411708155671
96.0,0.27640549922170476
97.0,0.29171904291629647
98.0,0.29171904291629647
99.0,0.29171904291629647
100.0,0.29171904291629647
101.0,0.2764054992217049
102.0,0.2374868417407582
103.0,0.2374868417407582
104.0,0.2374868417407582
105.0,0.2551470164434615
106.0,0.2374868417407582
107.0,0.2551470164434615
108.0,0.2551470164434615
109.0,0.2551470164434615
110.0,0.23748684174075824
111.0,0.2551470164434615
112.0,0.25514701644346144
113.0,0.25514701644346144
114.0,0.271293199325011
115.0,0.271293199325011
116.0,0.28618176042508375
117.0,0.28618176042508375
118.0,0.28618176042508375
119.0,0.28618176042508375
120.0,0.29999999999999977
121.0,0.29999999999999977
122.0,0.29999999999999977
123.0,0.2861817604250837
124.0,0.2861817604250837
125.0,0.2861817604250837
126.0,0.2861817604250837
127.0,0.27129319932501095
128.0,0.27129319932501095
129.0,0.27129319932501095
130.0,0.2861817604250837
131.0,0.2861817604250837
132.0,0.2861817604250837
133.0,0.2861817604250837
134.0,0.2861817604250837
135.0,0.29999999999999977
136.0,0.29999999999999977
137.0,0.3249615361854386
138.0,0.3249615361854386
139.0,0.3249615361854386
140.0,0.3249615361854386
141.0,0.36482872693909385
142.0,0.4092676385936229
143.0,0.4624932431938871
144.0,0.4624932431938871
145.0,0.46904157598234264
