time,healthy sentinels upper
0.0,100.0
1.0,100.2217190429163
2.0,100.23405728739343
3.0,100.2169291529576
4.0,100.17382621436042
5.0,100.16321745803532
6.0,100.13023433210036
7.0,100.11541354602855
8.0,100.10965269401288
9.0,100.029422863406
10.0,99.98473598154924
11.0,99.94261497731763
12.0,99.9108616422831
13.0,99.88994444272966
14.0,99.86541882410074
15.0,99.80889409314211
16.0,99.76365674663566
17.0,99.72185026690389
18.0,99.69345966260292
19.0,99.56383985279084
20.0,99.51660528640662
21.0,99.4531209415516
22.0,99.37304501134386
23.0,99.33137720602502
24.0,99.24899959967968
25.0,99.23041346956501
26.0,99.17699677880803
27.0,99.1525839046334
28.0,99.03527000944072
29.0,98.96254948280601
30.0,98.9222740788157
31.0,98.90161206491828
32.0,98.8980733814102
33.0,98.87009316500631
34.0,98.77691063451262
35.0,98.74030671960831
36.0,98.72475517509223
37.0,98.61224400133473
38.0,98.58053246049876
39.0,98.48379695413429
40.0,98.38421451960247
41.0,98.28340579561257
42.0,98.25442402933815
43.0,98.20135085815735
44.0,98.10223906737085
45.0,98.03427671538826
46.0,97.9792144981641
47.0,97.99980197049118
48.0,97.98711706873985
49.0,97.88326666559996
50.0,97.80844439715305
51.0,97.74463600656534
52.0,97.6544903453842
53.0,97.59414285231628
54.0,97.53189415802863
55.0,97.40673182861617
56.0,97.26027521198586
57.0,97.15624114729103
58.0,97.1293496809608
59.0,97.0663139314506
60.0,96.99631280802969
61.0,96.98165158093053
62.0,96.93561292629454
63.0,96.89953970462933
64.0,96.7602091958655
65.0,96.72016259625254
66.0,96.66667115297933
67.0,96.53717581128187
68.0,96.47791913399934
69.0,96.43968501984007
70.0,96.37396177818626
71.0,96.29267170423009
72.0,96.22578318698277
73.0,96.12819642139483
74.0,96.05873617378039
75.0,95.95482048472404
76.0,95.8248893783651
77.0,95.7340497542965
78.0,95.63350997924665
79.0,95.40087705802968
80.0,95.34611809151492
81.0,95.32328769589732
82.0,95.23083595101409
83.0,95.07780248703882
84.0,94.99899660083982
85.0,94.92409987036265
86.0,94.83824231797985
87.0,94.77117533206811
88.0,94.65117166050183
89.0,94.58413316619402
90.0,94.52365649847849
91.0,94.38481354113136
92.0,94.21102118249792
93.0,94.19751387857993
94.0,94.09366269801828
95.0,94.00689363710052
96.0,93.93662694607245
97.0,93.84678423698116
98.0,93.7937905726646
99.0,93.6748826438446
100.0,93.63977400408557
101.0,93.57160131417729
102.0,93.49873604428791
103.0,93.388002205071
104.0,93.329227561428
105.0,93.19729630946723
106.0,93.1272344380512
107.0,93.05887122386673
108.0,92.99150888756671
109.0,92.94251865667124
110.0,92.89358446678635
111.0,92.81152534273456
112.0,92.70821929660296
113.0,92.69874980462644
114.0,92.6090828088895
115.0,92.5683952020676
116.0,92.43347070129198
117.0,92.3405499621927
118.0,92.21073743202425
119.0,92.14598566482877
120.0,92.03400532171888
121.0,91.84592794908228
122.0,91.76395495902867
123.0,91.58564832082992
124.0,91.48494946461905
125.0,91.4284749023732
126.0,91.35242320001191
127.0,91.20610804353679
128.0,91.14060180993341
129.0,91.04957074428532
130.0,90.89318907538262
131.0,90.86059356708655
132.0,90.67983907748321
133.0,90.57752816281997
134.0,90.50901609165791
135.0,90.3633944353406
136.0,90.29418211071678
137.0,90.20948744160408
138.0,90.02524799754815
139.0,89.96672955930063
140.0,89.85645599103144
141.0,89.77697884481223
142.0,89.72520949230312
143.0,89.61626241951814
144.0,89.50091713186455
145.0,89.42241620420812
146.0,89.31931258619315
147.0,89.22726291300603
148.0,89.1312116301258
149.0,89.09147356207586
150.0,88.97888875437181
151.0,88.85007641857644
152.0,88.73788745012209
153.0,88.54750468666074
154.0,88.38395977731943
155.0,88.18934963507735
156.0,88.08059570692906
157.0,87.92443527901274
158.0,87.83783108376868
159.0,87.68797651000925
160.0,87.5717118770459
161.0,87.58150492115591
162.0,87.51324739861529
163.0,87.38590645335468
164.0,87.32739810021432
165.0,87.26723476581637
166.0,87.0969990994596
167.0,86.99698512080872
168.0,86.97490759155451
169.0,86.88264344057872
170.0,86.80514531811652
171.0,86.71065940602202
172.0,86.62516309380725
173.0,86.53014506566305
174.0,86.41056727674972
175.0,86.3227717320747
176.0,86.28960950928735
177.0,86.26614010388698
178.0,86.14423559884204
179.0,85.97047930171709
180.0,85.79932580013619
181.0,85.71340970018073
182.0,85.6226696936221
183.0,85.41690208982766
184.0,85.2836197839741
185.0,85.1084837759948
186.0,84.99298605650436
187.0,84.97106668480366
188.0,84.79517474086353
189.0,84.69794785477819
190.0,84.59683826279277
191.0,84.45563830942999
192.0,84.34687293334453
193.0,84.26565565988047
194.0,84.1377175130105
195.0,84.01588732276723
196.0,83.86528497857157
197.0,83.79814783050632
198.0,83.64762424730121
199.0,83.55223299758472
200.0,83.50944033823657
201.0,83.39311491703052
202.0,83.19897049081902
203.0,83.11898701416756
204.0,83.04426303552647
205.0,82.89485944518381
206.0,82.7658791760376
207.0,82.62679722405746
208.0,82.54444466832337
209.0,82.41664171651095
210.0,82.28601842482483
211.0,82.19323912527685
212.0,82.10755322699838
213.0,82.00408051242587
214.0,81.95657190229755
215.0,81.77875205998645
216.0,81.69745588218332
217.0,81.54036393999546
218.0,81.40235246244987
219.0,81.31774482910537
220.0,81.18809451457977
221.0,81.04374662890949
222.0,80.84627887914601
223.0,80.77029761151593
224.0,80.61238006273902
225.0,80.48047617119566
226.0,80.36664033101728
227.0,80.23443805633752
228.0,80.03749099193887
229.0,79.90015228230203
230.0,79.80042015323288
231.0,79.66656203196435
232.0,79.51200806451067
233.0,79.43553166950188
234.0,79.24432274610355
235.0,79.18115180912652
236.0,79.03059361602173
237.0,78.91747455333216
238.0,78.8224829333644
239.0,78.74445380887678
240.0,78.641603093396
241.0,78.51735041222555
242.0,78.36531326986407
243.0,78.19664381052567
244.0,78.12145645488864
245.0,77.97471902551709
246.0,77.92586039542064
247.0,77.7564158920334
248.0,77.6662428015719
249.0,77.530670399884
250.0,77.41038024720163
251.0,77.27586571375018
252.0,77.13445632210302
253.0,76.99450322410492
254.0,76.8733512737451
255.0,76.69047965609188
256.0,76.5400325732035
257.0,76.37493254255516
258.0,76.31012214862213
259.0,76.28169059113539
260.0,76.09200129617615
261.0,75.8894083995145
262.0,75.72701724699219
263.0,75.59936375164666
264.0,75.50748745482478
265.0,75.3651025735703
266.0,75.22778005383324
267.0,75.17817723276701
268.0,75.05416134938162
269.0,74.88731439271761
270.0,74.73789356965298
271.0,74.62246827403307
272.0,74.5516094408787
273.0,74.48224072481858
274.0,74.26479443678494
275.0,74.11471478510248
276.0,74.002444672694
277.0,73.91326749792958
278.0,73.73853565854392
279.0,73.6817571471566
280.0,73.54627817066977
281.0,73.4684180167692
282.0,73.31123053295578
283.0,73.19696523143806
284.0,72.89413523546527
285.0,72.82101713344598
286.0,72.70818792506878
287.0,72.5856917008223
288.0,72.43583716388163
289.0,72.30052792867168
290.0,72.16915759585436
291.0,72.01922355567812
292.0,71.97767292640435
293.0,71.75312812227105
294.0,71.70780394278373
295.0,71.58950074890541
296.0,71.46363953562062
297.0,71.33671696485277
298.0,71.22900761655194
299.0,71.09245338314702
300.0,70.87674802963704
301.0,70.77011485350755
302.0,70.64713894281839
303.0,70.53413954057305
304.0,70.47304712307415
305.0,70.38713894281838
306.0,70.36115491384301
307.0,70.22723845490685
308.0,70.12550299525213
309.0,70.01218807213208
310.0,69.95859660491006
311.0,69.83616410663141
312.0,69.80239724073368
313.0,69.6908685580735
314.0,69.58356530484727
315.0,69.48361298594577
316.0,69.40880770075307
317.0,69.22659072506137
318.0,69.18332290161307
319.0,69.12930111754778
320.0,69.04334213473598
321.0,68.95130889032947
322.0,68.77949782982964
323.0,68.6584148045501
324.0,68.53025143224008
325.0,68.39162821728182
326.0,68.26676903315492
327.0,68.14144891683215
328.0,68.06259951732213
329.0,67.99709341536793
330.0,67.74071835373333
331.0,67.60549565640409
332.0,67.47978291988974
333.0,67.27737559128855
334.0,67.09333985648742
335.0,66.96817424242003
336.0,66.81274871294553
337.0,66.74534198120328
338.0,66.61640371664818
339.0,66.53447144993672
340.0,66.42277721396802
341.0,66.35408442071896
342.0,66.25262612904821
343.0,66.12906515406254
344.0,65.97022627363505
345.0,65.8901965037399
346.0,65.6600294117011
347.0,65.40569492343079
348.0,65.24017803919155
349.0,65.13373042165833
350.0,64.99718645684646
351.0,64.84682477404253
352.0,64.70572659838518
353.0,64.57240860252067
354.0,64.45725379034194
355.0,64.30216221515425
356.0,64.16024460001229
357.0,64.0729721465863
358.0,63.948471855435734
359.0,63.80924347461594
360.0,63.717694141427685
361.0,63.60693736457235
362.0,63.47059623882897
363.0,63.34358074342955
364.0,63.14761078132239
365.0,63.05053954740206
366.0,62.951258878793105
367.0,62.74646251694502
368.0,62.60947328445677
369.0,62.48577793464388
370.0,62.34783493531304
371.0,62.284567820074436
372.0,62.066869676073054
373.0,61.88966715156893
374.0,61.86480655582751
375.0,61.80294054067798
376.0,61.70661443009665
377.0,61.61376358446141
378.0,61.55484567728283
