time,healthy sentinels lower
0.0,100.0
1.0,99.63828095708371
2.0,99.46594271260656
3.0,99.2430708470424
4.0,99.04617378563958
5.0,98.9167825419647
6.0,98.84976566789963
7.0,98.72458645397145
8.0,98.67034730598712
9.0,98.470577136594
10.0,98.37526401845078
11.0,98.25738502268236
12.0,98.16913835771692
13.0,98.09005555727033
14.0,98.01458117589925
15.0,97.91110590685788
16.0,97.73634325336434
17.0,97.55814973309612
18.0,97.40654033739708
19.0,97.21616014720917
20.0,97.16339471359339
21.0,97.0468790584484
22.0,96.90695498865614
23.0,96.78862279397498
24.0,96.75100040032032
25.0,96.569586530435
26.0,96.38300322119197
27.0,96.2474160953666
28.0,96.16472999055927
29.0,96.057450517194
30.0,96.0177259211843
31.0,95.7983879350817
32.0,95.68192661858981
33.0,95.6499068349937
34.0,95.54308936548738
35.0,95.47969328039169
36.0,95.35524482490779
37.0,95.26775599866527
38.0,95.19946753950124
39.0,95.0562030458657
40.0,94.91578548039755
41.0,94.75659420438743
42.0,94.56557597066184
43.0,94.49864914184263
44.0,94.43776093262915
45.0,94.40572328461174
46.0,94.16078550183589
47.0,93.96019802950883
48.0,93.79288293126015
49.0,93.71673333440003
50.0,93.63155560284694
51.0,93.55536399343467
52.0,93.48550965461578
53.0,93.36585714768373
54.0,93.14810584197137
55.0,92.97326817138382
56.0,92.89972478801414
57.0,92.74375885270898
58.0,92.67065031903921
59.0,92.5936860685494
60.0,92.44368719197031
61.0,92.37834841906948
62.0,92.24438707370547
63.0,92.12046029537068
64.0,91.97979080413451
65.0,91.79983740374747
66.0,91.71332884702066
67.0,91.58282418871813
68.0,91.48208086600067
69.0,91.36031498015994
70.0,91.24603822181375
71.0,91.08732829576991
72.0,90.89421681301724
73.0,90.75180357860516
74.0,90.52126382621962
75.0,90.24517951527595
76.0,90.1751106216349
77.0,90.02595024570348
78.0,89.84649002075334
79.0,89.69912294197032
80.0,89.55388190848508
81.0,89.23671230410268
82.0,89.12916404898593
83.0,88.98219751296118
84.0,88.82100339916018
85.0,88.67590012963734
86.0,88.58175768202014
87.0,88.38882466793189
88.0,88.24882833949817
89.0,88.09586683380599
90.0,87.9563435015215
91.0,87.81518645886862
92.0,87.6489788175021
93.0,87.44248612142006
94.0,87.34633730198172
95.0,87.15310636289948
96.0,86.94337305392754
97.0,86.85321576301882
98.0,86.74620942733539
99.0,86.6451173561554
100.0,86.56022599591442
101.0,86.38839868582272
102.0,86.22126395571209
103.0,86.131997794929
104.0,85.950772438572
105.0,85.80270369053277
106.0,85.57276556194878
107.0,85.44112877613327
108.0,85.3684911124333
109.0,85.23748134332877
110.0,85.10641553321365
111.0,85.00847465726544
112.0,84.79178070339704
113.0,84.70125019537356
114.0,84.6509171911105
115.0,84.53160479793239
116.0,84.50652929870802
117.0,84.33945003780731
118.0,84.20926256797574
119.0,84.05401433517122
120.0,83.76599467828113
121.0,83.5740720509177
122.0,83.41604504097134
123.0,83.29435167917008
124.0,83.07505053538095
125.0,82.97152509762681
126.0,82.80757679998808
127.0,82.65389195646323
128.0,82.49939819006657
129.0,82.43042925571467
130.0,82.26681092461737
131.0,82.09940643291345
132.0,81.98016092251679
133.0,81.92247183718003
134.0,81.87098390834208
135.0,81.81660556465941
136.0,81.70581788928322
137.0,81.4305125583959
138.0,81.25475200245185
139.0,81.13327044069936
140.0,80.94354400896857
141.0,80.84302115518777
142.0,80.77479050769688
143.0,80.68373758048187
144.0,80.55908286813545
145.0,80.39758379579187
146.0,80.30068741380686
147.0,80.13273708699398
148.0,79.96878836987419
149.0,79.92852643792415
150.0,79.80111124562819
151.0,79.68992358142356
152.0,79.4621125498779
153.0,79.21249531333925
154.0,79.03604022268055
155.0,78.81065036492265
156.0,78.67940429307093
157.0,78.49556472098725
158.0,78.34216891623133
159.0,78.15202348999075
160.0,78.0482881229541
161.0,77.8784950788441
162.0,77.6867526013847
163.0,77.59409354664531
164.0,77.45260189978568
165.0,77.25276523418364
166.0,77.1030009005404
167.0,76.98301487919127
168.0,76.96509240844549
169.0,76.81735655942127
170.0,76.65485468188349
171.0,76.54934059397797
172.0,76.35483690619274
173.0,76.18985493433695
174.0,76.00943272325027
175.0,75.85722826792531
176.0,75.79039049071267
177.0,75.67385989611302
178.0,75.51576440115795
179.0,75.32952069828292
180.0,75.1206741998638
181.0,74.94659029981926
182.0,74.7573303063779
183.0,74.70309791017235
184.0,74.6163802160259
185.0,74.4915162240052
186.0,74.30701394349565
187.0,74.18893331519634
188.0,74.06482525913648
189.0,73.88205214522182
190.0,73.78316173720722
191.0,73.68436169057
192.0,73.57312706665546
193.0,73.47434434011954
194.0,73.3622824869895
195.0,73.22411267723278
196.0,73.07471502142843
197.0,73.00185216949369
198.0,72.83237575269878
199.0,72.66776700241527
200.0,72.61055966176343
201.0,72.50688508296949
202.0,72.32102950918099
203.0,72.26101298583244
204.0,72.15573696447352
205.0,72.04514055481619
206.0,71.87412082396239
207.0,71.73320277594256
208.0,71.51555533167664
209.0,71.28335828348904
210.0,71.21398157517517
211.0,71.10676087472316
212.0,70.95244677300163
213.0,70.77591948757413
214.0,70.58342809770244
215.0,70.40124794001356
216.0,70.22254411781667
217.0,69.99963606000453
218.0,69.83764753755014
219.0,69.70225517089465
220.0,69.59190548542023
221.0,69.45625337109051
222.0,69.21372112085399
223.0,69.00970238848407
224.0,68.88761993726098
225.0,68.71952382880433
226.0,68.55335966898271
227.0,68.44556194366248
228.0,68.24250900806113
229.0,68.07984771769796
230.0,67.89957984676711
231.0,67.77343796803565
232.0,67.60799193548934
233.0,67.44446833049811
234.0,67.39567725389644
235.0,67.19884819087348
236.0,67.06940638397826
237.0,66.88252544666786
238.0,66.7375170666356
239.0,66.61554619112323
240.0,66.538396906604
241.0,66.44264958777445
242.0,66.31468673013593
243.0,66.04335618947434
244.0,65.89854354511137
245.0,65.7852809744829
246.0,65.63413960457936
247.0,65.4835841079666
248.0,65.29375719842811
249.0,65.149329600116
250.0,65.04961975279838
251.0,64.94413428624982
252.0,64.76554367789699
253.0,64.66549677589508
254.0,64.48664872625491
255.0,64.38952034390813
256.0,64.2599674267965
257.0,64.14506745744485
258.0,64.02987785137788
259.0,63.8583094088646
260.0,63.74799870382386
261.0,63.550591600485504
262.0,63.4929827530078
263.0,63.34063624835334
264.0,63.05251254517522
265.0,62.93489742642972
266.0,62.75221994616674
267.0,62.561822767233
268.0,62.385838650618375
269.0,62.19268560728241
270.0,61.92210643034702
271.0,61.81753172596693
272.0,61.68839055912131
273.0,61.537759275181436
274.0,61.49520556321505
275.0,61.40528521489753
276.0,61.237555327306005
277.0,61.08673250207042
278.0,60.90146434145606
279.0,60.8182428528434
280.0,60.73372182933023
281.0,60.511581983230776
282.0,60.38876946704421
283.0,60.28303476856193
284.0,60.14586476453472
285.0,60.03898286655403
286.0,59.851812074931225
287.0,59.75430829917771
288.0,59.56416283611836
289.0,59.419472071328315
290.0,59.230842404145655
291.0,59.14077644432188
292.0,59.002327073595644
293.0,58.866871877728954
294.0,58.73219605721628
295.0,58.570499251094596
296.0,58.43636046437938
297.0,58.30328303514722
298.0,58.230992383448076
299.0,58.08754661685299
300.0,57.90325197036296
301.0,57.70988514649244
