time,detectable sentinels upper
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.10949874371066196
4.0,0.10949874371066196
5.0,0.15999999999999986
6.0,0.15999999999999986
7.0,0.15999999999999986
8.0,0.15999999999999986
9.0,0.2005872210923197
10.0,0.2974868417407579
11.0,0.2974868417407579
12.0,0.37618176042508356
13.0,0.3999999999999998
14.0,0.42288975694324055
15.0,0.4663034344160044
16.0,0.5529376540877705
17.0,0.5893897898091749
18.0,0.6898888751680803
19.0,0.7715282290977798
20.0,0.8601886456724619
21.0,0.9471481612203232
22.0,1.0279805822192152
23.0,1.039354502688081
24.0,1.0505642593640079
25.0,1.129626761711328
26.0,1.1899285677838842
27.0,1.2197142273814363
28.0,1.330732975164938
29.0,1.3701973427998815
30.0,1.3786830695356258
31.0,1.4810249675906662
32.0,1.5281854421122945
33.0,1.5747326594522217
34.0,1.6430066026148893
35.0,1.7605616205518855
36.0,1.8867840302835703
37.0,1.9743132271207318
38.0,2.0144287683728064
39.0,2.0923013254417713
40.0,2.1860576192751027
41.0,2.2172186407596177
42.0,2.2512609392673655
43.0,2.3056858277396794
44.0,2.3881347822558037
45.0,2.4000000000000004
46.0,2.4324747188138716
47.0,2.5661903789690594
48.0,2.6089311356961966
49.0,2.6941179344233683
50.0,2.766567830731497
51.0,2.8130205147140575
52.0,2.9090153663372247
53.0,2.95249752475005
54.0,3.064343942809492
55.0,3.1792645070036953
56.0,3.245899705647182
57.0,3.352676013910554
58.0,3.453647763765783
59.0,3.579864858694875
60.0,3.6085952145814817
61.0,3.752202351857334
62.0,3.8700961508830165
63.0,3.9335087622113116
64.0,4.014866765595171
65.0,4.096871942267131
66.0,4.177824617301278
67.0,4.243453109886454
68.0,4.3818062462272795
69.0,4.466201638956878
70.0,4.560993863226868
71.0,4.610803379339773
72.0,4.687294383616274
73.0,4.788828179095935
74.0,4.910418945386805
75.0,4.95916181492899
76.0,5.05208212909401
77.0,5.107128339080558
78.0,5.225856341693289
79.0,5.312747902508834
80.0,5.423548472225372
81.0,5.451829686406462
82.0,5.631867503271456
83.0,5.680421005987886
84.0,5.753824316303337
85.0,5.846792233393178
86.0,5.931912332394086
87.0,6.006399754651385
88.0,6.211649576083435
89.0,6.358845833629804
90.0,6.524923886231076
91.0,6.64924298782857
92.0,6.694764355050909
93.0,6.914398374844851
94.0,7.025940669922601
95.0,7.110579327120194
96.0,7.23915951545919
97.0,7.355183431101264
98.0,7.441729326883657
99.0,7.626574328791863
100.0,7.691228852067207
101.0,7.7685620692406525
102.0,7.857933001553187
103.0,8.092378868197219
104.0,8.286503431275513
105.0,8.41279319354939
106.0,8.575477694213033
107.0,8.631752201068526
108.0,8.690724809414743
109.0,8.745830113341714
110.0,8.780666584382455
111.0,8.916517925853416
112.0,9.047879620288022
113.0,9.093628983663788
114.0,9.223235527223666
115.0,9.312796422386612
116.0,9.404541704167864
117.0,9.491739372634218
118.0,9.56192523952829
119.0,9.738200856669653
120.0,9.828052894424978
121.0,10.000877058029685
122.0,10.068851356999868
123.0,10.284441020371192
124.0,10.34560428432008
125.0,10.459379243907218
126.0,10.59531617201269
127.0,10.803331483536242
128.0,10.935964543457457
129.0,11.02295908615282
130.0,11.167652830225574
131.0,11.22828942572242
132.0,11.462680254926424
133.0,11.584336665618132
134.0,11.642514728952563
135.0,11.786805263810074
136.0,11.94819394107271
137.0,12.043454948045373
138.0,12.17297121522562
139.0,12.334666400106613
140.0,12.469743192454665
141.0,12.711388606984013
142.0,12.80824593090458
143.0,12.854041715373064
144.0,12.973689174998212
145.0,13.136568055487917
146.0,13.33856292166751
147.0,13.529367921415263
148.0,13.681898937714461
149.0,13.840333317902664
150.0,14.11160775879887
151.0,14.173710442823843
