time,healthy crops lower
0.0,97.0
1.0,96.66359450077829
2.0,96.42238773964358
3.0,96.2830708470424
4.0,96.19434507662585
5.0,96.02750502010056
6.0,95.96000000000001
7.0,95.76844757434151
8.0,95.63600995031032
9.0,95.57537887487648
10.0,95.36261240470563
11.0,95.15950507175938
12.0,95.00153960114024
13.0,94.8837100762341
14.0,94.77353785155671
15.0,94.61877259058504
16.0,94.40256470152642
17.0,94.32822444322392
18.0,94.23733628973017
19.0,94.11484940669813
20.0,94.03175902115446
21.0,93.92052641996916
22.0,93.69676425002743
23.0,93.59140478541852
24.0,93.3919689925586
25.0,93.32303522987756
26.0,93.21817714553409
27.0,93.15611944544702
28.0,93.0167517028939
29.0,92.82776933805141
30.0,92.7804192142936
31.0,92.6434516994912
32.0,92.5107023857713
33.0,92.34232578629239
34.0,92.17379959080898
35.0,92.11222642852984
36.0,91.9877474285177
37.0,91.85456723185744
38.0,91.74296142092192
39.0,91.64076156852452
40.0,91.58848776585951
41.0,91.44841771447926
42.0,91.35624112108185
43.0,91.15223677961131
44.0,90.96692709922984
45.0,90.84438230520713
46.0,90.62570235804647
47.0,90.43491794458055
48.0,90.40660340720233
49.0,90.32135411214404
50.0,90.14984979024956
51.0,89.9987869187377
52.0,89.87134892522806
53.0,89.70864409685696
54.0,89.57098019215532
55.0,89.51817880905595
56.0,89.31128491126422
57.0,89.29572948332915
58.0,89.22953256473491
59.0,89.16807767112314
60.0,89.05105180680506
61.0,88.90492661553527
62.0,88.74994140692054
63.0,88.66011583270603
64.0,88.46751068378235
65.0,88.33107164444019
66.0,88.2218803638662
67.0,88.01158629035767
68.0,87.91896316204314
69.0,87.84771472536806
70.0,87.66010909307296
71.0,87.54915175442609
72.0,87.50820058870565
73.0,87.43200441501463
74.0,87.27985507626865
75.0,87.15580959847043
76.0,87.12580320238366
77.0,86.9815004020011
78.0,86.86642830229304
79.0,86.73683275201756
80.0,86.55982818376647
81.0,86.36880896284723
82.0,86.29439060884869
83.0,86.1611553357757
84.0,86.0085833887276
