time,healthy crops STD
0.0,0.0
1.0,0.2764054992217055
2.0,0.41761226035642146
3.0,0.48692915295759337
4.0,0.515654923374149
5.0,0.622494979899436
6.0,0.6600000000000006
7.0,0.7415524256584973
8.0,0.8039900496896707
9.0,0.8246211251235323
10.0,0.9173875952943779
11.0,1.0104949282406133
12.0,1.038460398859773
13.0,1.076289923765896
14.0,1.0864621484432846
15.0,1.1412274094149681
16.0,1.207435298473586
17.0,1.2117755567760895
18.0,1.2026637102698337
19.0,1.245150593301871
20.0,1.2782409788455396
21.0,1.329473580030833
22.0,1.4232357499725743
23.0,1.4585952145814818
24.0,1.5480310074413894
25.0,1.5469647701224472
26.0,1.5918228544659119
27.0,1.5738805545529828
28.0,1.6332482971061089
29.0,1.6822306619485914
30.0,1.6695807857064016
31.0,1.7365483005088
32.0,1.7792976142287156
33.0,1.8476742137075997
34.0,1.906200409191018
35.0,1.9077735714701578
36.0,1.9322525714823116
37.0,1.9354327681425663
38.0,1.9570385790780929
39.0,1.969238431475477
40.0,1.951512234140489
41.0,1.9915822855207372
42.0,2.0237588789181395
43.0,2.077763220388695
44.0,2.133072900770153
45.0,2.165617694792873
46.0,2.2242976419535205
47.0,2.285082055419453
48.0,2.2833965927976663
49.0,2.2886458878559615
50.0,2.3301502097504367
51.0,2.3912130812623116
52.0,2.4086510747719343
53.0,2.471355903143051
54.0,2.49901980784467
55.0,2.4718211909440364
56.0,2.5287150887357805
57.0,2.4842705166708408
58.0,2.4604674352650933
59.0,2.4719223288768593
60.0,2.51894819319493
61.0,2.55507338446472
62.0,2.5600585930794604
63.0,2.589884167293974
64.0,2.632489316217638
65.0,2.6589283555598096
66.0,2.6581196361337867
67.0,2.6784137096423297
68.0,2.701036837956864
69.0,2.692285274631943
70.0,2.7498909069270367
71.0,2.7708482455739065
72.0,2.7517994112943627
73.0,2.7179955849853767
74.0,2.7601449237313633
75.0,2.7941904015295758
76.0,2.7541967976163244
77.0,2.798499597998899
78.0,2.8435716977069516
79.0,2.843167247982434
80.0,2.9101718162335355
81.0,2.9811910371527675
82.0,3.0156093911513113
83.0,3.0288446642243008
84.0,3.071416611272394
85.0,3.088996600839825
86.0,3.08238543988256
87.0,3.112474899497183
88.0,3.1469985700664065
89.0,3.1320759888610623
90.0,3.1717503054307397
91.0,3.2196117778390603
92.0,3.2799237796022025
93.0,3.3384277736683186
94.0,3.340718485595577
95.0,3.3551602048188403
96.0,3.3337516404195426
97.0,3.3919168621886917
98.0,3.383725757209058
99.0,3.3952172242729897
100.0,3.399573502661769
101.0,3.3645802115568606
102.0,3.415772240650716
103.0,3.4445754455375206
104.0,3.4690632741418845
105.0,3.497699243788693
106.0,3.509985754956848
107.0,3.5707002114431288
108.0,3.637361681218957
109.0,3.7175260590882226
110.0,3.7586566749305534
111.0,3.8216619421398326
112.0,3.8731253529933687
113.0,3.840247387864485
114.0,3.840976438355223
115.0,3.866522985836241
116.0,3.9168737533905804
117.0,3.928409347305854
118.0,3.9303307748839673
119.0,3.9673668849754744
120.0,4.004135362347285
121.0,4.0325674203911355
122.0,4.095009157498918
123.0,4.177690749684564
124.0,4.213359704558823
125.0,4.235693567764318
126.0,4.237676250021937
127.0,4.280140184620125
128.0,4.301383498364217
129.0,4.327343295834061
130.0,4.358107387387325
131.0,4.378173134995919
132.0,4.390398615160126
133.0,4.36137592968091
134.0,4.384062043356596
135.0,4.3783558557979285
136.0,4.361146638213395
137.0,4.37743075330724
138.0,4.402272140611029
139.0,4.4726278629011835
140.0,4.539427276650657
