time,detectable sentinels lower
0.0,0.0
1.0,0.0
2.0,0.0
3.0,-0.08949874371066197
4.0,-0.08949874371066197
5.0,-0.11999999999999987
6.0,-0.11999999999999987
7.0,-0.11999999999999987
8.0,-0.11999999999999987
9.0,-0.1405872210923197
10.0,-0.1774868417407579
11.0,-0.1774868417407579
12.0,-0.1961817604250836
13.0,-0.19999999999999976
14.0,-0.20288975694324057
15.0,-0.2063034344160044
16.0,-0.23293765408777053
17.0,-0.2293897898091749
18.0,-0.20988887516808025
19.0,-0.21152822909777974
20.0,-0.2001886456724618
21.0,-0.2071481612203232
22.0,-0.20798058221921517
23.0,-0.19935450268808114
24.0,-0.19056425936400784
25.0,-0.20962676171132805
26.0,-0.20992856778388425
27.0,-0.17971422738143628
28.0,-0.17073297516493813
29.0,-0.1501973427998814
30.0,-0.13868306953562592
31.0,-0.08102496759066624
32.0,-0.0681854421122946
33.0,-0.014732659452221686
34.0,-0.023006602614889182
35.0,-0.020561620551885595
36.0,-0.006784030283570441
37.0,0.045686772879268256
38.0,0.045571231627193676
39.0,0.047698674558228626
40.0,0.033942380724897525
41.0,0.06278135924038208
42.0,0.1087390607326344
43.0,0.15431417226032051
44.0,0.1918652177441964
45.0,0.19999999999999996
46.0,0.20752528118612878
47.0,0.23380962103094038
48.0,0.2710688643038035
49.0,0.28588206557663143
50.0,0.2934321692685027
51.0,0.3269794852859427
52.0,0.37098463366277534
53.0,0.42750247524995033
54.0,0.4356560571905084
55.0,0.4607354929963048
56.0,0.4941002943528179
57.0,0.5473239860894461
58.0,0.6263522362342167
59.0,0.6201351413051255
60.0,0.6914047854185179
61.0,0.707797648142666
62.0,0.7499038491169838
63.0,0.7664912377886883
64.0,0.8251332344048294
65.0,0.9031280577328689
66.0,0.9621753826987214
67.0,0.9965468901135455
68.0,1.0581937537727208
69.0,1.073798361043122
70.0,1.1390061367731321
71.0,1.2491966206602279
72.0,1.2527056163837256
73.0,1.2911718209040655
74.0,1.3295810546131954
75.0,1.38083818507101
76.0,1.4479178709059901
77.0,1.5928716609194422
78.0,1.6341436583067115
79.0,1.707252097491166
80.0,1.7564515277746275
81.0,1.7881703135935374
82.0,1.828132496728544
83.0,1.8795789940121141
84.0,1.9061756836966632
85.0,1.9532077666068213
86.0,2.0080876676059147
87.0,2.093600245348615
88.0,2.1483504239165647
89.0,2.201154166370197
90.0,2.255076113768923
91.0,2.290757012171429
92.0,2.3452356449490908
93.0,2.3856016251551493
94.0,2.3740593300773987
95.0,2.4494206728798074
96.0,2.4808404845408107
97.0,2.5848165688987352
98.0,2.698270673116344
99.0,2.813425671208137
100.0,2.888771147932793
101.0,2.9714379307593477
102.0,3.0220669984468143
103.0,3.08762113180278
104.0,3.113496568724487
105.0,3.1472068064506096
106.0,3.184522305786967
107.0,3.2082477989314735
108.0,3.3092751905852578
109.0,3.354169886658285
110.0,3.3793334156175447
111.0,3.4634820741465853
112.0,3.532120379711979
113.0,3.606371016336211
114.0,3.656764472776334
115.0,3.7672035776133876
116.0,3.8954582958321367
117.0,4.028260627365781
118.0,4.1580747604717105
119.0,4.1817991433303465
120.0,4.2319471055750215
121.0,4.299122941970316
122.0,4.411148643000131
123.0,4.515558979628809
124.0,4.594395715679919
125.0,4.660620756092781
126.0,4.664683827987309
127.0,4.7966685164637575
128.0,4.844035456542542
129.0,4.93704091384718
130.0,4.992347169774425
131.0,5.091710574277582
132.0,5.117319745073575
133.0,5.215663334381869
134.0,5.277485271047439
135.0,5.373194736189926
136.0,5.471806058927292
137.0,5.55654505195463
138.0,5.60702878477438
139.0,5.665333599893387
140.0,5.850256807545335
141.0,5.868611393015986
142.0,5.911754069095419
143.0,6.045958284626935
144.0,6.166310825001789
145.0,6.2634319445120825
