time,undetectable sentinels lower
0.0,0.0
1.0,-0.2217190429162964
2.0,-0.23405728739343049
3.0,-0.222078831727758
4.0,-0.18178287620752565
5.0,-0.16530983801686233
6.0,-0.13441973062996637
7.0,-0.12293484315855485
8.0,-0.10419017567234434
9.0,-0.04262703859750483
10.0,-0.016144316477290088
11.0,0.01878139329408801
12.0,0.02554751465816607
13.0,0.025748904439468867
14.0,0.040329730066987146
15.0,0.0880997884803365
16.0,0.08905045082182084
17.0,0.1275742306461709
18.0,0.13023150629405755
19.0,0.25245649739790066
20.0,0.26177717680251744
21.0,0.28656504537306837
22.0,0.3241669750802292
23.0,0.38439443467372914
24.0,0.4631576444678316
25.0,0.42739948870207023
26.0,0.4741735788732582
27.0,0.4340430913287012
28.0,0.5056180159481798
29.0,0.4923400993038678
30.0,0.5164792789484607
31.0,0.5121196155451591
32.0,0.5379181715311709
33.0,0.5322745361940198
34.0,0.6125727531897796
35.0,0.613017413043075
36.0,0.5848693439271804
37.0,0.6331372684695249
38.0,0.6539565224019281
39.0,0.7059023416565173
40.0,0.7492283877132626
41.0,0.8219749672683261
42.0,0.8731525775146058
43.0,0.8956640790167016
44.0,0.9613519688580381
45.0,1.0002702949524869
46.0,1.0295253877394943
47.0,0.9781717507607561
48.0,0.9492152952795052
49.0,1.0112063103484283
50.0,1.0684828279199763
51.0,1.115187698267459
52.0,1.1208984452706305
53.0,1.1150364435358986
54.0,1.1039269117779307
55.0,1.1542712618690096
56.0,1.2149250696497431
57.0,1.2425824378993289
58.0,1.2062470499012008
59.0,1.2247086950836188
60.0,1.27713734993659
61.0,1.2133274126795572
62.0,1.2479740822547865
63.0,1.2744169812093582
64.0,1.3375951292522232
65.0,1.357873543037026
66.0,1.3262602057750907
67.0,1.3918921192007951
68.0,1.3635083268962913
69.0,1.3752365872055003
70.0,1.4362142977740386
71.0,1.4062725618768932
72.0,1.4827657410360502
73.0,1.5276144951340367
74.0,1.5207247645612734
75.0,1.54434220427808
76.0,1.59419388626899
77.0,1.566117062999942
78.0,1.5936860685494088
79.0,1.7867698683141175
80.0,1.7878121628183257
81.0,1.8661692096311318
82.0,1.8579829749753243
83.0,1.9959398367410253
84.0,2.0571836209070895
85.0,2.0438971654643048
86.0,2.053372549358851
87.0,2.034812641349736
88.0,2.0780357768935405
89.0,2.109405364227247
90.0,2.0780357768935405
91.0,2.1180527687682833
92.0,2.246198793298346
93.0,2.204252808235599
94.0,2.2511376167750914
95.0,2.2461746095422916
96.0,2.2443941684382653
97.0,2.2638874198415335
98.0,2.1812099725874323
99.0,2.196036303902222
100.0,2.2021171124824197
101.0,2.203063139351569
102.0,2.2080128411245776
103.0,2.1585144993398013
104.0,2.157121656971718
105.0,2.201746637051784
106.0,2.189864344651622
107.0,2.2646345289608343
108.0,2.2807875236601407
109.0,2.302579424498192
