time,detectable crops upper
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.15999999999999992
4.0,0.2359591794226541
5.0,0.2359591794226541
6.0,0.26794494717703365
7.0,0.32514701644346156
8.0,0.35129319932501085
9.0,0.35129319932501085
10.0,0.35129319932501085
11.0,0.35129319932501085
12.0,0.35129319932501085
13.0,0.37618176042508367
14.0,0.3999999999999998
15.0,0.3999999999999998
16.0,0.4449615361854386
17.0,0.46630343441600447
18.0,0.46630343441600447
19.0,0.4869870314579495
20.0,0.534057287393431
21.0,0.5776122603564224
22.0,0.64021271782035
23.0,0.6736320915737501
24.0,0.6736320915737501
25.0,0.6898979485566351
26.0,0.7058830507286975
27.0,0.7058830507286975
28.0,0.7058830507286975
29.0,0.7714132102234574
30.0,0.7861902647381804
31.0,0.8007402333838306
32.0,0.8150688029964663
33.0,0.8470978751503125
34.0,0.8744562646538028
35.0,0.9048949487094338
36.0,0.9309159675029441
37.0,0.9436555309114631
38.0,0.9724949798994366
39.0,0.9724949798994366
40.0,1.051740130262628
41.0,1.1041901756723447
42.0,1.1041901756723447
43.0,1.140703876449256
44.0,1.140703876449256
45.0,1.1516178749862884
46.0,1.1973926037567335
47.0,1.2213501197140262
48.0,1.2315524256584962
49.0,1.2549834435270748
50.0,1.2747184905645286
51.0,1.3639900496896709
52.0,1.4277947242612603
53.0,1.457289796940811
54.0,1.4862125904236634
55.0,1.4862125904236634
56.0,1.5374119674649425
57.0,1.5456635930193807
58.0,1.5618163074019447
59.0,1.5697158632194834
60.0,1.577496438739212
61.0,1.5851571287488895
62.0,1.604081444212014
63.0,1.6486100377805715
64.0,1.6486100377805715
65.0,1.7242457307290306
66.0,1.7554628496138809
67.0,1.779262871916941
68.0,1.8150396817065415
69.0,1.8707975340103742
70.0,1.9078396488858222
71.0,1.9078396488858222
72.0,1.9438867857350786
73.0,1.9438867857350786
74.0,1.9591663046625438
75.0,1.978957767578948
76.0,1.9983318840568747
77.0,2.027677632272236
78.0,2.070765007532386
79.0,2.070765007532386
80.0,2.0988882646689673
81.0,2.1265440281292145
82.0,2.1868398122394748
83.0,2.203523326553918
84.0,2.2743244282477764
85.0,2.277425415005765
86.0,2.3212142642814273
87.0,2.3577754868245986
88.0,2.3816653826391967
89.0,2.3816653826391967
90.0,2.3959182125050225
91.0,2.3959182125050225
92.0,2.407543502602099
93.0,2.4232027088001606
94.0,2.4660576192751025
95.0,2.500093453862792
96.0,2.5592724866929046
97.0,2.5899545445153627
98.0,2.6483320801997934
99.0,2.6679338215167316
100.0,2.6771522432483867
101.0,2.7315614116043765
102.0,2.7404503590885994
103.0,2.7844554237496473
104.0,2.810309692075584
105.0,2.8097767634667195
106.0,2.8591067866830224
107.0,2.94258333034669
108.0,2.9672425408555365
109.0,3.006423195997111
110.0,3.022098989178331
111.0,3.083713310465038
112.0,3.090619676033724
113.0,3.097435298473588
114.0,3.112435565298214
115.0,3.130126043744948
116.0,3.1758947322856526
117.0,3.2045815611873305
118.0,3.2187798826478238
119.0,3.2608061895396885
120.0,3.2883589227461782
121.0,3.3130205147140575
122.0,3.3130205147140575
123.0,3.3183860464330177
124.0,3.3661448961007654
125.0,3.4114104881142246
126.0,3.4851078385768
127.0,3.5494920867281676
128.0,3.596101068064796
129.0,3.671930406640229
130.0,3.6940468269664786
131.0,3.6974217244299563
132.0,3.7373658124270035
133.0,3.7988230201170428
134.0,3.8444453426746374
135.0,3.9822740788157036
136.0,4.05211259628756
137.0,4.100595908904826
138.0,4.1769647701224475
139.0,4.2540393895960795
140.0,4.25884572681199
141.0,4.329093493201696
142.0,4.3918426889054984
143.0,4.489359631075501
144.0,4.514161322036701
145.0,4.564775526195515
146.0,4.592327510154187
147.0,4.631696642408809
