time,undetectable crops lower
0.0,3.0
1.0,2.7835945007782956
2.0,2.7423877396435774
3.0,2.734710614467354
4.0,2.75250628144669
5.0,2.698526370151582
6.0,2.665846403307187
7.0,2.7245864539714515
8.0,2.7522637840535893
9.0,2.765281509435471
10.0,2.785365575231141
11.0,2.8079278159291614
12.0,2.9179189223355446
13.0,2.9265255254770635
14.0,3.001539601140227
15.0,3.0535378515567144
16.0,3.105053649303968
17.0,3.137901010821668
18.0,3.24463085918352
19.0,3.271179427255549
20.0,3.2876422236437386
21.0,3.2777881268636535
22.0,3.286658860286825
23.0,3.3100344831686517
24.0,3.3425511465191375
25.0,3.3921118376162713
26.0,3.398987666082266
27.0,3.486341841440778
28.0,3.508926733711818
29.0,3.55663057781239
30.0,3.6416876048223
31.0,3.6249495684562936
32.0,3.6831846995201802
33.0,3.7109068193190335
34.0,3.7237932602165973
35.0,3.7670811893304537
36.0,3.840157074521572
37.0,3.9744525856629176
38.0,4.040157074521572
39.0,4.111684673088968
40.0,4.1347739150166465
41.0,4.158141571295792
42.0,4.188639072307967
43.0,4.250885354988866
44.0,4.3231185407666315
45.0,4.352842745728017
46.0,4.457928894027017
47.0,4.519649149801724
48.0,4.537983348001159
49.0,4.579610422461181
50.0,4.684832619441955
51.0,4.6777647671447085
52.0,4.706552043059311
53.0,4.710820134524129
54.0,4.788028662583905
55.0,4.911073107603223
56.0,5.0060231630464305
57.0,5.09699370686959
58.0,5.173763040747087
59.0,5.212135072873206
60.0,5.216615827216222
61.0,5.284199536491518
62.0,5.406974444138333
63.0,5.388487028559881
64.0,5.533227178374097
65.0,5.554724313271622
66.0,5.6204089530190675
67.0,5.79120844987939
68.0,5.769580324110922
69.0,5.845023277568313
70.0,5.907299135049906
71.0,5.955655593092642
72.0,6.020989190200963
73.0,6.139632377784206
74.0,6.203480455356793
75.0,6.2426894683225544
76.0,6.295471314566862
77.0,6.353863866452662
78.0,6.357465919289618
79.0,6.494316660838168
80.0,6.531470962583205
81.0,6.565410349980898
82.0,6.531817217046298
83.0,6.61120885121213
84.0,6.616171210978145
85.0,6.751881598136904
86.0,6.787333404270413
87.0,6.806283830682657
88.0,6.92537952175849
89.0,7.037319745073576
90.0,7.0766267779105085
91.0,7.146868796980302
92.0,7.278780714429469
93.0,7.413653537626847
94.0,7.45948332324542
95.0,7.522806078365212
96.0,7.611559017057744
97.0,7.657257244315357
98.0,7.69372551359446
99.0,7.792028066013988
100.0,7.886430507792495
101.0,8.002308512189003
102.0,8.03402982362895
103.0,8.08706455073229
104.0,8.137904848751312
105.0,8.25316172054552
106.0,8.30375209497272
107.0,8.285689850495432
108.0,8.344646950733779
109.0,8.399553100519434
110.0,8.486048982168304
111.0,8.542131768365621
112.0,8.590554095543494
113.0,8.703444243553777
114.0,8.813622010787178
115.0,8.893066676362931
116.0,8.889264778148554
117.0,9.020695251788107
118.0,9.104950066909893
119.0,9.211764338579659
120.0,9.302929892383823
121.0,9.42768589353026
122.0,9.568551187866397
123.0,9.634964878829312
124.0,9.67360012132242
125.0,9.692078629811324
126.0,9.740761494907932
127.0,9.736852632987294
128.0,9.802500781738662
129.0,9.859950000312494
130.0,9.960198024655169
131.0,10.013847026979924
132.0,10.115381580659804
133.0,10.207948919770283
134.0,10.25064956151105
135.0,10.29653709971479
136.0,10.364929100496514
137.0,10.43921189915061
138.0,10.480366764610793
139.0,10.509771090650542
140.0,10.51952609296065
141.0,10.558463635982788
142.0,10.582518393212279
143.0,10.646765936372654
144.0,10.638224667267092
145.0,10.754427183092737
146.0,10.813071698274152
147.0,10.94572149829915
148.0,11.0489717561803
149.0,11.087229678617991
150.0,11.102664380715492
151.0,11.146881976877125
152.0,11.16843415914821
153.0,11.249048269012828
154.0,11.381435423662161
155.0,11.465589798373088
156.0,11.619241445448852
157.0,11.72890566792197
158.0,11.77188827981701
159.0,11.835184453351083
160.0,11.878984315080796
161.0,12.020224220882849
162.0,12.057991521650141
163.0,12.111989445922537
164.0,12.156930857416246
165.0,12.186974962131682
166.0,12.27095708774376
167.0,12.28406955097936
168.0,12.385202849436023
169.0,12.520733809064543
170.0,12.58020661598039
171.0,12.593881371185567
172.0,12.652160716906444
173.0,12.731096700478062
174.0,12.799418871514058
175.0,12.956161473428624
176.0,12.951536434504007
177.0,12.935263291721984
178.0,12.893451031154633
179.0,13.032727116713732
180.0,13.1170865227
181.0,13.172139218275174
182.0,13.245265763935134
183.0,13.350235854304456
184.0,13.451072215336403
185.0,13.53532040249371
186.0,13.575636104811679
187.0,13.752941433398
188.0,13.831151134908986
189.0,14.038560941204693
190.0,14.124377948457418
191.0,14.18833048388844
192.0,14.3981821311219
193.0,14.355780281990626
194.0,14.417491226024987
195.0,14.452165863472542
196.0,14.422381471740627
197.0,14.432034732381181
198.0,14.517286645017784
199.0,14.655439853552522
200.0,14.786682730947014
201.0,14.787338184590368
202.0,14.904080925446976
203.0,14.93389618362271
204.0,15.161724407766076
205.0,15.14933039717571
206.0,15.263477013335272
207.0,15.315675416845696
208.0,15.320471223564716
209.0,15.29609128702743
210.0,15.346795749335241
211.0,15.415335193198505
212.0,15.524223747011867
213.0,15.657160762587699
214.0,15.775799112131978
215.0,15.91141526612163
216.0,15.928218173556207
217.0,15.911857432777857
218.0,15.983626741421023
219.0,16.11991539823667
220.0,16.225478742910195
221.0,16.29337070265852
222.0,16.380186128142444
223.0,16.488423481063407
224.0,16.621884851669428
225.0,16.70423881080653
226.0,16.757365451085136
227.0,16.82484177426459
228.0,16.813348181161697
229.0,16.885595267697884
230.0,16.978495172617514
231.0,17.059313272327884
232.0,17.087027540662856
233.0,17.18158618664341
234.0,17.180033222683036
235.0,17.23729124280505
236.0,17.33369964475876
237.0,17.30422657944321
238.0,17.355125103826985
239.0,17.42212455177453
240.0,17.4767114156897
241.0,17.55226719641404
242.0,17.608160727951514
243.0,17.58080133350444
244.0,17.619076501023116
245.0,17.616070396366723
246.0,17.646208284821185
247.0,17.67425258068974
248.0,17.801316750300266
249.0,17.884305049565864
250.0,17.934708049902152
251.0,18.07174172086622
252.0,18.114429646195163
253.0,18.09990881522148
254.0,18.163964612664145
