time,undetectable crops STD
0.0,0.0
1.0,0.2764054992217045
2.0,0.4176122603564227
3.0,0.4752893855326459
4.0,0.49749371855331
5.0,0.6114736298484179
6.0,0.664153596692813
7.0,0.6954135460285484
8.0,0.7277362159464108
9.0,0.7547184905645289
10.0,0.8546344247688592
11.0,0.9420721840708386
12.0,0.9620810776644552
13.0,1.0234744745229365
14.0,1.038460398859773
15.0,1.086462148443285
16.0,1.1649463506960314
17.0,1.1920989891783322
18.0,1.1853691408164801
19.0,1.2288205727444508
20.0,1.2523577763562614
21.0,1.3122118731363464
22.0,1.423341139713175
23.0,1.4499655168313481
24.0,1.5274488534808623
25.0,1.5378881623837284
26.0,1.5810123339177342
27.0,1.573658158559222
28.0,1.6310732662881817
29.0,1.69336942218761
30.0,1.6583123951777001
31.0,1.7350504315437065
32.0,1.7568153004798202
33.0,1.819093180680967
34.0,1.8962067397834026
35.0,1.902918810669546
36.0,1.909842925478428
37.0,1.8955474143370823
38.0,1.909842925478428
39.0,1.9283153269110318
40.0,1.935226084983354
41.0,1.991858428704209
42.0,2.021360927692033
43.0,2.0891146450111338
44.0,2.1468814592333683
45.0,2.1971572542719824
46.0,2.2220711059729834
47.0,2.280350850198275
48.0,2.282016651998841
49.0,2.310389577538818
50.0,2.3151673805580453
51.0,2.3722352328552914
52.0,2.4234479569406884
53.0,2.4991798654758712
54.0,2.511971337416095
55.0,2.4689268923967767
56.0,2.5039768369535693
57.0,2.4630062931304093
58.0,2.4562369592529136
59.0,2.4578649271267934
60.0,2.513384172783779
61.0,2.545800463508482
62.0,2.563025555861666
63.0,2.6115129714401193
64.0,2.6167728216259034
65.0,2.6752756867283787
66.0,2.689591046980933
67.0,2.6887915501206106
68.0,2.740419675889078
69.0,2.6849767224316867
70.0,2.7227008649500952
71.0,2.764344406907359
72.0,2.7290108097990378
73.0,2.7203676222157926
74.0,2.7565195446432083
75.0,2.787310531677445
76.0,2.784528685433138
77.0,2.806136133547338
78.0,2.8425340807103807
79.0,2.8356833391618324
80.0,2.8885290374167956
81.0,2.9545896500191016
82.0,2.998182782953702
83.0,3.0187911487878716
84.0,3.083828789021855
85.0,3.108118401863096
86.0,3.132666595729587
87.0,3.163716169317343
88.0,3.1946204782415086
89.0,3.172680254926424
90.0,3.2033732220894913
91.0,3.2431312030196993
92.0,3.2812192855705318
93.0,3.2963464623731538
94.0,3.2905166767545793
95.0,3.2771939216347885
96.0,3.2384409829422554
97.0,3.2827427556846427
98.0,3.2862744864055404
99.0,3.277971933986012
100.0,3.2935694922075047
101.0,3.2476914878109957
102.0,3.2859701763710505
103.0,3.3229354492677103
104.0,3.3420951512486896
105.0,3.3668382794544796
106.0,3.3562479050272795
107.0,3.4243101495045685
108.0,3.5053530492662217
109.0,3.580446899480566
110.0,3.633951017831695
111.0,3.657868231634377
112.0,3.6994459044565047
113.0,3.6565557564462225
114.0,3.656377989212822
115.0,3.6669333236370685
116.0,3.740735221851446
117.0,3.7393047482118935
118.0,3.7550499330901053
119.0,3.7682356614203423
120.0,3.787070107616178
121.0,3.7823141064697405
122.0,3.831448812133603
123.0,3.91503512117069
124.0,3.956399878677582
125.0,3.967921370188677
126.0,3.9392385050920677
127.0,3.9731473670127064
128.0,3.9974992182613382
129.0,4.000049999687505
130.0,4.039801975344831
131.0,4.066152973020075
132.0,4.094618419340196
133.0,4.072051080229716
134.0,4.079350438488951
135.0,4.07346290028521
136.0,4.055070899503486
137.0,4.060788100849391
138.0,4.089633235389208
139.0,4.150228909349459
140.0,4.22047390703935
141.0,4.231536364017211
142.0,4.247481606787721
143.0,4.253234063627346
144.0,4.281775332732907
145.0,4.255572816907262
146.0,4.246928301725848
147.0,4.244278501700848
148.0,4.231028243819699
149.0,4.242770321382009
150.0,4.277335619284509
151.0,4.283118023122874
152.0,4.31156584085179
153.0,4.360951730987171
154.0,4.318564576337837
155.0,4.344410201626912
156.0,4.350758554551149
157.0,4.341094332078031
158.0,4.36811172018299
159.0,4.4048155466489165
160.0,4.4310156849192035
161.0,4.459775779117152
162.0,4.482008478349857
163.0,4.548010554077463
164.0,4.563069142583752
165.0,4.6130250378683195
166.0,4.649042912256242
167.0,4.715930449020639
168.0,4.744797150563975
169.0,4.769266190935456
170.0,4.839793384019611
171.0,4.906118628814432
172.0,4.9278392830935545
173.0,4.968903299521937
174.0,4.990581128485941
175.0,5.003838526571377
176.0,5.108463565495991
177.0,5.174736708278015
178.0,5.2865489688453655
179.0,5.297272883286267
180.0,5.252913477300001
181.0,5.257860781724827
182.0,5.314734236064866
183.0,5.299764145695542
184.0,5.268927784663596
185.0,5.344679597506289
186.0,5.364363895188322
187.0,5.387058566602001
188.0,5.428848865091015
189.0,5.351439058795307
190.0,5.36562205154258
191.0,5.361669516111562
192.0,5.2818178688781
193.0,5.334219718009375
194.0,5.342508773975014
195.0,5.377834136527456
196.0,5.457618528259372
197.0,5.52796526761882
198.0,5.492713354982217
199.0,5.484560146447479
200.0,5.533317269052986
201.0,5.542661815409631
202.0,5.535919074553024
203.0,5.606103816377289
204.0,5.508275592233925
205.0,5.600669602824291
206.0,5.6065229866647295
207.0,5.644324583154304
208.0,5.729528776435283
209.0,5.783908712972569
