time,infected lower
0.0,3.0
0.005,2.775868887685326
0.01,2.713303835963252
0.015,2.618937371467445
0.02,2.5605086938724195
0.025,2.5466493957413268
0.03,2.510903344466128
0.035,2.4318145578877046
0.04,2.4666120236934894
0.045,2.481464722812754
0.05,2.480823928740335
0.055,2.4970638945384005
0.06,2.4657002802242243
0.065,2.4320352429747065
0.07,2.407927815929161
0.075,2.3535847305357915
0.08,2.28641493304775
0.085,2.2866567755133786
0.09,2.2318306305724764
0.095,2.2311422459550476
0.1,2.233923654875964
0.105,2.1688772683066864
0.11,2.1751148456500085
0.115,2.1723812656641948
0.12,2.166304552111697
0.125,2.170828041606922
0.13,2.190839162481098
0.135,2.1708280416069226
0.14,2.105960610403921
0.145,2.1031280577328686
0.15,2.0999386514612395
0.155,2.1414292057854585
0.16,2.1399386514612404
0.165,2.1060849775927304
0.17,2.0924415545749224
0.175,2.0809641354087614
0.18,2.05663057781239
0.185,1.9934950321927445
0.19,2.006143021190428
0.195,1.9917203596924522
0.2,1.9917203596924522
0.205,2.0435823244865063
0.21,2.051373545758537
0.215,2.020101012677667
0.22,1.9755929955119012
0.225,1.863213377475872
0.23,1.8769112591636263
0.235,1.90831901921444
0.24,1.9152451111284243
0.245,1.9206838606122516
0.25,1.873553072336771
0.255,1.7538505520998986
0.26,1.7885525280260826
0.265,1.786662431176651
0.27,1.7854943963140713
0.275,1.8437906001229734
0.28,1.8450963319779539
0.285,1.854093956450804
0.29,1.8491548047401136
0.295,1.8879249649405234
0.3,1.8414088001263726
0.305,1.8555354489744431
0.31,1.8701578991108994
0.315,1.8504310665204042
0.32,1.8364903541160924
0.325,1.8366905550374102
0.33,1.7600952395350111
0.335,1.7106308304533946
0.34,1.6853935764471375
0.345,1.6823960690339521
0.35,1.7115769499656452
0.355,1.7106697095998422
0.36,1.7318173405125767
0.365,1.7551647184673742
0.37,1.762406636507143
0.375,1.8143650802791065
0.38,1.7596571596484996
0.385,1.8350891594792316
0.39,1.825823999855129
0.395,1.8742942278323151
0.4,1.9243741985810425
0.405,1.9793225554107283
0.41,1.9921763157229906
0.415,1.991343325069447
0.42,1.880701362585647
0.425,1.8649649683092
0.43,1.855383415336795
0.435,1.8925827040756094
0.44,1.899382763084124
0.445,1.9489729028376956
0.45,1.9195145917016045
0.455,1.9629649145443686
0.46,2.013916504757259
0.465,1.9809953780542022
0.47,1.9642678571800598
0.475,1.944047315996225
0.48,1.9505915569129
0.485,2.0351240369774164
0.49,2.0950136017611536
0.495,2.050137713873421
0.5,2.0910610426272536
0.505,2.0462334893842122
0.51,2.013277292403779
0.515,2.0220404163298786
0.52,1.985753713959486
0.525,1.9526155978306532
0.53,2.007251681346305
0.535,1.9021193765573408
0.54,1.885635941636525
0.545,1.8939220832783432
0.55,1.9456036414785398
0.555,1.9730045311652065
0.56,2.075726446170856
0.565,2.1413505313809322
0.57,2.1270043804773096
0.575,2.140983986424801
0.58,2.1783600255305346
0.585,2.2347576470510866
0.59,2.2012263820391107
0.595,2.216113336685205
0.6,2.213596695111314
0.605,2.1849269010312016
0.61,2.1354681291205946
0.615,2.092787380411111
0.62,2.2233771225849637
0.625,2.2394080280344646
0.63,2.2751456521320454
0.635,2.3075523118960968
0.64,2.3399682540482383
0.645,2.3770780835383727
0.65,2.412216475770098
0.655,2.459920761194832
0.66,2.478940897328541
0.665,2.4625120424003883
0.67,2.4747188277779504
0.675,2.4426641626912353
0.68,2.434298978944107
0.685,2.534298978944106
0.69,2.6520622547503514
0.695,2.6868503699375585
0.7,2.6923959507895665
0.705,2.644710915168729
0.71,2.612601352091694
0.715,2.6378289081171404
0.72,2.584379885833327
0.725,2.632468606366155
0.73,2.6722988178616403
0.735,2.724172672228109
0.74,2.777743220932269
0.745,2.723683680559665
0.75,2.829780145272064
0.755,2.8675561262199922
0.76,2.9443824204178553
0.765,2.968370503138697
0.77,2.9858758270525136
0.775,3.0582145046698868
0.78,3.118280808502022
0.785,3.0900341530851385
0.79,3.124546857117344
0.795,3.1239821766350033
0.8,3.1483823313483263
0.805,3.305611210554476
0.81,3.3323055029949833
0.815,3.3415610077212357
0.82,3.4335290705873334
0.825,3.429902976029343
0.83,3.404196299678767
0.835,3.4086313670722532
0.84,3.5143879382980288
0.845,3.4735001384359805
0.85,3.4825340527186768
0.855,3.534549493155554
0.86,3.5878921289866454
0.865,3.56906856175344
