time,susceptible lower
0.0,97.0
0.005,96.6295165060748
0.01,96.40225006406972
0.015,96.31044660665849
0.02,96.27772384288701
0.025,96.19667543865724
0.03,96.16608869102912
0.035,95.99667404133403
0.04,95.89440930237798
0.045,95.84477547928716
0.05,95.75095556916429
0.055,95.69463122185645
0.06,95.6615229997436
0.065,95.64
0.07,95.44574417258187
0.075,95.35060201964244
0.08,95.2420017421616
0.085,95.22471033643991
0.09,95.12987603940753
0.095,95.08774798016121
0.1,95.04646848439126
0.105,94.9821277666894
0.11,94.99003968316458
0.115,94.95051191419533
0.12,94.80577861034214
0.125,94.77676635125331
0.13,94.69140478541853
0.135,94.64840222886824
0.14,94.57356624775262
0.145,94.52494299780106
0.15,94.45231181788036
0.155,94.3167517028939
0.16,94.19356255641418
0.165,93.9834097875415
0.17,93.94449193987131
0.175,93.91451376340439
0.18,93.8938810327313
0.185,93.88251506030169
0.19,93.82748844125062
0.195,93.6581415712958
0.2,93.54933508426427
0.205,93.42009524025492
0.21,93.35226755649823
0.215,93.25886906764886
0.22,93.2265273675283
0.225,93.09113761677509
0.23,92.967272383311
0.235,92.83332884702067
0.24,92.76858040305109
0.245,92.69001992039777
0.25,92.61741169309414
0.255,92.59562633112037
0.26,92.48613391797426
0.265,92.43852632902512
0.27,92.30619423512623
0.275,92.29601104974785
0.28,92.25776568473817
0.285,92.2413517040741
0.29,92.0915229923883
0.295,91.89745506949654
0.3,91.80929100048733
0.305,91.70350039801878
0.31,91.62423923109031
0.315,91.49077064964055
0.32,91.47425223233445
0.325,91.37952706480874
0.33,91.37083062541332
0.335,91.26545648381533
0.34,91.16445872611196
0.345,91.09139834792383
0.35,91.01184094284537
0.355,90.88431607484058
0.36,90.83805172456505
0.365,90.82264629078306
0.37,90.7630561640094
0.375,90.63946036368371
0.38,90.51937894188092
0.385,90.45947696516392
0.39,90.42433212916816
0.395,90.28285835866284
0.4,90.12545623476645
0.405,90.07217269979948
0.41,89.96344998597748
0.415,89.9369753816018
0.42,89.84
0.425,89.61838924923862
0.43,89.52567564561001
0.435,89.4567044769036
0.44,89.29921841116996
0.445,89.05229342743645
0.45,88.81251959252462
0.455,88.68077314186388
0.46,88.59444824962128
0.465,88.44918894162417
0.47,88.34948320517752
0.475,88.22098142093307
0.48,88.09403153576262
0.485,88.07351276585499
0.49,87.99318709269386
0.495,87.8458967378926
0.5,87.61960700376049
0.505,87.58631669203886
0.51,87.44953364614815
0.515,87.35313809932198
0.52,87.16081768014685
0.525,87.02053721989724
0.53,86.84688106989076
0.535,86.87046203423773
0.54,86.83276259054482
0.545,86.6847177090222
0.55,86.67658654996353
0.555,86.55716378713315
0.56,86.38368970551547
0.565,86.25012695469897
0.57,86.07449905623858
0.575,85.96167965851649
0.58,85.87137850763149
0.585,85.67564663101136
0.59,85.58613732962964
0.595,85.53797085953975
0.6,85.43338637316727
0.605,85.24215231758326
0.61,85.11201649339118
0.615,84.97635996890111
0.62,84.78774826698276
0.625,84.58873941587241
0.63,84.41475615432236
0.635,84.27259720550222
0.64,84.03947197019929
0.645,83.90081972720924
0.65,83.81983660348844
0.655,83.61291668069678
0.66,83.57201489156861
0.665,83.39934612659891
0.67,83.31872217514668
0.675,83.15784846749148
0.68,83.04390056717172
0.685,82.86035994754008
0.69,82.75134539736347
0.695,82.6370007027956
0.7,82.42107370804057
0.705,82.36650631381283
0.71,82.11903621452429
0.715,81.85441712359325
0.72,81.70486223504624
0.725,81.51952519607472
0.73,81.34482384562494
0.735,81.28957858411367
0.74,81.09781903375452
0.745,80.93751098419125
0.75,80.80931253282023
0.755,80.5738983011474
0.76,80.42617626501014
0.765,80.37928090346675
0.77,80.16560265787956
0.775,80.11003396746969
0.78,79.74124020699956
0.785,79.55504076984097
0.79,79.45492355275499
0.795,79.39472766302463
0.8,79.07220619356075
0.805,78.8361836398376
0.81,78.51286028174734
0.815,78.37029951648594
0.82,78.13803897370607
0.825,77.97868115943287
0.83,77.90199064524391
0.835,77.83806745106516
0.84,77.88801360545342
0.845,77.78580926189902
0.85,77.51186998188962
0.855,77.31904993483514
0.86,77.07357050108311
0.865,76.82655739881382
0.87,76.87619573505984
0.875,76.69860449523838
0.88,76.48886293102433
0.885,76.2714956115606
0.89,76.04200470430231
0.895,75.84641820759893
0.9,75.6327818436423
0.905,75.46644862322543
0.91,75.13997863250302
0.915,75.04620785302461
0.92,74.92991970055931
0.925,74.7592340737576
0.93,74.54267970362929
0.935,74.45644955772605
0.94,74.3789706438852
0.945,74.3914324266446
0.95,74.33435498770577
0.955,74.24000000000001
0.96,74.03841679721516
0.965,73.74986053819472
0.97,73.56409922149676
0.975,73.34505200419606
0.98,73.11538259640642
0.985,72.9296457148462
0.99,72.78767225415756
0.995,72.62903278449929
1.0,72.35935836188052
1.005,72.25500123456797
1.01,72.07238709144713
1.015,71.91422560626832
1.02,71.82026393302348
1.025,71.73367222967015
1.03,71.5242644469723
1.035,71.24771659682357
1.04,71.10075745799341
1.045,70.91381861686534
1.05,70.66131512438753
1.055,70.47785332430398
1.06,70.1546110149238
1.065,69.95736874069833
1.07,69.86160825260983
1.075,69.64381150264245
1.08,69.47313689744165
1.085,69.31361499855126
1.09,69.05599532121747
1.095,68.79553660365656
1.1,68.64109934435098
1.105,68.47506280317074
1.11,68.34324038967273
1.115,68.13737421281559
1.12,67.80873179743499
1.125,67.52539630926736
1.13,67.30443590544928
1.135,67.09672879313685
1.14,66.832328822049
1.145,66.55923590464458
1.15,66.31620521453782
1.155,66.1654797866362
1.16,65.87266449505475
1.165,65.74112566342244
1.17,65.5311557719306
1.175,65.39480239315154
1.18,65.19234296328537
1.185,65.03883912520539
1.19,64.76075339284698
1.195,64.57280268201686
1.2,64.37790199531369
1.205,64.37830560345981
1.21,64.24410993236518
1.215,64.03904952487835
1.22,64.0761095160168
1.225,63.98363831643097
1.23,63.888121706979796
1.235,63.82432463453082
1.24,63.49591504618084
1.245,63.27919755570666
1.25,63.2408333601269
1.255,63.1168777852053
1.26,62.719697431601645
1.265,62.535344214201565
1.27,62.4319888705115
1.275,62.370334590674844
1.28,62.18349858577163
1.285,62.04391817798197
1.29,61.90085204506654
1.295,61.672816515355606
1.3,61.46066866445439
1.305,61.37167173472438
1.31,61.384614452106824
1.315,61.323922148689675
1.32,61.44599525776436
1.325,61.489634339249726
1.33,61.44667863862361
1.335,61.1323784496584
1.34,60.86255311625387
1.345,60.69863609119244
1.35,60.40672570063758
1.355,60.30576875106143
1.36,60.087971220917815
1.365,59.950507793100584
1.37,59.61029801651265
1.375,59.28526417074172
1.38,59.20353846932621
1.385,58.906935940248275
1.39,58.657236455031615
1.395,58.46886858046373
1.4,58.40670428176365
1.405,58.08993214302159
1.41,57.94727331789833
1.415,57.86402488204701
1.42,57.758140323976924
1.425,57.64574831332996
1.43,57.74792434326176
1.435,57.80355585242891
1.44,57.51761310742854
1.445,57.34113185104179
1.45,57.13070308687834
1.455,57.055825589157315
1.46,56.769250730163535
1.465,56.67143522536754
1.47,56.50216118187525
1.475,56.497258789567994
1.48,56.41911161297908
1.485,56.3053234705648
1.49,56.15957627752615
