time,infected STD
0.0,0.0
0.005,0.3104834939252005
0.01,0.48774993593028815
0.015,0.5595533933415112
0.02,0.5722761571129805
0.025,0.6333245613427605
0.03,0.6539113089708731
0.035,0.7533259586659682
0.04,0.8255906976220122
0.045,0.8352245207128453
0.05,0.8890444308357135
0.055,0.915368778143542
0.06,0.9184770002564028
0.065,0.9199999999999996
0.07,1.0242558274181315
0.075,1.0793979803575693
0.08,1.1479982578384
0.085,1.1652896635600956
0.09,1.2101239605924667
0.095,1.22225201983879
0.1,1.2335315156087423
0.105,1.2678722333105965
0.11,1.2599603168354152
0.115,1.2694880858046673
0.12,1.3642213896578508
0.125,1.3932336487466834
0.13,1.4585952145814822
0.135,1.4715977711317716
0.14,1.526433752247375
0.145,1.5350570021989416
0.15,1.5776881821196482
0.155,1.6332482971061075
0.16,1.6964374435858225
0.165,1.8165902124584947
0.17,1.8455080601287002
0.175,1.8254862365956093
0.18,1.8661189672686995
0.185,1.8674849396983098
0.19,1.8925115587493764
0.195,1.9918584287042091
0.2,2.03066491573573
0.205,2.099904759745069
0.21,2.1377324435017595
0.215,2.211130932351134
0.22,2.233472632471685
0.225,2.328862383224908
0.23,2.4027276166889995
0.235,2.476671152979336
0.24,2.501419596948901
0.245,2.5099800796022267
0.25,2.5125883069058474
0.255,2.4943736688796245
0.26,2.5238660820257475
0.265,2.511473670974872
0.27,2.5638057648737735
0.275,2.5339889502521515
0.28,2.5522343152618268
0.285,2.5886482959258874
0.29,2.658477007611689
0.295,2.7125449305034572
0.3,2.750708999512671
0.305,2.8264996019812205
0.31,2.875760768909681
0.315,2.91922935035944
0.32,2.9257477676655586
0.325,2.9604729351912673
0.33,2.9491693745866816
0.335,2.984543516184678
0.34,3.025541273888032
0.345,3.038601652076164
0.35,3.068159057154632
0.355,3.12568392515942
0.36,3.1319482754349566
0.365,3.0973537092169505
0.37,3.1069438359906014
0.375,3.1505396363162923
0.38,3.2206210581190704
0.385,3.2505230348360863
0.39,3.27566787083184
0.395,3.357141641337166
0.4,3.4245437652335537
0.405,3.427827300200522
0.41,3.476550014022522
0.415,3.4730246183982048
0.42,3.519999999999999
0.425,3.601610750761387
0.43,3.644324354389988
0.435,3.6732955230963937
0.44,3.71078158883004
0.445,3.8577065725635498
0.45,3.987480407475377
0.455,4.009226858136117
0.46,4.055551750378732
0.465,4.130811058375824
0.47,4.160516794822489
0.475,4.279018579066934
0.48,4.375968464237374
0.485,4.396487234145006
0.49,4.40681290730614
0.495,4.47410326210739
0.5,4.580392996239516
0.505,4.603683307961137
0.51,4.610466353851853
0.515,4.666861900678012
0.52,4.7691823198531615
0.525,4.839462780102768
0.53,4.923118930109243
0.535,4.8695379657622535
0.54,4.867237409455182
0.545,4.915282290977805
0.55,4.9234134500364695
0.555,4.972836212866858
0.56,5.066310294484537
0.565,5.119873045301026
0.57,5.16550094376141
0.575,5.238320341483517
0.58,5.258621492368509
0.585,5.354353368988639
0.59,5.373862670370356
0.595,5.42202914046024
0.6,5.44661362683273
0.605,5.527847682416728
0.61,5.577983506608819
0.615,5.633640031098897
0.62,5.752251733017254
0.625,5.831260584127587
0.63,5.895243845677635
0.635,5.947402794497781
0.64,6.060528029800704
0.645,6.099180272790763
0.65,6.1201633965115665
0.655,6.187083319303205
0.66,6.177985108431389
0.665,6.270653873401084
0.67,6.261277824853325
0.675,6.322151532508533
0.68,6.356099432828282
0.685,6.389640052459919
0.69,6.428654602636541
0.695,6.402999297204397
0.7,6.518926291959436
0.705,6.513493686187158
0.71,6.640963785475718
0.715,6.755582876406743
0.72,6.805137764953771
0.725,6.950474803925269
0.73,7.025176154375063
0.735,7.000421415886333
0.74,7.062180966245482
0.745,7.112489015808741
0.75,7.200687467179783
0.755,7.296101698852614
0.76,7.36382373498986
0.765,7.3707190965332545
0.77,7.4043973421204266
0.775,7.359966032530314
