time,infected upper
0.0,3.0
0.005,3.3704834939252004
0.01,3.5977499359302882
0.015,3.689553393341511
0.02,3.7222761571129803
0.025,3.8033245613427606
0.03,3.8339113089708734
0.035,4.003325958665968
0.04,4.105590697622012
0.045,4.155224520712845
0.05,4.249044430835713
0.055,4.305368778143542
0.06,4.338477000256403
0.065,4.359999999999999
0.07,4.554255827418132
0.075,4.649397980357569
0.08,4.7579982578384
0.085,4.775289663560096
0.09,4.870123960592467
0.095,4.91225201983879
0.1,4.953531515608742
0.105,5.017872233310596
0.11,5.009960316835415
0.115,5.049488085804667
0.12,5.194221389657851
0.125,5.2232336487466835
0.13,5.308595214581482
0.135,5.351597771131772
0.14,5.426433752247375
0.145,5.475057002198941
0.15,5.547688182119648
0.155,5.683248297106108
0.16,5.806437443585823
0.165,6.016590212458495
0.17,6.0555080601287
0.175,6.085486236595609
0.18,6.106118967268699
0.185,6.1174849396983095
0.19,6.172511558749377
0.195,6.341858428704208
0.2,6.4506649157357305
0.205,6.5799047597450695
0.21,6.647732443501759
0.215,6.741130932351134
0.22,6.773472632471686
0.225,6.908862383224908
0.23,7.032727616689
0.235,7.166671152979337
0.24,7.231419596948902
0.245,7.3099800796022265
0.25,7.3825883069058476
0.255,7.404373668879625
0.26,7.513866082025748
0.265,7.5614736709748716
0.27,7.693805764873773
0.275,7.7039889502521515
0.28,7.742234315261827
0.285,7.758648295925887
0.29,7.908477007611689
0.295,8.102544930503457
0.3,8.19070899951267
0.305,8.296499601981221
0.31,8.37576076890968
0.315,8.50922935035944
0.32,8.525747767665559
0.325,8.620472935191268
0.33,8.62916937458668
0.335,8.734543516184678
0.34,8.835541273888031
0.345,8.908601652076165
0.35,8.988159057154633
0.355,9.11568392515942
0.36,9.161948275434957
0.365,9.17735370921695
0.37,9.236943835990601
0.375,9.360539636316293
0.38,9.48062105811907
0.385,9.540523034836086
0.39,9.57566787083184
0.395,9.717141641337166
0.4,9.874543765233554
0.405,9.927827300200523
0.41,10.036550014022522
0.415,10.063024618398204
0.42,10.159999999999998
0.425,10.381610750761388
0.43,10.474324354389989
0.435,10.543295523096393
0.44,10.70078158883004
0.445,10.94770657256355
0.45,11.187480407475377
0.455,11.319226858136116
0.46,11.40555175037873
0.465,11.550811058375825
0.47,11.65051679482249
0.475,11.779018579066934
