Number of Sentinels,Change in EDP from baseline (%),Standard Error
0.0,16.711012941049155,0.7179050865599543
1.0,11.30893651692903,0.6793712627131568
2.0,6.5698262856706435,0.6463629754311331
3.0,2.6194007524013743,0.6200859793230991
4.0,-0.5693934320833599,0.598007988415108
5.0,-3.0258375398639017,0.582492201223387
6.0,-5.46859583569387,0.5635342764995122
7.0,-7.342597248833524,0.5512935523281505
8.0,-8.842625893556212,0.5423701630415783
9.0,-9.835006397321395,0.5369372219893657
10.0,-10.856986447863422,0.5299180795480669
11.0,-11.683864109435575,0.5232572414814601
12.0,-12.302590119480326,0.5206464506164287
13.0,-12.857342915523532,0.5180557892106497
14.0,-13.193759269750537,0.5167755556021995
15.0,-13.542270062445493,0.5126771976984185
16.0,-13.864682330025403,0.5103764005058734
17.0,-14.093521836826932,0.5089391571152547
18.0,-14.29944556547866,0.5089049370345258
19.0,-14.312176553339652,0.5075220431838885
20.0,-14.314404476215337,0.5078863863963562
21.0,-14.343367473599113,0.5076589235068045
22.0,-14.014271437392182,0.5092712931929188
23.0,-13.621520461880241,0.5134179617989054
24.0,-13.252003539214622,0.5171680800576205
25.0,-12.914314086201523,0.5184120806394165
26.0,-12.58776424756679,0.5214878620131774
27.0,-12.06006480072821,0.5267013919595394
28.0,-11.606523358179976,0.5304092383538245
29.0,-11.149799168666497,0.5327039967085939
30.0,-10.633557610902818,0.5354254995995132
31.0,-10.23635078963952,0.5377101932246563
32.0,-9.63767608547585,0.5420038068831853
33.0,-8.808888775724556,0.5492886581866152
34.0,-8.221671960635788,0.5524872292618157
35.0,-7.421211098875214,0.557483361048252
36.0,-6.530360223301526,0.5627049427783148
37.0,-5.53670662075024,0.5683774243956305
38.0,-4.679274588311685,0.5731561580221414
39.0,-3.6410625282468767,0.5797364782517387
40.0,-2.63881550888941,0.5871863911210379
41.0,-1.7425539634747937,0.5928769892516808
42.0,-0.6957484866038159,0.5997914585048673
43.0,0.3707900214517099,0.6066374875965956
44.0,1.5538170684354289,0.6146973230812417
45.0,2.7253862263442246,0.6222438573549524
46.0,3.8539883002221584,0.6292972198769802
47.0,5.2839965117093275,0.6380998324080382
48.0,6.749651489207315,0.6454974086832813
49.0,8.011292386232713,0.6527721952570852
50.0,9.367779142822597,0.6606226843655065
