time,detectable crops STD
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.13999999999999993
4.0,0.1959591794226541
5.0,0.1959591794226541
6.0,0.21794494717703367
7.0,0.25514701644346155
8.0,0.27129319932501084
9.0,0.27129319932501084
10.0,0.27129319932501084
11.0,0.27129319932501084
12.0,0.27129319932501084
13.0,0.2861817604250837
14.0,0.2999999999999998
15.0,0.2999999999999998
16.0,0.3249615361854386
17.0,0.33630343441600447
18.0,0.33630343441600447
19.0,0.3469870314579495
20.0,0.3840572873934309
21.0,0.4176122603564224
22.0,0.47021271782035
23.0,0.48363209157375014
24.0,0.48363209157375014
25.0,0.4898979485566351
26.0,0.49588305072869754
27.0,0.49588305072869754
28.0,0.49588305072869754
29.0,0.5314132102234574
30.0,0.5361902647381804
31.0,0.5407402333838306
32.0,0.5450688029964663
33.0,0.5670978751503125
34.0,0.5744562646538027
35.0,0.5948949487094338
36.0,0.6009159675029441
37.0,0.6036555309114632
38.0,0.6224949798994366
39.0,0.6224949798994366
40.0,0.661740130262628
41.0,0.6941901756723448
42.0,0.6941901756723448
43.0,0.710703876449256
44.0,0.710703876449256
45.0,0.7116178749862885
46.0,0.7273926037567335
47.0,0.7413501197140262
48.0,0.7415524256584962
49.0,0.7549834435270749
50.0,0.7547184905645287
51.0,0.8039900496896709
52.0,0.8377947242612602
53.0,0.8472897969408111
54.0,0.8562125904236635
55.0,0.8562125904236635
56.0,0.8874119674649426
57.0,0.8856635930193807
58.0,0.8818163074019447
59.0,0.8797158632194836
60.0,0.8774964387392122
61.0,0.8751571287488895
62.0,0.884081444212014
63.0,0.8986100377805715
64.0,0.8986100377805715
65.0,0.9442457307290306
66.0,0.9454628496138808
67.0,0.9492628719169411
68.0,0.9450396817065416
69.0,0.9407975340103742
70.0,0.9478396488858223
71.0,0.9478396488858223
72.0,0.9538867857350786
73.0,0.9538867857350786
74.0,0.9591663046625439
75.0,0.958957767578948
76.0,0.9583318840568745
77.0,0.9676776322722358
78.0,0.9807650075323859
79.0,0.9807650075323859
80.0,0.9888882646689673
81.0,0.9965440281292146
82.0,1.026839812239475
83.0,1.0235233265539179
84.0,1.0543244282477764
85.0,1.0474254150057651
86.0,1.0712142642814275
87.0,1.0777754868245988
88.0,1.0816653826391966
89.0,1.0816653826391966
90.0,1.0759182125050222
91.0,1.0759182125050222
92.0,1.0775435026020992
93.0,1.0632027088001603
94.0,1.0760576192751028
95.0,1.070093453862792
96.0,1.0992724866929044
97.0,1.0999545445153627
98.0,1.1083320801997936
99.0,1.0879338215167316
100.0,1.0871522432483867
101.0,1.1215614116043766
102.0,1.1104503590885995
103.0,1.1244554237496476
104.0,1.1303096920755842
105.0,1.1197767634667197
106.0,1.1191067866830227
107.0,1.16258333034669
108.0,1.1772425408555365
109.0,1.1864231959971105
110.0,1.192098989178331
111.0,1.213713310465038
112.0,1.210619676033724
113.0,1.2074352984735879
114.0,1.2124355652982144
115.0,1.1901260437449477
116.0,1.2158947322856526
117.0,1.2245815611873305
118.0,1.2287798826478238
119.0,1.2408061895396882
120.0,1.2483589227461782
121.0,1.2430205147140576
122.0,1.2430205147140576
123.0,1.2383860464330179
124.0,1.2561448961007653
125.0,1.2414104881142247
126.0,1.2751078385768002
127.0,1.2794920867281676
128.0,1.306101068064796
129.0,1.321930406640229
130.0,1.3240468269664782
131.0,1.3174217244299564
132.0,1.3273658124270036
133.0,1.3588230201170426
134.0,1.374445342674637
135.0,1.452274078815704
136.0,1.4921125962875597
137.0,1.5105959089048266
138.0,1.546964770122448
139.0,1.5740393895960791
140.0,1.5588457268119897
141.0,1.5990934932016956
142.0,1.6018426889054986
143.0,1.6393596310755008
144.0,1.6241613220367004
145.0,1.6147755261955141
