time,detectable sentinels STD
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.09949874371066196
4.0,0.09949874371066196
5.0,0.13999999999999987
6.0,0.13999999999999987
7.0,0.13999999999999987
8.0,0.13999999999999987
9.0,0.1705872210923197
10.0,0.2374868417407579
11.0,0.2374868417407579
12.0,0.2861817604250836
13.0,0.29999999999999977
14.0,0.31288975694324056
15.0,0.3363034344160044
16.0,0.39293765408777054
17.0,0.4093897898091749
18.0,0.44988887516808024
19.0,0.49152822909777977
20.0,0.5301886456724618
21.0,0.5771481612203232
22.0,0.6179805822192151
23.0,0.6193545026880811
24.0,0.6205642593640078
25.0,0.6696267617113281
26.0,0.6999285677838842
27.0,0.6997142273814363
28.0,0.7507329751649381
29.0,0.7601973427998814
30.0,0.7586830695356259
31.0,0.7810249675906662
32.0,0.7981854421122946
33.0,0.7947326594522217
34.0,0.8330066026148892
35.0,0.8905616205518856
36.0,0.9467840302835704
37.0,0.9643132271207318
38.0,0.9844287683728064
39.0,1.0223013254417714
40.0,1.0760576192751026
41.0,1.0772186407596178
42.0,1.0712609392673655
43.0,1.0756858277396795
44.0,1.0981347822558036
45.0,1.1
46.0,1.1124747188138713
47.0,1.1661903789690595
48.0,1.1689311356961964
49.0,1.2041179344233686
50.0,1.2365678307314973
51.0,1.2430205147140574
52.0,1.2690153663372246
53.0,1.2624975247500496
54.0,1.3143439428094916
55.0,1.3592645070036953
56.0,1.3758997056471822
57.0,1.4026760139105539
58.0,1.4136477637657834
59.0,1.4798648586948746
60.0,1.458595214581482
61.0,1.522202351857334
62.0,1.5600961508830162
63.0,1.5835087622113118
64.0,1.5948667655951705
65.0,1.5968719422671311
66.0,1.6078246173012785
67.0,1.6234531098864546
68.0,1.6618062462272793
69.0,1.696201638956878
70.0,1.710993863226868
71.0,1.6808033793397723
72.0,1.7172943836162746
73.0,1.7488281790959346
74.0,1.7904189453868047
75.0,1.7891618149289898
76.0,1.8020821290940099
77.0,1.7571283390805579
78.0,1.7958563416932887
79.0,1.8027479025088338
80.0,1.8335484722253723
81.0,1.8318296864064627
82.0,1.901867503271456
83.0,1.9004210059878857
84.0,1.9238243163033368
85.0,1.9467922333931786
86.0,1.9619123323940855
87.0,1.9563997546513847
88.0,2.031649576083435
89.0,2.0788458336298032
90.0,2.1349238862310767
91.0,2.179242987828571
92.0,2.174764355050909
93.0,2.264398374844851
94.0,2.3259406699226015
95.0,2.330579327120193
96.0,2.3791595154591896
97.0,2.3851834311012645
98.0,2.3717293268836563
99.0,2.4065743287918626
100.0,2.401228852067207
101.0,2.3985620692406524
102.0,2.417933001553186
103.0,2.5023788681972197
104.0,2.586503431275513
105.0,2.6327931935493907
106.0,2.6954776942130327
107.0,2.7117522010685264
108.0,2.6907248094147422
109.0,2.6958301133417146
110.0,2.7006665843824553
111.0,2.726517925853415
112.0,2.757879620288021
113.0,2.743628983663789
114.0,2.7832355272236664
115.0,2.7727964223866124
116.0,2.7545417041678637
117.0,2.7317393726342187
118.0,2.70192523952829
119.0,2.778200856669654
120.0,2.7980528944249787
121.0,2.8508770580296847
122.0,2.828851356999869
123.0,2.884441020371191
124.0,2.87560428432008
125.0,2.899379243907219
126.0,2.965316172012691
127.0,3.003331483536242
128.0,3.045964543457457
129.0,3.0429590861528206
130.0,3.087652830225575
131.0,3.0682894257224183
132.0,3.172680254926424
133.0,3.184336665618131
134.0,3.1825147289525617
135.0,3.2068052638100744
136.0,3.2381939410727085
137.0,3.243454948045371
138.0,3.2829712152256207
139.0,3.334666400106613
140.0,3.309743192454665
141.0,3.4213886069840127
142.0,3.4482459309045805
143.0,3.404041715373064
144.0,3.403689174998211
145.0,3.4365680554879168
146.0,3.47856292166751
147.0,3.5593679214152623
