Nsentinel,EDP STD
0,9.506554797979346
1,8.93614535902091
2,8.561434596974774
3,8.473982537470294
4,7.8454400580984265
5,7.577848790405456
6,7.778499117829678
7,8.579954014116495
8,9.076696333277356
9,8.150842033209829
10,8.708245369474035
11,8.265749071303254
12,8.305149619608406
13,8.695588111663854
14,7.508151216769515
15,9.058338712300248
16,7.1239264059675484
17,9.302686857378353
18,7.217165918851162
19,9.314006422923404
20,7.717964084816183
21,7.712209950002995
22,9.721565899453394
23,8.198863037155872
24,8.533369260128454
25,7.7247827465065715
26,8.398075365300665
27,8.32484089720151
28,8.976703736746817
29,10.1322131049257
30,8.958959892659228
31,9.422900844085131
32,9.110081331108436
33,9.410758353560869
34,8.26605061342865
35,9.137056642137699
36,8.747699613388487
37,9.028117880912683
38,8.984581350336608
39,11.110694159977282
40,9.729147315309456
41,9.003128909369796
42,10.549837926343173
43,11.01912791673422
44,9.960452001873843
45,10.25919402933385
46,10.203251271429933
47,12.14441730406728
48,10.734517997748707
49,11.280396416379062
50,11.496133629850263
