Nsentinel,EDP mean
0,8.889523809523808
1,7.974285714285717
2,7.59047619047619
3,7.048571428571428
4,7.343809523809528
5,6.825714285714287
6,7.044761904761904
7,7.425714285714284
8,7.729523809523807
9,7.587619047619045
10,7.540952380952377
11,7.739999999999997
12,7.479047619047622
13,7.763809523809524
14,8.866666666666665
15,8.199047619047615
16,9.185714285714285
17,8.78761904761905
18,8.856190476190477
19,9.677142857142854
20,8.515238095238093
21,9.513333333333334
22,10.160952380952379
23,9.880000000000003
24,11.019047619047615
25,10.742857142857137
