time,undetectable crops mean
0.0,5.0
1.0,5.0
2.0,5.0
3.0,5.0
4.0,5.0
5.0,5.0
6.0,5.0
7.0,5.0
8.0,5.0
9.0,5.0
10.0,5.0
11.0,5.0
12.0,5.0
13.0,4.5
14.0,4.5
15.0,4.5
16.0,4.5
17.0,4.5
18.0,4.5
19.0,4.5
20.0,4.5
21.0,4.5
22.0,4.5
23.0,4.5
24.0,4.5
25.0,4.5
26.0,4.5
27.0,4.5
28.0,4.5
29.0,4.5
30.0,4.5
31.0,4.5
32.0,4.0
33.0,4.0
34.0,4.0
35.0,4.0
36.0,4.0
37.0,4.0
38.0,4.0
39.0,4.0
40.0,4.0
41.0,4.0
42.0,4.0
43.0,4.0
44.0,4.0
45.0,4.0
46.0,4.0
47.0,4.0
48.0,4.0
49.0,4.0
50.0,4.0
51.0,4.0
52.0,4.0
53.0,4.0
54.0,4.0
55.0,4.0
56.0,4.0
57.0,4.0
58.0,4.0
59.0,4.0
60.0,4.0
61.0,4.0
62.0,4.0
63.0,4.0
64.0,4.0
65.0,4.0
66.0,4.0
67.0,4.0
68.0,4.0
69.0,4.0
70.0,4.0
71.0,4.0
72.0,4.0
73.0,4.5
74.0,5.0
75.0,5.0
76.0,5.0
77.0,5.0
78.0,5.0
79.0,5.0
80.0,5.0
81.0,5.0
82.0,5.0
83.0,5.0
84.0,5.0
85.0,5.0
86.0,5.0
87.0,5.0
88.0,5.0
89.0,5.0
90.0,4.5
91.0,4.5
92.0,4.5
93.0,4.5
94.0,4.5
95.0,4.5
96.0,4.5
97.0,4.5
98.0,4.5
99.0,4.5
100.0,4.5
101.0,4.5
102.0,4.5
103.0,4.5
104.0,4.5
105.0,4.5
106.0,4.5
107.0,4.5
108.0,4.5
109.0,4.5
110.0,4.5
111.0,4.5
112.0,4.5
113.0,4.5
114.0,4.5
115.0,4.5
116.0,4.5
117.0,4.5
118.0,4.5
119.0,4.5
120.0,4.5
121.0,4.5
122.0,4.5
123.0,4.5
124.0,4.5
125.0,4.5
126.0,4.5
127.0,4.5
128.0,4.5
129.0,4.5
130.0,4.5
131.0,4.5
132.0,4.5
133.0,4.5
134.0,4.5
135.0,4.5
136.0,4.5
137.0,4.5
138.0,4.5
139.0,4.5
140.0,4.5
141.0,4.5
142.0,4.5
143.0,4.5
144.0,4.5
145.0,4.5
146.0,4.5
147.0,4.5
148.0,5.0
149.0,5.0
150.0,5.0
151.0,5.0
152.0,5.0
153.0,5.0
154.0,5.0
155.0,5.0
156.0,5.0
157.0,5.0
158.0,5.0
159.0,5.0
160.0,5.0
161.0,5.0
162.0,5.0
163.0,5.0
164.0,5.0
165.0,5.0
166.0,5.0
167.0,5.0
168.0,5.0
169.0,5.0
170.0,5.0
171.0,5.0
172.0,5.0
173.0,5.0
174.0,5.0
175.0,5.0
176.0,5.0
177.0,5.0
178.0,5.0
179.0,5.0
180.0,5.0
181.0,5.0
182.0,5.0
183.0,5.0
184.0,5.0
185.0,5.0
186.0,5.0
187.0,5.0
188.0,5.0
189.0,5.0
190.0,5.0
191.0,5.0
192.0,5.0
193.0,5.0
194.0,5.0
195.0,5.0
196.0,5.0
197.0,5.0
198.0,5.0
199.0,5.0
200.0,5.0
201.0,5.0
202.0,4.5
203.0,4.5
204.0,4.5
205.0,4.5
206.0,4.5
207.0,4.5
208.0,4.5
209.0,4.5
210.0,4.5
211.0,4.5
212.0,4.5
213.0,4.5
214.0,4.5
215.0,4.5
216.0,4.5
217.0,4.5
218.0,4.5
219.0,4.5
220.0,4.5
221.0,4.5
222.0,4.5
223.0,4.5
224.0,4.5
225.0,4.5
226.0,4.5
227.0,4.5
228.0,4.5
229.0,4.5
230.0,4.5
231.0,4.5
232.0,4.5
233.0,4.5
234.0,4.5
235.0,4.5
236.0,4.5
237.0,4.5
238.0,4.5
239.0,4.5
240.0,4.5
241.0,4.5
242.0,4.5
243.0,4.5
244.0,4.5
245.0,4.5
246.0,4.5
247.0,4.5
248.0,4.5
249.0,4.5
250.0,4.5
251.0,4.5
252.0,4.5
253.0,4.5
254.0,4.5
255.0,4.5
256.0,4.5
257.0,4.5
258.0,4.5
259.0,4.5
260.0,4.5
261.0,4.5
262.0,4.5
263.0,5.0
264.0,5.0
265.0,5.0
266.0,5.0
267.0,5.0
268.0,5.0
269.0,5.0
270.0,5.0
271.0,5.0
272.0,5.0
273.0,5.0
274.0,5.0
275.0,5.0
276.0,5.0
277.0,5.0
278.0,5.0
279.0,5.0
280.0,5.0
281.0,5.0
282.0,5.0
283.0,5.0
284.0,5.0
285.0,5.0
286.0,5.0
287.0,5.0
288.0,5.0
289.0,5.0
290.0,5.0
291.0,5.0
292.0,5.0
293.0,5.0
294.0,5.0
295.0,5.0
296.0,5.0
297.0,5.0
298.0,5.0
299.0,4.5
300.0,5.0
301.0,5.0
302.0,5.0
303.0,5.0
304.0,5.0
305.0,5.0
306.0,5.0
307.0,5.0
308.0,5.0
309.0,5.0
310.0,5.0
311.0,5.0
312.0,5.0
313.0,5.0
314.0,5.0
315.0,5.0
316.0,5.0
317.0,5.0
318.0,5.0
319.0,5.0
320.0,5.0
321.0,5.0
322.0,5.0
323.0,5.0
324.0,5.0
325.0,5.0
326.0,5.0
327.0,5.0
328.0,5.0
329.0,5.0
330.0,5.0
331.0,5.0
332.0,5.0
333.0,5.5
334.0,5.5
335.0,5.5
336.0,5.5
337.0,5.5
338.0,5.5
339.0,5.5
340.0,5.5
341.0,5.5
342.0,5.5
343.0,5.5
344.0,5.5
345.0,5.5
346.0,5.5
347.0,5.5
348.0,5.5
349.0,5.5
350.0,6.0
351.0,6.0
352.0,6.0
353.0,6.0
354.0,5.5
355.0,5.5
356.0,5.5
357.0,5.5
358.0,5.5
359.0,5.5
360.0,5.5
361.0,5.5
362.0,5.5
363.0,5.5
364.0,6.0
365.0,6.0
366.0,6.0
367.0,6.0
368.0,6.0
369.0,6.0
370.0,6.0
371.0,6.0
372.0,6.0
373.0,6.0
374.0,6.0
375.0,6.0
376.0,6.0
377.0,6.0
378.0,6.0
379.0,6.0
380.0,6.0
381.0,6.0
382.0,6.0
383.0,6.0
384.0,6.0
385.0,6.0
386.0,6.0
387.0,6.0
388.0,6.0
389.0,6.0
390.0,6.0
391.0,6.5
392.0,6.5
393.0,6.5
394.0,6.5
395.0,6.5
396.0,6.5
397.0,6.5
398.0,6.5
399.0,6.5
400.0,6.5
401.0,6.5
402.0,6.5
403.0,7.0
404.0,7.0
405.0,7.0
406.0,7.0
407.0,7.0
408.0,7.0
409.0,7.0
410.0,7.0
411.0,7.0
412.0,7.0
413.0,7.0
414.0,7.0
415.0,7.0
416.0,7.0
417.0,7.0
418.0,7.0
419.0,7.0
420.0,7.0
421.0,7.0
422.0,6.5
423.0,6.5
424.0,6.5
425.0,6.5
426.0,6.5
427.0,6.5
428.0,6.5
429.0,6.5
430.0,6.5
431.0,6.5
432.0,6.5
433.0,6.5
434.0,6.5
435.0,6.5
436.0,6.5
437.0,6.5
438.0,6.5
439.0,6.5
440.0,6.5
441.0,6.5
442.0,6.0
443.0,6.5
444.0,6.5
445.0,6.5
446.0,6.5
447.0,6.5
448.0,6.5
449.0,6.5
450.0,7.0
451.0,7.0
452.0,7.0
453.0,7.0
454.0,7.0
455.0,7.0
456.0,7.0
457.0,7.0
458.0,7.0
459.0,7.0
460.0,7.0
461.0,7.0
462.0,7.0
463.0,7.0
464.0,7.0
465.0,7.0
466.0,7.0
467.0,7.0
468.0,7.0
469.0,7.0
470.0,7.0
471.0,7.0
472.0,7.0
473.0,7.0
474.0,7.0
475.0,7.0
476.0,7.0
477.0,7.0
478.0,7.0
479.0,7.0
480.0,7.0
481.0,7.0
482.0,7.5
483.0,7.0
484.0,7.0
485.0,7.0
486.0,7.0
487.0,7.0
488.0,7.0
489.0,7.0
490.0,7.0
491.0,7.0
492.0,7.0
493.0,7.0
494.0,7.0
495.0,7.0
496.0,7.0
497.0,7.0
498.0,7.0
499.0,7.0
500.0,7.0
501.0,7.0
502.0,6.5
503.0,6.5
504.0,6.5
505.0,6.5
506.0,6.5
507.0,6.5
508.0,6.5
509.0,7.0
510.0,7.0
511.0,7.0
512.0,7.0
513.0,7.0
514.0,7.0
515.0,7.0
516.0,7.0
517.0,7.0
518.0,7.0
519.0,7.0
520.0,7.0
521.0,7.0
522.0,7.0
523.0,7.0
524.0,7.5
525.0,8.0
526.0,8.0
527.0,8.0
528.0,8.0
529.0,8.0
530.0,8.0
531.0,8.0
532.0,8.0
533.0,8.0
534.0,8.0
535.0,8.0
536.0,8.0
537.0,8.0
538.0,8.0
539.0,8.0
540.0,8.5
541.0,8.5
542.0,8.5
543.0,8.5
544.0,9.0
545.0,9.0
546.0,9.0
547.0,9.0
548.0,9.0
549.0,9.0
550.0,9.0
551.0,9.5
552.0,9.0
553.0,9.0
554.0,9.0
555.0,9.0
556.0,9.0
557.0,9.5
558.0,10.0
559.0,10.0
560.0,10.0
561.0,10.5
562.0,10.5
563.0,10.5
564.0,10.5
565.0,10.5
566.0,10.5
567.0,10.5
568.0,10.5
569.0,10.5
570.0,11.0
571.0,11.0
572.0,11.5
573.0,12.0
574.0,12.0
575.0,12.0
576.0,12.0
577.0,12.0
578.0,12.0
579.0,12.5
580.0,13.0
581.0,13.0
582.0,13.0
583.0,13.0
584.0,13.0
585.0,13.5
586.0,13.5
587.0,13.5
588.0,13.5
589.0,13.5
590.0,14.0
591.0,14.0
592.0,14.5
593.0,15.0
594.0,15.0
595.0,15.5
596.0,15.5
597.0,15.5
598.0,14.5
599.0,14.0
600.0,14.0
601.0,14.5
602.0,15.0
603.0,15.0
604.0,14.5
605.0,14.5
606.0,14.5
607.0,14.5
608.0,14.5
609.0,14.5
610.0,14.0
611.0,14.5
612.0,14.0
613.0,14.5
614.0,14.5
615.0,14.5
616.0,15.0
617.0,15.0
618.0,14.5
619.0,14.5
620.0,14.5
621.0,14.5
622.0,15.0
623.0,15.0
624.0,15.5
625.0,15.5
626.0,15.5
627.0,15.5
628.0,15.5
629.0,15.5
630.0,15.5
631.0,15.5
632.0,15.5
633.0,15.5
634.0,16.0
635.0,16.0
636.0,16.0
637.0,16.0
638.0,16.0
639.0,16.0
640.0,16.0
641.0,16.0
642.0,16.0
643.0,16.0
644.0,16.0
645.0,16.0
646.0,16.0
647.0,16.0
648.0,16.0
649.0,16.0
650.0,16.0
651.0,16.0
652.0,16.0
653.0,16.0
654.0,16.0
655.0,16.0
656.0,16.0
657.0,16.0
658.0,16.0
659.0,16.0
660.0,16.0
661.0,16.0
662.0,16.0
663.0,16.0
664.0,16.0
665.0,16.0
666.0,15.5
667.0,15.5
668.0,15.5
669.0,15.5
670.0,15.5
671.0,15.5
672.0,15.5
673.0,15.5
674.0,15.5
675.0,16.0
676.0,16.0
677.0,16.0
678.0,16.0
679.0,16.5
680.0,16.5
681.0,16.5
682.0,17.0
683.0,17.0
684.0,17.0
685.0,17.0
686.0,17.0
687.0,17.0
688.0,17.0
689.0,17.0
690.0,17.0
691.0,17.0
692.0,17.0
693.0,18.0
694.0,18.0
695.0,18.0
696.0,18.0
697.0,18.0
698.0,18.0
699.0,18.5
700.0,18.5
701.0,19.0
702.0,19.0
703.0,19.0
704.0,19.0
705.0,19.0
706.0,19.0
707.0,19.5
708.0,19.0
709.0,20.0
710.0,20.0
711.0,20.0
712.0,20.5
713.0,20.5
714.0,20.5
715.0,21.0
716.0,21.0
717.0,21.0
718.0,21.0
719.0,21.0
720.0,21.0
721.0,21.0
722.0,21.0
723.0,21.5
724.0,22.0
725.0,22.0
726.0,22.0
727.0,22.0
728.0,22.0
729.0,22.0
730.0,22.0
731.0,22.0
732.0,21.0
733.0,21.0
734.0,21.0
735.0,20.5
736.0,20.5
737.0,20.5
738.0,20.5
739.0,21.0
740.0,21.0
741.0,21.0
742.0,21.5
743.0,21.5
744.0,21.5
745.0,21.5
746.0,21.5
747.0,21.5
748.0,21.5
749.0,22.0
750.0,22.0
751.0,22.0
752.0,22.0
753.0,22.0
754.0,22.0
755.0,22.0
756.0,22.0
757.0,22.0
758.0,22.0
759.0,22.0
760.0,22.0
761.0,22.0
762.0,21.5
763.0,21.5
764.0,21.5
765.0,22.0
766.0,22.0
767.0,22.5
768.0,22.5
769.0,22.5
770.0,22.5
771.0,23.0
772.0,23.5
773.0,23.5
774.0,23.5
775.0,23.5
776.0,23.0
777.0,23.0
778.0,23.0
779.0,23.5
780.0,24.0
781.0,24.0
782.0,24.0
783.0,24.0
784.0,24.0
785.0,24.0
786.0,24.0
787.0,24.5
788.0,24.5
789.0,24.5
790.0,24.5
791.0,24.5
792.0,25.0
793.0,25.5
794.0,25.5
795.0,25.5
796.0,25.5
797.0,26.0
798.0,26.0
799.0,26.0
800.0,26.0
801.0,26.5
802.0,26.5
803.0,27.0
804.0,27.0
805.0,26.5
806.0,26.5
807.0,26.5
808.0,26.5
809.0,26.5
810.0,26.5
811.0,26.5
812.0,27.0
813.0,27.0
814.0,27.0
815.0,27.0
816.0,28.0
817.0,28.5
818.0,28.5
819.0,28.5
820.0,28.5
821.0,28.5
822.0,29.5
823.0,29.5
824.0,30.0
825.0,30.0
826.0,30.5
827.0,31.0
828.0,31.0
829.0,31.0
830.0,31.0
831.0,31.0
832.0,31.0
833.0,31.0
834.0,31.0
835.0,31.0
836.0,31.0
837.0,31.0
838.0,30.5
839.0,31.0
840.0,31.5
841.0,31.5
842.0,32.0
843.0,32.0
844.0,32.0
845.0,32.5
846.0,32.5
847.0,33.0
848.0,33.0
849.0,33.0
850.0,33.0
851.0,33.0
852.0,33.5
853.0,33.5
854.0,33.5
855.0,33.5
856.0,33.5
857.0,33.5
858.0,33.5
859.0,33.5
860.0,33.5
861.0,33.5
862.0,33.5
863.0,33.5
864.0,34.0
865.0,34.0
866.0,33.5
867.0,34.0
868.0,34.0
869.0,34.0
870.0,34.5
871.0,34.5
