Time,Healthy,Undetectable,Detectable
0,999,1,0
1,998,2,0
2,998,2,0
3,997,3,0
4,994,6,0
5,994,6,0
6,994,6,0
7,993,7,0
8,993,6,1
9,993,6,1
10,992,7,1
11,989,10,1
12,986,13,1
13,985,14,1
14,983,16,1
15,982,17,1
16,982,17,1
17,981,18,1
18,981,18,1
19,978,21,1
20,978,21,1
21,976,23,1
22,973,26,1
23,971,28,1
24,967,32,1
25,967,32,1
26,965,34,1
27,964,35,1
28,960,39,1
29,958,41,1
30,956,43,1
31,956,42,2
32,954,43,3
33,950,47,3
34,947,50,3
35,947,50,3
36,943,54,3
37,941,56,3
38,940,57,3
39,933,64,3
40,929,68,3
41,925,72,3
42,923,74,3
43,920,77,3
44,916,81,3
45,911,86,3
46,908,89,3
47,903,94,3
48,897,100,3
49,895,101,4
50,890,106,4
51,882,114,4
52,876,120,4
53,867,129,4
54,858,138,4
55,851,145,4
56,843,152,5
57,836,159,5
58,827,167,6
59,818,176,6
60,813,179,8
