Time,Healthy,Undetectable,Detectable
0,999,1,0
1,999,1,0
2,999,1,0
3,999,1,0
4,999,1,0
5,998,2,0
6,996,4,0
7,996,4,0
8,994,6,0
9,993,7,0
10,991,9,0
11,990,10,0
12,990,10,0
13,989,11,0
14,989,11,0
15,987,13,0
16,987,13,0
17,985,15,0
18,982,18,0
19,980,20,0
20,977,23,0
21,975,25,0
22,974,26,0
23,973,27,0
24,969,31,0
25,968,32,0
26,964,36,0
27,962,38,0
28,960,40,0
29,958,42,0
30,955,45,0
31,952,47,1
32,944,55,1
33,941,58,1
34,939,60,1
35,935,64,1
36,932,67,1
37,926,73,1
38,925,74,1
39,923,76,1
40,918,81,1
41,913,85,2
42,905,92,3
43,900,97,3
44,893,104,3
45,887,109,4
46,881,115,4
47,879,117,4
48,877,119,4
49,867,129,4
50,858,137,5
51,855,140,5
52,850,145,5
53,841,154,5
54,833,162,5
55,825,170,5
56,821,174,5
57,816,178,6
58,804,189,7
59,795,198,7
60,784,208,8
