Time,Healthy,Undetectable,Detectable
0,997,3,0
1,994,5,1
2,994,5,1
3,994,5,1
4,994,5,1
5,992,7,1
6,989,10,1
7,987,12,1
8,985,14,1
9,984,15,1
10,984,15,1
11,984,15,1
12,980,19,1
13,974,25,1
14,972,27,1
15,971,28,1
16,968,31,1
17,968,31,1
18,962,37,1
19,961,38,1
20,958,40,2
21,954,44,2
22,952,46,2
23,952,46,2
24,947,51,2
25,945,53,2
26,937,61,2
27,936,62,2
28,930,68,2
29,925,73,2
30,915,83,2
31,909,89,2
32,906,92,2
33,903,95,2
34,895,103,2
35,887,111,2
36,879,118,3
37,872,125,3
38,869,127,4
39,863,133,4
40,857,138,5
