time,recovered STD
0.0,0.0
0.005,0.14210359538237355
0.01,0.22110938752089923
0.015,0.24089322568140056
0.02,0.32371790655891924
0.025,0.32371790655891924
0.03,0.3480812993017344
0.035,0.35920105959142984
0.04,0.37962788947467946
0.045,0.37962788947467946
0.05,0.38903014977553
0.055,0.38903014977553
0.06,0.3979434858890466
0.065,0.42205132970017956
0.07,0.42205132970017956
0.075,0.42205132970017956
0.08,0.42205132970017956
0.085,0.42929201677643314
0.09,0.4426991866718332
0.095,0.476908598194655
0.1,0.5404264916322126
0.105,0.5509438851912325
0.11,0.5568919107657531
0.115,0.5642858632331551
0.12,0.5642858632331551
0.125,0.5682273723513681
0.13,0.5915046716610743
0.135,0.6095565154265766
0.14,0.6274277960702244
0.145,0.6599548772486277
0.15,0.6599548772486277
0.155,0.659471570792556
0.16,0.6738199850873483
0.165,0.6861674759708759
0.17,0.699817020555758
0.175,0.7115642856386557
0.18,0.7163279491150601
0.185,0.7282467221628597
0.19,0.7372395537641702
0.195,0.7769667497491451
0.2,0.8240976862561383
0.205,0.8328212547884827
0.21,0.8333315619777822
0.215,0.8371489505427547
0.22,0.8526215722942406
0.225,0.8695312529467857
0.23,0.8841971811295484
0.235,0.8909029979574551
0.24,0.8851582653058012
0.245,0.8957807833496263
0.25,0.8976771194933848
0.255,0.8976771194933848
0.26,0.9375210345888374
0.265,0.9343414482781193
0.27,0.9560431438655358
0.275,0.9579311323973057
0.28,0.966216454751339
0.285,0.9411416941053367
0.29,0.983226310727123
0.295,1.0286572934652713
0.3,1.039858227540145
0.305,1.0420023726592391
0.31,1.0633059858353244
0.315,1.0553801148098743
0.32,1.066101012024331
0.325,1.094144260735802
0.33,1.0837988949238286
0.335,1.1447477643291801
0.34,1.1447477643291801
0.345,1.1346764738872668
0.35,1.1491030757189915
0.355,1.1640814217150732
0.36,1.1855221865125816
0.365,1.2207683106798277
0.37,1.2142211846874602
0.375,1.2127322556360631
0.38,1.2842398427249706
0.385,1.2816717746738187
0.39,1.3032167499431322
0.395,1.4605013137877434
0.4,1.457879226728991
0.405,1.4900384854307003
0.41,1.4828168739270267
0.415,1.4848940003815125
0.42,1.5198407935820486
0.425,1.5095262035235575
0.43,1.5002745346955142
0.435,1.499424199542357
0.44,1.5004162103684007
0.445,1.5021860288731528
0.45,1.5329311062787119
0.455,1.5265392337234334
0.46,1.5272352983411233
0.465,1.5406767246574344
0.47,1.5661962074089024
0.475,1.6160266521638105
0.48,1.6800012146420755
0.485,1.682908777518504
0.49,1.71084330135332
0.495,1.712768004556438
0.5,1.7217420803545695
0.505,1.7488134233929922
0.51,1.7586915783032722
0.515,1.7684544616443985
0.52,1.78918706391065
0.525,1.8346460805379452
0.53,1.8990910781630987
0.535,1.9103624096182572
0.54,1.936169206361812
0.545,1.943784292264413
0.55,1.9556133115677312
0.555,1.9858142891273407
0.56,1.9828148915746489
0.565,1.99601047516884
0.57,1.9988305646840678
0.575,2.0008500691064963
0.58,2.012554918090779
0.585,2.040664295342965
0.59,2.0409246871182396
0.595,2.0614948137831335
0.6,2.0651005394580513
0.605,2.0934689852945674
0.61,2.1161410463500814
0.615,2.1324512382603955
0.62,2.120255420496643
0.625,2.1163419331026074
0.63,2.1650466349853006
0.635,2.1598860792732584
0.64,2.170488738170562
0.645,2.2023765171531116
0.65,2.2567196337061097
0.655,2.276973974231656
0.66,2.3147945898039075
0.665,2.371134020618557
0.67,2.4347363990310127
0.675,2.4375285288464585
0.68,2.4496632931406856
0.685,2.451354765212355
0.69,2.490837711503574
0.695,2.5122084731322385
0.7,2.5204024531569313
0.705,2.5234367480828785
