time,susceptible STD
0.0,0.0
0.005,0.14210359538237335
0.01,0.3103075658410807
0.015,0.3480812993017349
0.02,0.43884116811943863
0.025,0.5077777466401957
0.03,0.5612642304666481
0.035,0.6099051322783109
0.04,0.6350046843065774
0.045,0.6575347925402871
0.05,0.7474049055831701
0.055,0.7600951996357421
0.06,0.8288557213295573
0.065,0.9520326911847594
0.07,0.9873253520670425
0.075,0.9941908001023653
0.08,1.0613050318871078
0.085,1.1145469485970778
0.09,1.1207280933576842
0.095,1.1389769851244633
0.1,1.2071104040999139
0.105,1.194987227285947
0.11,1.2212905645264704
0.115,1.2241589780451454
0.12,1.2536692877163096
0.125,1.3061493579143815
0.13,1.3511842209788485
0.135,1.366436414497391
0.14,1.4651512153186093
0.145,1.4711596671631544
0.15,1.4619559967317963
0.155,1.4564934443257187
0.16,1.5282788008417654
0.165,1.566467621709079
0.17,1.6030181969588053
0.175,1.6520598452791868
0.18,1.7169823771276715
0.185,1.7295638817838486
0.19,1.8049777065667865
0.195,1.8453896213844854
0.2,1.8880339304249698
0.205,1.9480990240824496
0.21,1.9641813281708933
0.215,1.989503757040255
0.22,1.9873657694718938
0.225,1.9915327192907288
0.23,2.0104414442412195
0.235,2.0419659221674156
0.24,2.1018290118432663
0.245,2.146063930123635
0.25,2.161017540781053
0.255,2.2003487679952847
0.26,2.256154417559233
0.265,2.3491133455984423
0.27,2.3747619041479266
0.275,2.427873355357002
0.28,2.4705298841312553
0.285,2.5163087984542853
0.29,2.5149145927150864
0.295,2.5994513675105146
0.3,2.723601299508862
0.305,2.781595373862277
0.31,2.7988124350999337
0.315,2.82775067431273
0.32,2.869166810193643
0.325,2.940042794147177
0.33,2.964271605923222
0.335,3.0369531245983277
0.34,3.1362919062219095
0.345,3.252573235084926
0.35,3.2694881183548214
0.355,3.3087162704720616
0.36,3.4138191091162478
0.365,3.413102983158032
0.37,3.4521769614543047
0.375,3.4489428404908518
0.38,3.533872652654311
0.385,3.5545040278563755
0.39,3.6307984545229663
0.395,3.7271712756364774
0.4,3.761205668897886
0.405,3.8013428217380247
0.41,3.8410329145385593
0.415,3.889645773701243
