time,recovered lower
0.0,0.0
0.005,-0.12148503868134262
0.01,-0.1695629957683219
0.015,-0.17903755557830778
0.02,-0.23093440140428007
0.025,-0.23093440140428007
0.03,-0.23467923744606434
0.035,-0.23548971938524427
0.04,-0.23529799256746298
0.045,-0.23529799256746298
0.05,-0.23439097451779806
0.055,-0.23439097451779806
0.06,-0.23299503228079918
0.065,-0.22617504104038574
0.07,-0.22617504104038574
0.075,-0.22617504104038574
0.08,-0.22617504104038574
0.085,-0.22310644976612387
0.09,-0.21589506296049302
0.095,-0.22948591778228383
0.1,-0.24145741946726412
0.105,-0.22104697797473766
0.11,-0.2063764468482273
0.115,-0.18284256426408296
0.12,-0.18284256426408296
0.125,-0.166165516681265
0.13,-0.14820570258890942
0.135,-0.15594826800389622
0.14,-0.15320099194651304
0.145,-0.16510951642388538
0.15,-0.15480023807336996
0.155,-0.13369837491626735
0.16,-0.12742823251002877
0.165,-0.10884788834200998
0.17,-0.11218815457637654
0.175,-0.10331686295824338
0.18,-0.05653413468207047
0.185,-0.05814362937935458
0.19,-0.04651790427963409
0.195,-0.03469870851203172
0.2,-0.03028325326644765
0.205,-0.028697543448276464
0.21,0.0017199844139703657
0.215,0.01852115255002873
0.22,0.023667087499573802
0.225,0.047994520249090566
0.23,0.07456570546838981
0.235,0.09878772369202948
0.24,0.11484173469419878
0.245,0.14545633005243563
0.25,0.19510638566125427
0.255,0.19510638566125427
0.26,0.1964995839678636
0.265,0.22029772697961258
0.27,0.22952386644374256
0.275,0.26887299131403464
0.28,0.2915155040115476
0.285,0.3475180997090964
0.29,0.35697987483988725
0.295,0.34247672715328537
0.3,0.34158507142892724
0.305,0.3600594830108639
0.31,0.35937442653580964
0.315,0.3982281326128061
0.32,0.43905362715092666
0.325,0.44193821349100215
0.33,0.47290213600400643
0.335,0.4634996583512323
0.34,0.4634996583512323
0.345,0.4838802271436611
0.35,0.5003814603634826
0.355,0.506021671068432
0.36,0.5155087413224699
0.365,0.5214997305572857
0.37,0.5589746916011995
0.375,0.6017007340546585
0.38,0.571430260367813
