time,recovered upper
0.0,0.0
0.005,0.1627221520834045
0.01,0.27265577927347656
0.015,0.3027488957844934
0.02,0.4165014117135584
0.025,0.4165014117135584
0.03,0.4614833611574045
0.035,0.4829123997976154
0.04,0.5239577863818959
0.045,0.5239577863818959
0.05,0.543669325033262
0.055,0.543669325033262
0.06,0.562891939497294
0.065,0.6179276183599733
0.07,0.6179276183599733
0.075,0.6179276183599733
0.08,0.6179276183599733
0.085,0.6354775837867424
0.09,0.6695033103831735
0.095,0.7243312786070262
0.1,0.8393955637971611
0.105,0.8808407924077273
0.11,0.9074073746832788
0.115,0.9457291622022272
0.12,0.9457291622022272
0.125,0.9702892280214712
0.13,1.0348036407332393
0.135,1.063164762849257
0.14,1.1016546001939358
0.145,1.15480023807337
0.15,1.1651095164238854
0.155,1.1852447666688448
0.16,1.220211737664668
0.165,1.263487063599742
0.17,1.2874458865351395
0.175,1.319811708319068
0.18,1.3761217635480498
0.185,1.3983498149463647
0.19,1.4279612032487061
0.195,1.5192347909862587
0.2,1.617912119245829
0.205,1.6369449661286888
0.21,1.6683831083695349
0.215,1.6928190536355383
0.22,1.728910232088055
0.225,1.787057026142662
0.23,1.8429600677274864
0.235,1.8805937196069396
0.24,1.8851582653058012
0.245,1.9370178967516882
0.25,1.9904606246480239
0.255,1.9904606246480239
0.26,2.0715416531455384
0.265,2.0889806235358512
0.27,2.1416101541748143
0.275,2.184735256108646
0.28,2.2239484135142256
0.285,2.2298014879197696
0.29,2.3234324962941333
0.295,2.399791314083828
0.3,2.4213015265092173
0.305,2.444064228329342
0.31,2.4859863982064585
0.315,2.5089883622325546
0.32,2.5712556511995888
0.325,2.6302267349626063
0.33,2.640499925851664
0.335,2.7529951870095926
0.34,2.7529951870095926
0.345,2.7532331749181944
0.35,2.798587611801466
0.355,2.8341845144985784
0.36,2.886553114347633
0.365,2.963036351916941
0.37,2.98741706097612
0.375,3.0271652453267848
0.38,3.139909945817754
0.385,3.1991975478696952
0.39,3.251670358190555
0.395,3.4914291488392895
0.4,3.55066273188363
0.405,3.6549869390389476
0.41,3.6786931625868204
0.415,3.6910795673918217
0.42,3.7672634739944195
0.425,3.7775674406369593
0.43,3.7992436068604625
0.435,3.8499396634598826
0.44,3.861240952636442
0.445,3.883629327842225
0.45,3.976230075350877
0.455,3.9801474811461137
0.46,4.022080659165866
0.465,4.045831363832692
0.47,4.122897238336737
0.475,4.213964796493707
0.48,4.339795029075065
0.485,4.37363042700304
0.49,4.422183507538887
0.495,4.455036045793552
0.5,4.484628678292713
0.505,4.563246413083714
0.51,4.5834338463445095
0.515,4.603506008036151
0.52,4.665475723704464
0.525,4.7624811320843365
0.53,4.857853964761037
0.535,4.910362409618257
0.54,4.998024876464904
0.545,5.0159492407180215
0.55,5.0587060950728855
0.555,5.109525629333526
0.56,5.147763345182896
0.565,5.212505320529665
0.57,5.235943966745923
0.575,5.299819141271445
0.58,5.393998217059851
0.585,5.48396326441513
0.59,5.494532934540921
0.595,5.576958731308906
0.6,5.642420127086917
0.605,5.701716407974979
0.61,5.75531630408204
0.615,5.812863609394416
0.62,5.872832740084272
0.625,5.899847087741783
0.63,6.010407459727569
0.635,6.036174739067073
0.64,6.0673959546654075
