time,infected upper
0.0,3.0
0.005,3.203069233026724
0.01,3.4229516152954953
0.015,3.491113517635626
0.02,3.632881749448505
0.025,3.7701958194037735
0.03,3.802187881795622
0.035,3.95197960392037
0.04,3.993973896504399
0.045,4.074429672952227
0.05,4.236499536966321
0.055,4.271732673520548
0.06,4.41706592423309
0.065,4.5619445394185165
0.07,4.621130930302858
0.075,4.678791127594322
0.08,4.8163353742082275
0.085,4.929376053245977
0.09,4.937747753996986
0.095,5.045107737789589
0.1,5.116873914575236
0.105,5.10150890477745
0.11,5.132941302614897
0.115,5.101319685053591
0.12,5.179612275419638
0.125,5.292379780098372
0.13,5.299641257608723
0.135,5.372727734993729
0.14,5.6004962936539915
0.145,5.62043308774963
0.15,5.626477074104859
0.155,5.671382570983894
0.16,5.843362191218142
0.165,5.915997773705995
0.17,5.987888754445711
0.175,6.0804905440007575
0.18,6.172502594257136
0.185,6.232362571320724
0.19,6.379256920176121
0.195,6.5043089857454985
0.2,6.530974694854448
0.205,6.6949821865658565
0.21,6.759004240608872
0.215,6.817071523657159
0.22,6.864260476115202
0.225,6.915095768253616
0.23,6.966456628542097
0.235,6.975926076168573
0.24,7.097358022184782
0.245,7.150568525752075
0.25,7.137509749975672
0.255,7.255083449419807
0.26,7.321199317855782
0.265,7.481946515825095
0.27,7.564035520732062
0.275,7.653295267905893
0.28,7.7710919247424055
0.285,7.848638989598089
0.29,7.832195409000839
0.295,7.962835529815953
0.3,8.167429211445471
0.305,8.288376557629702
0.31,8.353780063489747
0.315,8.424096165949052
0.32,8.426657276993822
0.325,8.575649810438446
0.33,8.657844235870105
0.335,8.746599070875273
0.34,8.952025428881342
0.345,9.115075639716931
0.35,9.22278886051345
0.355,9.32794111769245
0.36,9.482504860664857
0.365,9.455962006370676
0.37,9.583610272170542
0.375,9.577462328442381
0.38,9.696217560359772
0.385,9.60826358138421
0.39,9.691982143094148
0.395,9.76863353730859
0.4,9.770145720137903
0.405,9.760713014234707
0.41,9.849343033208305
0.415,9.96671984202856
0.42,10.002017788031804
0.425,10.131234450845799
0.43,10.2272146460833
0.435,10.249353236204533
0.44,10.336687135865144
0.445,10.334925167349192
0.45,10.428379405989258
0.455,10.625135462390938
0.46,10.72001901763598
0.465,10.863401145963731
0.47,11.070787284401337
0.475,11.164353640408265
0.48,11.236425117877275
0.485,11.281687693323585
0.49,11.376312811307248
0.495,11.49656319823534
0.5,11.568245082345783
0.505,11.610225339701849
0.51,11.631941369480348
0.515,11.755642142454857
0.52,11.840149504137994
0.525,12.077031771470022
0.53,12.31209018211418
0.535,12.446245244498076
0.54,12.471905953794717
0.545,12.680667063549485
0.55,12.83477773498943
0.555,12.999860052895961
0.56,13.160544401812334
0.565,13.180639353575362
0.57,13.289163775602933
0.575,13.385211254097094
0.58,13.397063846547464
0.585,13.447109344247004
0.59,13.603744831241864
0.595,13.856010802847008
0.6,13.986945839797823
0.605,14.127431554300237
0.61,14.324216310609415
0.615,14.366882283936624
0.62,14.478879478494356
0.625,14.624488324560112
0.63,14.748415425595713
0.635,14.879364405641459
0.64,14.981153053206516
0.645,15.05000988262245
0.65,15.122106540256553
0.655,15.199500193021745
0.66,15.237974088588448
0.665,15.262665396212466
0.67,15.371015521861587
0.675,15.53553366357722
0.68,15.627056174630031
0.685,15.772739608608855
0.69,15.863996470130193
0.695,16.004521619193785
0.7,16.16039839680596
0.705,16.309942521090782
0.71,16.52585618589157
0.715,16.582931734649385
0.72,16.920434645509786
0.725,17.13306010502587
0.73,17.256165236417573
0.735,17.422230662291508
0.74,17.517795542813555
0.745,17.64721881741701
0.75,17.8954583606966
0.755,17.970549543835098
0.76,18.002812525874017
0.765,18.160509580362895
0.77,18.359960140989493
0.775,18.492501925546158
0.78,18.446455931699163
0.785,18.459672106540815
0.79,18.769782549169694
0.795,18.854935965409204
0.8,19.029761240856402
0.805,19.193411258007004
0.81,19.29827246396521
0.815,19.457089822273037
0.82,19.577684508309996
0.825,19.66330780420342
0.83,19.799403311795892
0.835,19.968877929516083
0.84,20.23883633886966
0.845,20.299982179463758
0.85,20.395711491620723
0.855,20.6428065301638
0.86,20.66654931249931
0.865,21.011804258779975
0.87,21.01982713854602
0.875,21.079309176295254
0.88,21.099160964006394
0.885,21.422539957684094
0.89,21.511337700554446
0.895,21.62136906648695
0.9,21.901678062688614
0.905,22.022527448554825
0.91,22.16942357276763
0.915,22.224594682335947
0.92,22.40689243434576
0.925,22.708699914474728
0.93,22.91777434336337
0.935,23.067385449274525
0.94,23.09255037745839
0.945,23.228690066236883
0.95,23.320100512418364
0.955,23.482792040960312
0.96,23.549739991794
0.965,23.646718328052277
0.97,23.702319487964537
0.975,23.80876984119152
0.98,24.002976452570582
0.985,24.082806171557714
0.99,24.20305739077237
0.995,24.29842095094895
1.0,24.458578245403704
1.005,24.65185814111014
1.01,24.74890154381696
1.015,24.80177490661216
1.02,24.95234113678567
1.025,25.097438672852157
1.03,25.28237833148583
1.035,25.51975747363766
1.04,25.72291070110817
1.045,25.72022780374666
1.05,25.83266193592494
1.055,25.993914495792016
1.06,25.972596523102645
1.065,26.1251757410381
1.07,26.21977868263601
1.075,26.463746083865452
1.08,26.46332824200301
1.085,26.478183983005675
1.09,26.678869280156064
1.095,26.816154857168648
1.1,26.942877216360632
1.105,27.098286958651002
1.11,27.216595916177507
1.115,27.433958223897406
1.12,27.45787224573537
1.125,27.458304282733618
1.13,27.479134452782223
1.135,27.596201218041607
1.14,27.76384889654822
1.145,27.748642561710604
1.15,27.86521919458174
1.155,27.843664703410454
1.16,27.960340253896995
1.165,28.21128390868396
1.17,28.179547691978755
1.175,28.301637180910546
1.18,28.50345093030363
1.185,28.70338658038355
1.19,28.783565282799916
1.195,28.886352476043704
1.2,29.18828216980495
1.205,29.218049813224493
1.21,29.151896957921785
1.215,29.3501298089177
1.22,29.298881333228607
1.225,29.510307922579994
1.23,29.624305879886514
1.235,29.70250279521799
1.24,29.793972616399763
1.245,30.01417719873866
1.25,29.969344605074156
1.255,29.929078439549706
1.26,30.116679751904982
1.265,30.223321814074204
1.27,30.30698049123331
1.275,30.398371523945087
1.28,30.618308671338752
1.285,30.80523396162686
1.29,30.94476799965316
1.295,30.951428431891152
1.3,31.086681101153687
1.305,31.244868827031084
1.31,31.315620104633833
1.315,31.342150942790962
1.32,31.575182073016585
1.325,31.523684689184545
1.33,31.66437876965633
1.335,31.78971928847664
1.34,31.85977940607347
1.345,31.91933783048216
1.35,31.94667975903854
1.355,32.04326564651631
1.36,32.20117375384379
1.365,32.2319986116413
1.37,32.349113266952365
1.375,32.38461725637278
1.38,32.4408002221262
1.385,32.52196122203347
1.39,32.69768190634982
1.395,32.76622082291028
1.4,32.88505601220101
1.405,33.05711354536682
1.41,33.26368487491518
1.415,33.51382121348608
1.42,33.53245085733262
1.425,33.521435237704424
1.43,33.678402915210285
1.435,33.72050394713221
1.44,33.81760382470241
1.445,33.89941348745887
1.45,34.05400524573062
1.455,34.13822898347224
1.46,34.15720611510553
1.465,34.13977411453449
1.47,34.132865467707845
1.475,34.04922731291888
1.48,34.154828194005674
1.485,34.28626756464653
1.49,34.35007275600659
1.495,34.46836969792156
1.5,34.62689490319742
1.505,34.66630478325652
1.51,34.80077417655306
1.515,35.003461051943006
1.52,35.213556744661005
1.525,35.373683908762125
1.53,35.40715609837782
1.535,35.5032881424578
1.54,35.41726466490357
1.545,35.37744117943167
1.55,35.53963818149876
1.555,35.6487125573619
1.56,35.78465276732002
1.565,35.609274293321285
1.57,35.65723119913484
1.575,35.75653014205888
1.58,35.775897964679416
1.585,35.868248382270025
1.59,35.83063163824637
1.595,35.850917100117435
1.6,36.04637043166389
1.605,36.10745195477326
1.61,36.31693762499927
1.615,36.4841106431772
1.62,36.61314420343373
1.625,36.702103118278735
1.63,36.75513955091383
1.635,36.70941385208862
1.64,36.63614385898592
1.645,36.69008353191844
1.65,36.68755217558506
1.655,36.62787543343474
1.66,36.632408245087106
1.665,36.654506061497045
1.67,36.59910004861663
1.675,36.746375551391196
1.68,36.74583681151732
1.685,36.875178213998296
1.69,36.741401204954755
1.695,36.80378006302945
1.7,37.012271313870095
1.705,37.16839274596898
1.71,37.19965026579127
1.715,37.258116022903394
1.72,37.24681951452585
1.725,37.4002996110237
1.73,37.39258196806287
1.735,37.45760423420817
1.74,37.26686896400415
1.745,37.31843415066456
1.75,37.419202740019244
1.755,37.459220698276106
1.76,37.50480213557798
1.765,37.55408013030831
1.77,37.521457977875066
1.775,37.71988362962134
1.78,37.749665637939025
1.785,37.765101365218925
1.79,37.75072189415539
1.795,37.73115460781199
1.8,37.74525296039622
1.805,37.71293295381624
1.81,37.856501462716615
1.815,37.7897788830823
1.82,37.729618348311426
1.825,37.75515431051935
1.83,37.705962082220665
1.835,37.71904536608257
1.84,37.5770589265196
1.845,37.543537207633875
1.85,37.48319600111926
1.855,37.52442513318638
1.86,37.66422795856789
1.865,37.75624622466654
1.87,37.71600897837931
1.875,37.697696276879476
1.88,37.65556164097124
1.885,37.56057986115466
1.89,37.49139556811905
1.895,37.39118104393284
1.9,37.32780726012694
1.905,37.244678330166366
1.91,37.240415369158065
1.915,37.11524764749917
1.92,37.09961049637944
1.925,37.09931270845944
1.93,37.209534923233534
1.935,37.278188207305654
1.94,37.22792267607192
1.945,37.19749650128464
1.95,37.115032409525284
1.955,37.0873418580972
1.96,37.17469258825041
1.965,37.117737851290386
1.97,37.07799810795752
1.975,37.07713415675206
1.98,37.143232244156614
1.985,37.16162265238106
1.99,37.164226891291854
1.995,37.23628678604738
2.0,37.096638526846114
2.005,36.998266054752534
2.01,37.00208852966026
2.015,36.937318153974374
2.02,36.999053180243685
2.025,36.87491163064637
2.03,36.72220640527135
2.035,36.81491014938289
2.04,36.81881897356217
2.045,36.92321874371889
2.05,36.81423813867792
2.055,36.888245389440485
2.06,36.84477759528404
2.065,36.75460591945976
2.07,36.591498466755965
2.075,36.54256959682567
2.08,36.4855979703033
2.085,36.411963548531055
2.09,36.41988687708988
2.095,36.3711098204013
2.1,36.31374052551454
2.105,36.15929116911491
2.11,36.12245940876884
2.115,36.25667905871053
2.12,36.36090904671168
2.125,36.35267760193843
2.13,36.31651623918997
2.135,36.309762542102185
2.14,36.33293469865524
2.145,36.33351932700711
2.15,36.37206329224635
2.155,36.415393995486355
2.16,36.471004549384496
2.165,36.53716013913676
2.17,36.570571520914335
2.175,36.52326349685143
2.18,36.51412236409145
2.185,36.45732473012861
2.19,36.3409389519602
2.195,36.28119549675277
2.2,36.109679143473684
2.205,36.12570541833845
2.21,36.161570594713076
2.215,36.20251740499844
2.22,36.18646536010241
2.225,36.24936496689329
2.23,36.09971978350896
2.235,36.25305787677799
2.24,36.3082828690724
2.245,36.210697853681864
2.25,36.19841475207928
2.255,36.206121133768924
2.26,36.2733743412823
2.265,36.25893137822827
